constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
10381,446,4,33.0,4,4,0
23998,513,25,3.0,4,4,0
25435,218,24,6.0,9,9,0
10953,480,1,60.0,2,2,4
24656,851,3,4.0,9,9,0
24047,516,3,4.0,6,6,0
10677,464,54,0.0,14,14,0
22414,603,34,26.0,5,5,2
10208,435,3,71.0,3,3,4
24146,522,58,0.0,11,11,0
4795,286,27,22.0,5,5,0
22195,618,32,83.0,1,1,6
23726,542,60,0.0,17,17,0
25693,269,29,9.0,9,9,0
9933,421,18,0.0,13,13,0
23564,534,59,7.0,8,8,0
5986,108,15,3.0,5,5,0
21580,647,198,0.0,9,9,0
6336,54,7,1.0,7,7,0
25932,900,1,33.0,1,1,0
3271,291,27,0.0,8,8,0
11481,509,32,10.0,8,8,0
5858,129,16,0.0,11,11,0
26630,963,4,8.0,9,9,0
9728,407,34,1.0,8,8,0
25330,897,3,1.0,9,9,0
6353,56,11,15.0,4,4,0
8677,6,5,5.0,9,9,0
5917,135,3,76.0,2,2,1
20872,687,82,0.0,17,17,0
22472,577,6,6.0,4,4,0
25714,271,15,12.0,7,7,0
5906,134,3,66.0,2,2,1
4825,288,29,4.0,9,9,0
22772,586,26,0.0,16,16,0
25977,904,6,66.0,3,3,0
11073,485,56,0.0,11,11,0
24220,526,57,0.0,15,15,0
5605,190,3,35.0,5,5,0
17822,772,127,0.0,9,9,0
20128,715,170,10.0,5,5,0
24376,348,6,238.0,3,3,2
25394,215,20,16.0,5,5,0
8859,360,27,0.0,12,12,0
188,35,6,172.0,1,1,8
4654,275,1,26.0,1,1,2
24835,863,164,0.0,12,12,0
22335,598,64,4.0,9,9,0
24182,524,3,62.0,2,2,4
6286,104,18,1.0,10,10,0
8900,362,33,0.0,15,15,0
11134,488,53,0.0,17,17,0
114,28,11,14.0,8,8,0
21666,655,86,0.0,10,10,0
10377,446,1,83.5,1,1,7
5236,255,29,1.0,9,9,0
10769,469,54,2.0,7,7,0
23330,554,66,0.0,16,16,0
25804,42,7,9.0,5,5,0
20487,707,182,0.0,9,9,0
25400,215,25,2.0,9,9,0
9927,421,27,1.0,7,7,0
2448,227,3,55.0,1,1,4
6113,121,16,18.0,5,5,0
9738,408,27,12.0,4,4,0
8432,315,27,0.0,14,14,0
24607,847,166,0.0,12,12,0
186,35,4,80.0,4,4,2
