playerid,year,stint,tmid,s,g,gdg
zedniri01,2008,1,FLO,2,1,1
stewach02,2010,1,COL,2,1,0
koivumi01,2008,1,MIN,6,2,1
halpeje01,2005,1,WAS,2,0,0
jokinju01,2010,1,CAR,10,2,1
steenal01,2010,1,STL,5,3,1
perezal01,2005,1,MTL,3,0,0
horcosh01,2007,1,EDM,7,5,3
huntetr01,2007,1,NYI,3,0,0
bourqre01,2005,1,CHI,5,1,0
kaberto01,2008,1,TOR,3,1,0
wingeto01,2011,1,SJS,0,1,0
perrema01,2011,1,WAS,0,1,0
marlepa01,2007,1,SJS,8,4,1
forsbpe01,2006,1,PHI,5,1,1
handzmi01,2009,1,LAK,8,5,1
royde01,2008,1,BUF,9,4,1
conrocr01,2005,1,LAK,1,0,0
malonry01,2009,1,TBL,1,0,0
froloal01,2010,1,NYR,1,0,0
greenjo01,2006,1,VAN,3,1,1
voracja01,2008,1,CBS,3,1,1
kobasch01,2006,1,CAL,1,0,0
readma01,2011,1,PHI,4,6,1
bergese01,2009,1,NYI,2,0,0
parsesc01,2009,1,LAK,1,0,0
giroucl01,2007,1,PHI,1,0,0
nealja01,2008,1,DAL,7,5,2
koivumi01,2005,1,MIN,6,4,1
langro01,2009,1,PHO,8,5,2
subbapk01,2010,1,MTL,2,0,0
kozlovy01,2009,1,ATL,6,4,0
anisiar01,2010,1,NYR,5,1,1
sillimi01,2005,2,NAS,1,1,0
willija01,2010,1,DAL,1,0,0
langeja01,2008,1,NJD,5,3,1
metrogl01,2006,2,STL,1,0,0
oreilca01,2010,1,NAS,6,3,1
hechtjo01,2009,1,BUF,4,3,1
dumonjp01,2008,1,NAS,2,1,0
cheecjo01,2005,1,SJS,6,1,0
niedesc01,2008,1,AND,1,0,0
hortona01,2007,1,FLO,10,3,1
ribeimi01,2008,1,DAL,11,6,2
muellpe01,2008,1,PHO,6,3,0
hejdumi01,2007,1,COL,6,3,1
rozsimi01,2005,1,NYR,1,0,0
iginlja01,2009,1,CAL,4,0,0
turriky01,2007,1,PHO,1,1,0
satanmi01,2008,1,PIT,4,0,0
iginlja01,2011,1,CAL,2,7,2
arnotja01,2010,1,NJD,2,1,0
drurych01,2008,1,NYR,7,3,3
bailejo01,2008,1,NYI,2,0,0
mcdonan01,2005,1,ANA,6,2,0
chriser01,2007,2,ATL,3,1,1
latengu01,2009,1,MTL,1,0,0
staffdr01,2008,1,BUF,11,4,0
brierda01,2009,1,PHI,6,2,1
sykorpe01,2011,1,NJD,0,1,0
kopitan01,2008,1,LAK,7,2,0
sullist01,2008,1,NAS,6,1,1
datsypa01,2007,1,DET,10,4,1
gordobo01,2011,1,PHO,0,1,0
brulegi01,2010,1,EDM,3,0,0
gagnesi01,2006,1,PHI,6,1,0
subbapk01,2011,1,MTL,0,1,0
stewach02,2008,1,COL,1,0,0
malkiev01,2006,1,PIT,12,3,2
kondrma01,2005,1,NYR,1,0,0
cammami01,2008,1,CAL,5,1,0
mcdonan01,2007,2,STL,3,1,1
bourqre01,2011,1,CAL,0,1,0
giontbr01,2010,1,MTL,6,1,1
sakicjo01,2007,1,COL,5,3,2
erikslo01,2010,1,DAL,5,1,1
enstrto01,2007,1,ATL,1,0,0
samuemi01,2010,1,VAN,2,0,0
yipbr01,2009,1,COL,1,0,0
dupuipa01,2006,1,MIN,1,0,0
ashamar01,2005,1,NYI,1,0,0
simjo01,2006,1,ATL,2,1,1
schrero01,2010,2,ATL,2,1,1
hensitj01,2007,1,COL,2,0,0
