year,lgid,tmid,oppid,w,l,t,otl
1986,NHL,TOR,LAK,1,1,1.0,
2003,NHL,FLO,MIN,0,1,0.0,0
1924,WCHL,VMR,VIC,2,6,0.0,
1976,WHA,HOU,CAC,6,2,0.0,
1998,NHL,PHI,NYR,2,2,1.0,
2008,NHL,TOR,VAN,0,1,,1
1993,NHL,STL,EDM,4,0,0.0,
2000,NHL,COL,NYR,1,0,0.0,0
1991,NHL,PHI,LAK,1,2,0.0,
1984,NHL,BOS,WIN,1,2,0.0,
1961,NHL,DET,TOR,3,9,2.0,
1968,NHL,OAK,PIT,4,2,2.0,
2008,NHL,NAS,NJD,0,1,,0
1995,NHL,WAS,TBL,2,2,2.0,
1997,NHL,PHO,PIT,1,0,1.0,
1988,NHL,HAR,STL,1,0,2.0,
1992,NHL,BUF,HAR,6,1,2.0,
2006,NHL,DET,NAS,6,1,,1
2003,NHL,ATL,NJD,1,3,0.0,0
2001,NHL,CAR,CAL,0,0,1.0,0
1986,NHL,WIN,CAL,6,2,0.0,
1975,NHL,CHI,VAN,4,1,1.0,
1997,NHL,TOR,CHI,4,1,1.0,
1973,WHA,NEW,CLC,5,3,0.0,
1933,NHL,CHI,DET,1,4,1.0,
1981,NHL,STL,CAL,2,1,0.0,
1932,NHL,MTL,NYA,2,3,1.0,
2002,NHL,LAK,NYR,1,0,0.0,0
2001,NHL,PIT,TBL,2,1,0.0,1
1996,NHL,PHI,HAR,3,0,1.0,
1973,WHA,HOU,WIJ,5,1,2.0,
1993,NHL,DET,NYR,2,0,0.0,
1935,NHL,MTL,BOS,1,3,2.0,
1989,NHL,CHI,MTL,2,1,0.0,
1985,NHL,BOS,EDM,1,2,0.0,
1991,NHL,DET,BUF,2,0,1.0,
1975,NHL,NYR,MTL,0,3,1.0,
1976,NHL,MNS,COR,2,3,1.0,
1999,NHL,COL,CAR,2,0,0.0,0
2003,NHL,DAL,MTL,0,0,1.0,0
1935,NHL,BOS,MTL,3,1,2.0,
1978,NHL,NYR,LAK,3,1,0.0,
2008,NHL,TBL,NYR,0,3,,1
1998,NHL,COL,TOR,0,1,0.0,
1992,NHL,NYR,TBL,2,1,0.0,
1931,NHL,TOR,MTL,2,4,2.0,
1984,NHL,LAK,NYI,1,2,0.0,
2010,NHL,ATL,COL,1,1,,0
1993,NHL,WIN,TBL,1,1,0.0,
1914,NHA,TBS,TOO,3,1,0.0,
1997,NHL,PIT,SJS,1,1,0.0,
1984,NHL,HAR,PHI,0,2,1.0,
1999,NHL,PHI,BOS,3,0,1.0,0
2002,NHL,FLO,TBL,0,2,2.0,1
2001,NHL,FLO,NJD,1,3,0.0,0
1934,NHL,MTL,MTM,4,1,1.0,
2001,NHL,ANA,DAL,3,1,1.0,0
1924,NHL,TRS,MTL,3,3,0.0,
1983,NHL,CAL,VAN,5,2,1.0,
2003,NHL,ANA,NYR,1,0,0.0,0
1979,NHL,BUF,WIN,3,0,1.0,
1948,NHL,BOS,MTL,5,6,1.0,
2008,NHL,PIT,EDM,1,0,,0
1998,NHL,TOR,TBL,4,0,0.0,
1979,NHL,LAK,DET,3,0,1.0,
1925,WCHL,VMR,POR,2,5,1.0,
2010,NHL,CAL,COL,5,1,,0
2002,NHL,NJD,LAK,0,0,0.0,1
1990,NHL,NYI,STL,0,3,0.0,
1930,NHL,PHQ,NYA,0,3,1.0,
1980,NHL,MTL,WIN,3,1,0.0,
1929,NHL,NYR,NYA,2,2,0.0,
1986,NHL,PHI,CHI,2,0,1.0,
1977,NHL,WAS,CLE,3,2,0.0,
1988,NHL,DET,PIT,0,2,1.0,
2007,NHL,MTL,CBS,0,1,,0
1978,NHL,BUF,NYI,2,1,1.0,
2001,NHL,CHI,STL,3,1,1.0,0
1984,NHL,DET,PHI,0,2,1.0,
1975,WHA,MFS,EDO,1,2,0.0,
1962,NHL,CHI,NYR,10,2,2.0,
1937,NHL,MTL,TOR,1,4,3.0,
2008,NHL,PHO,AND,2,3,,1
1909,NHA,REN,LES,2,0,0.0,
2007,NHL,TOR,DAL,0,1,,0
2001,NHL,LAK,WAS,0,0,0.0,1
1997,NHL,FLO,NJD,2,2,1.0,
2001,NHL,PHI,NJD,3,1,1.0,0
1975,NHL,LAK,ATF,3,1,0.0,
2002,NHL,WAS,DET,0,1,0.0,0
2008,NHL,MIN,PHO,3,1,,0
2000,NHL,NJD,LAK,1,1,0.0,0
1982,NHL,EDM,PIT,2,1,0.0,
1981,NHL,WAS,CHI,1,2,0.0,
2006,NHL,MTL,ATL,3,1,,0
1997,NHL,DET,PIT,0,1,1.0,
1978,WHA,NEW,CZE,1,0,0.0,
1999,NHL,DAL,NYR,2,0,0.0,0
1993,NHL,SJS,STL,1,4,0.0,
2001,NHL,VAN,NAS,3,1,0.0,0
