year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1935,NHL,CHI,CHI,,AM,3,QF,48,21,19,8.0,,50,,,93,92,Chicago Black Hawks,409,,,,,,,
1976,WHA,CIN,CIN,,EW,2,AVQF,81,39,37,5.0,,83,,,354,303,Cincinnati Stingers,970,8,54,283,7,58,259,6
2008,NHL,CAL,CAL,WC,NW,2,CQF,82,46,30,,6,98,3,2,254,248,Calgary Flames,1299,18,61,358,15,58,349,6
1984,NHL,CAL,CAL,CC,SM,3,DSF,80,41,27,12.0,,94,,,363,302,Calgary Flames,1400,16,79,316,21,81,317,12
1975,WHA,TOT,BIR,,CW,5,,81,24,52,5.0,,53,,,335,398,Toronto Toros,1099,,54,279,7,59,251,9
1946,NHL,TOR,TOR,,,2,SC,60,31,19,10.0,,72,,,209,172,Toronto Maple Leafs,669,,,,,,,
1983,NHL,BUF,BUF,WA,AD,2,DSF,80,48,25,7.0,,103,,,315,257,Buffalo Sabres,1190,8,71,329,14,50,277,11
1996,NHL,SJS,SJS,WC,PC,7,,82,27,47,8.0,,62,,,211,278,San Jose Sharks,2085,6,50,349,11,66,409,9
1980,NHL,PIT,PIT,WA,NO,3,PRE,80,30,37,13.0,,73,,,302,345,Pittsburgh Penguins,1807,20,92,400,11,99,370,6
1942,NHL,NYR,NYR,,,6,,50,11,31,8.0,,30,,,161,253,New York Rangers,352,,,,,,,
1921,WCHL,EDE,EDE,,,1,WF,24,15,9,0.0,,30,,,117,76,Edmonton Eskimos,,,,,,,,
2010,NHL,NAS,NAS,WC,CE,2,CSF,82,44,27,,11,99,6,4,219,194,Nashville Predators,720,26,41,269,2,41,272,5
2006,NHL,CHI,CHI,WC,CE,5,,82,31,42,,9,71,6,7,201,258,Chicago Blackhawks,1332,16,43,364,6,77,443,12
1985,NHL,NYI,NYI,WA,PT,3,DSF,80,39,29,12.0,,90,,,327,284,New York Islanders,1343,6,73,332,9,77,369,4
1922,NHL,MTL,MTL,,,2,NHLF,24,13,9,2.0,,28,,,73,61,Montreal Canadiens,193,,,,,,,
2009,NHL,ATL,WPG,EC,SE,2,,82,35,34,,13,83,4,6,234,256,Atlanta Thrashers,1053,8,51,316,4,57,320,9
1997,NHL,CHI,CHI,WC,CE,5,,82,30,39,13.0,,73,,,192,199,Chicago Blackhawks,1546,12,47,364,5,58,381,13
1923,WCHL,SAC,SAS,,,3,,30,15,12,3.0,,33,,,91,73,Saskatoon Crescents,,,,,,,,
1989,NHL,NYR,NYR,WA,PT,1,DF,80,36,31,13.0,,85,,,279,267,New York Rangers,2021,24,103,442,8,77,362,7
2003,NHL,MIN,MIN,WC,NW,5,,82,30,29,20.0,3,83,,,188,183,Minnesota Wild,1035,44,46,339,7,44,285,7
2009,NHL,DAL,DAL,WC,PC,5,,82,37,31,,14,88,7,10,237,254,Dallas Stars,963,8,61,328,8,65,288,9
1984,NHL,PIT,PIT,WA,PT,6,,80,24,51,5.0,,53,,,276,385,Pittsburgh Penguins,1493,16,62,363,22,74,311,7
1986,NHL,DET,DET,CC,NO,2,CF,80,34,36,10.0,,78,,,260,274,Detroit Red Wings,2209,12,69,336,7,73,357,9
2007,NHL,MIN,MIN,WC,NW,1,CQF,82,44,28,,10,98,3,8,223,218,Minnesota Wild,1098,12,64,338,10,49,330,3
2009,NHL,NYI,NYI,EC,AT,5,,82,34,37,,11,79,8,6,222,264,New York Islanders,950,22,49,306,3,71,300,7
1954,NHL,BOS,BOS,,,4,SF,70,23,26,21.0,,67,,,169,188,Boston Bruins,863,,,,,,,
1991,NHL,DET,DET,CC,NO,1,DF,80,43,25,12.0,,98,,,320,256,Detroit Red Wings,2078,28,72,386,7,78,419,18
1920,PCHA,VA2,VIC,,,3,,24,10,13,1.0,,21,,,72,88,Victoria Aristocrats,,,,,,,,
1924,WCHL,CAT,CAT,,,1,WF,28,17,11,0.0,,34,,,96,80,Calgary Tigers,,,,,,,,
2011,NHL,STL,STL,WC,CE,1,CSF,82,49,22,,11,109,4,10,210,165,St. Louis Blues,1062,16,45,270,3,40,282,7
1981,NHL,NYR,NYR,WA,PT,2,DF,80,39,27,14.0,,92,,,316,306,New York Rangers,1402,22,68,306,12,75,319,7
1986,NHL,MNS,DAL,CC,NO,5,,80,30,40,10.0,,70,,,296,314,Minnesota North Stars,1936,20,83,355,18,92,376,9
1921,PCHA,SEA,SEA,,,1,PF,24,12,11,1.0,,25,,,65,64,Seattle Metropolitans,,,,,,,,
2001,NHL,COL,COL,WC,NW,1,CF,82,45,28,8.0,1,99,,,212,169,Colorado Avalanche,1007,10,62,344,7,41,315,7
1994,NHL,BOS,BOS,EC,NE,3,CQF,48,27,18,3.0,,57,,,150,127,Boston Bruins,793,6,46,211,4,24,183,3
2002,NHL,CBS,CBS,WC,CE,5,,82,29,42,8.0,3,69,,,213,263,Columbus Blue Jackets,1505,28,71,410,9,60,409,12
1983,NHL,WAS,WAS,WA,PT,2,DF,80,48,27,5.0,,101,,,308,226,Washington Capitals,1252,18,77,382,18,39,293,8
1916,PCHA,PO1,PO1,,,3,,24,9,15,0.0,,18,,,114,112,Portland Rosebuds,,,,,,,,
1924,WCHL,VIC,VIC,,,3,SC,28,16,12,0.0,,32,,,84,63,Victoria Cougars,,,,,,,,
1957,NHL,TOR,TOR,,,6,,70,21,38,11.0,,53,,,192,226,Toronto Maple Leafs,861,,,,,,,
1992,NHL,STL,STL,CC,NO,4,DF,84,37,36,11.0,,85,,,282,278,St. Louis Blues,1889,30,93,425,15,70,429,14
1988,NHL,NYI,NYI,WA,PT,6,,80,28,47,5.0,,61,,,265,325,New York Islanders,1822,18,85,378,7,103,390,4
2008,NHL,TBL,TBL,EC,SE,5,,82,24,40,,18,66,3,10,210,279,Tampa Bay Lightning,1306,26,61,343,9,89,405,4
2010,NHL,OTT,OTT,EC,NE,5,,82,32,40,,10,74,2,5,192,250,Ottawa Senators,1149,6,45,257,4,48,294,6
2002,NHL,PHO,PHO,WC,PC,4,,82,31,35,11.0,5,78,,,204,230,Phoenix Coyotes,1433,24,55,385,11,77,412,4
1996,NHL,FLO,FLO,EC,AT,3,CQF,82,35,28,19.0,,89,,,221,201,Florida Panthers,1628,20,50,352,17,50,346,5
1912,NHA,OT1,STE,,,3,,20,9,11,0.0,,18,,,87,81,Ottawa Senators,,,,,,,,
1983,NHL,NYI,NYI,WA,PT,1,F,80,50,26,4.0,,104,,,357,269,New York Islanders,1157,8,63,280,9,66,360,18
1981,NHL,WIN,PHO,CC,NO,2,DSF,80,33,33,14.0,,80,,,319,332,Winnipeg Jets,1314,12,74,328,11,61,249,4
1992,NHL,SJS,SJS,CC,SM,6,,84,11,71,2.0,,24,,,218,414,San Jose Sharks,2134,10,66,409,15,113,483,13
1992,NHL,TBL,TBL,CC,NO,6,,84,23,54,7.0,,53,,,245,332,Tampa Bay Lightning,1625,6,74,424,12,101,395,8
1988,NHL,PIT,PIT,WA,PT,2,DF,80,40,33,7.0,,87,,,347,349,Pittsburgh Penguins,2670,16,119,491,16,111,482,21
2009,NHL,CAL,CAL,WC,NW,3,,82,40,32,,10,90,3,7,204,210,Calgary Flames,1143,14,43,268,2,54,305,8
1923,NHL,OTS,STE,,,1,NHLF,24,16,8,0.0,,32,,,74,54,Ottawa Senators,178,,,,,,,
1977,WHA,NEW,CAR,,,2,AVF,80,44,31,5.0,,93,,,335,269,New England Whalers,1255,14,62,239,4,65,315,9
1911,PCHA,VA1,SPO,,,3,,16,7,9,0.0,,14,,,81,90,Victoria Aristocrats,,,,,,,,
1970,NHL,MTL,MTL,,ED,3,SC,78,42,23,13.0,,97,,,291,216,Montreal Canadiens,1271,10,71,286,6,49,319,8
1926,NHL,BOS,BOS,,AM,2,F,44,21,20,3.0,,45,,,97,89,Boston Bruins,499,,,,,,,
1940,NHL,MTL,MTL,,,6,QF,48,16,26,6.0,,38,,,121,147,Montreal Canadiens,461,,,,,,,
1921,PCHA,VA2,VIC,,,3,,24,11,12,1.0,,23,,,61,71,Victoria Aristocrats,,,,,,,,
1992,NHL,PHI,PHI,WA,PT,5,,84,36,37,11.0,,83,,,319,319,Philadelphia Flyers,1887,14,72,399,11,95,421,15
1975,WHA,MFS,MFS,,WW,4,,59,30,25,4.0,,64,,,211,212,Minnesota Fighting Saints,1354,,40,185,9,58,245,5
2006,NHL,CAR,CAR,EC,SE,3,,82,40,34,,8,88,0,5,241,253,Carolina Hurricanes,1021,14,67,447,8,61,395,12
1934,NHL,TOR,TOR,,CA,1,F,48,30,14,4.0,,64,,,157,111,Toronto Maple Leafs,444,,,,,,,
1979,NHL,STL,STL,CC,SM,2,PRE,80,34,34,12.0,,80,,,266,278,St. Louis Blues,1037,14,53,289,4,40,263,5
1911,PCHA,VML,VMR,,,2,,15,7,8,0.0,,14,,,102,94,Vancouver Millionaires,,,,,,,,
1926,NHL,CHI,CHI,,AM,3,QF,44,19,22,3.0,,41,,,115,116,Chicago Black Hawks,436,,,,,,,
1982,NHL,NYR,NYR,WA,PT,4,DF,80,35,35,10.0,,80,,,306,287,New York Rangers,1100,18,71,317,8,75,312,12
1998,NHL,EDM,EDM,WC,NW,2,CQF,82,33,37,12.0,,78,,,230,226,Edmonton Oilers,1373,12,63,438,10,67,374,8
1951,NHL,DET,DET,,,1,SC,70,44,14,12.0,,100,,,215,133,Detroit Red Wings,694,,,,,,,
1943,NHL,NYR,NYR,,,6,,50,6,39,5.0,,17,,,162,310,New York Rangers,253,,,,,,,
2005,NHL,PIT,PIT,EC,AT,5,,82,22,46,,14,58,1,6,244,316,Pittsburgh Penguins,1559,20,94,495,16,113,533,13
1988,NHL,DET,DET,CC,NO,1,DSF,80,34,34,12.0,,80,,,313,316,Detroit Red Wings,2245,10,73,352,8,79,426,15
2011,NHL,LAK,LAK,WC,PC,3,SC,82,40,27,,15,95,6,9,194,179,Los Angeles Kings,923,6,49,289,2,38,293,9
1986,NHL,WIN,PHO,CC,SM,3,DF,80,40,32,8.0,,88,,,279,271,Winnipeg Jets,1537,10,52,300,9,53,324,8
1925,WCHL,VMR,VMR,,,6,,30,10,18,2.0,,22,,,64,90,Vancouver Maroons,,,,,,,,
1928,NHL,NYR,NYR,,AM,2,F,44,21,13,10.0,,52,,,72,65,New York Rangers,382,,,,,,,
1910,NHA,MOW,MTW,,,4,,16,7,9,0.0,,14,,,73,88,Montreal Wanderers,,,,,,,,
1941,NHL,BKN,BKN,,,7,,48,16,29,3.0,,35,,,133,175,Brooklyn Americans,427,,,,,,,
1981,NHL,MTL,MTL,WA,AD,1,DSF,80,46,17,17.0,,109,,,360,223,Montreal Canadiens,1463,6,72,297,5,57,286,9
1911,PCHA,NWR,PO1,,,1,,15,9,6,0.0,,18,,,78,77,New Westminster Royals,,,,,,,,
1968,NHL,STL,STL,,WD,1,F,76,37,25,14.0,,88,,,204,157,St. Louis Blues,824,,38,250,6,45,242,4
1919,NHL,TRS,TOR,,,3,,24,12,12,0.0,,24,,,119,106,Toronto St. Patricks,253,,,,,,,
1997,NHL,BOS,BOS,EC,NE,2,CQF,82,39,30,13.0,,91,,,221,194,Boston Bruins,1117,12,62,359,3,44,285,5
