year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1984,CF,N,EDM,NHL,CHI,NHL,4,2,0,44,25,
1995,CSF,J,PIT,NHL,NYR,NHL,4,1,0,21,15,
1952,SCF,C,MTL,NHL,BOS,NHL,4,1,0,16,9,
1980,QF,L,CAL,NHL,PHI,NHL,4,3,0,22,26,
2007,CQF,B,PIT,NHL,OTT,NHL,4,0,0,16,5,
1964,SF,B,MTL,NHL,TOR,NHL,4,2,0,17,14,
1996,CQF,F,EDM,NHL,DAL,NHL,4,3,0,21,18,
1936,QF,B,MTM,NHL,BOS,NHL,2,1,0,8,6,
1969,QF,A,CHI,NHL,DET,NHL,4,0,0,16,8,
2010,CQF,F,SJS,NHL,LAK,NHL,4,2,0,20,20,
2003,SCF,O,TBL,NHL,CAL,NHL,4,3,0,13,14,
1977,SF,I,MTL,NHL,TOR,NHL,4,0,0,16,6,
1991,CF,N,CHI,NHL,EDM,NHL,4,0,0,21,8,
1949,SCF,C,DET,NHL,NYR,NHL,4,3,0,22,17,
2008,CQF,B,WAS,NHL,NYR,NHL,4,3,0,19,11,
1980,Pre,B,STL,NHL,PIT,NHL,3,2,0,20,21,
1915,SCF,,MOC,NHA,PO1,PCHA,3,2,0,15,13,
1975,Pre,,NEW,WHA,CLC,WHA,3,0,0,14,6,
1932,QF,B,DET,NHL,MTM,NHL,2,0,0,5,2,TG
1973,DSF,,CHC,WHA,NEW,WHA,4,3,0,24,23,
1940,SF,D,DET,NHL,CHI,NHL,2,0,0,5,2,
1973,DF,,CHC,WHA,TOT,WHA,4,3,0,34,27,
2003,CQF,D,TOR,NHL,OTT,NHL,4,3,0,14,11,
2008,CF,N,DET,NHL,CHI,NHL,4,1,0,19,10,
2007,CSF,L,DAL,NHL,SJS,NHL,4,2,0,15,11,
1929,SF,D,MTL,NHL,NYR,NHL,2,0,0,4,1,
1976,SF,J,BOS,NHL,PHI,NHL,4,0,0,14,8,
1998,CSF,I,TOR,NHL,PIT,NHL,4,2,0,18,14,
1975,SCF,K,MTL,NHL,PHI,NHL,4,0,0,14,9,
1928,QF,B,NYR,NHL,NYA,NHL,1,0,1,1,0,TG
1973,QF,A,BOS,NHL,TOR,NHL,4,0,0,17,9,
1938,SF,D,TOR,NHL,DET,NHL,2,1,0,10,8,
1927,SF,C,MTM,NHL,MTL,NHL,1,0,1,3,2,TG
