playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
kotsoch01,1988,1,TOR,NHL,D,57,1,14,15,44,-4,0,9,0,1,0,0,66,,,,,,,,,,,,
caprifr01,1985,1,VAN,NHL,G,7,0,1,1,0,0,0,,0,,0,0,0,,,,,,,,,,,,
manerkr01,1979,1,MNS,NHL,C,28,3,4,7,16,-5,0,,0,,0,1,40,,,,,,,,,,,,
toalmi01,1979,1,EDM,NHL,C,3,0,0,0,0,0,0,,0,,0,0,1,,,,,,,,,,,,
hedbean01,1981,1,NYR,NHL,R,4,0,1,1,0,-2,0,,0,,0,0,8,,,,,,,,,,,,
labinle01,1960,1,BOS,NHL,R,40,7,12,19,34,,,,,,,,,,,,,,,,,,,,
arnotja01,2009,1,NAS,NHL,C,63,19,27,46,26,0,6,12,0,0,3,,216,6,2,0,2,0,-3,1,0,0,0,0,26
liljaan01,2009,1,DET,NHL,D,20,1,1,2,4,-2,0,0,0,0,0,,19,11,0,0,0,14,1,0,0,0,0,0,6
evansdo01,1986,1,STL,NHL,L,53,3,13,16,91,2,0,,0,,0,0,51,5,0,0,0,10,-2,0,,0,,0,2
fonteva01,1962,1,DET,NHL,L,67,6,14,20,2,,,,,,,,,11,0,0,0,2,,,,,,0,
ferenbr01,1999,1,FLO,NHL,D,13,0,2,2,46,2,0,0,0,0,0,0,10,,,,,,,,,,,,
messijo01,1993,1,NYR,NHL,D,4,0,2,2,0,-1,0,0,0,0,0,0,7,,,,,,,,,,,,
brisepa01,2005,1,COL,NHL,D,80,10,28,38,55,1,4,12,0,1,2,,107,9,0,1,1,4,-7,0,1,0,0,0,10
cahanla01,1962,1,NYR,NHL,D,56,6,14,20,47,,,,,,,,,,,,,,,,,,,,
houlere01,1971,1,MTL,NHL,L,77,11,17,28,21,9,1,,0,,1,0,145,6,0,0,0,2,,0,,0,,0,
gallega01,1984,1,LAK,NHL,D,78,8,30,38,82,3,1,,1,,2,0,131,3,1,0,1,2,0,0,,0,,0,7
neilsji01,1970,1,NYR,NHL,D,77,8,24,32,69,31,2,,0,,3,0,200,13,0,3,3,30,,0,,0,,0,
boughbo01,2002,1,CAL,NHL,D,69,3,14,17,126,5,0,1,0,0,1,0,62,,,,,,,,,,,,
nichobe01,1990,1,NYR,NHL,C,71,25,48,73,96,5,8,22,0,0,2,0,163,5,4,3,7,8,0,0,2,0,0,1,24
mooredo01,2007,2,TOR,NHL,C,38,4,10,14,14,7,1,0,0,0,0,,72,,,,,,,,,,,,
josepch01,2000,2,ATL,NHL,D,19,0,3,3,20,-7,0,1,0,0,0,0,25,,,,,,,,,,,,
laroupi01,1974,1,PIT,NHL,C,79,31,37,68,52,2,5,,0,,4,2,172,9,2,5,7,2,,0,,0,,1,
methege01,1974,1,NEW,WHA,D,5,0,1,1,4,-2,0,,0,,0,,2,2,0,0,0,0,,0,,0,,0,
allisra01,1981,1,PHI,NHL,R,51,17,37,54,104,13,5,,0,,2,1,131,3,2,0,2,2,,2,,0,,0,
thurifr01,1941,1,BKN,NHL,C,27,7,7,14,4,,,,,,,,,,,,,,,,,,,,
rasktu01,2011,1,BOS,NHL,G,23,0,0,0,2,0,0,0,0,0,0,,0,,,,,,,,,,,,
mowerma01,2001,1,NAS,NHL,L,14,1,2,3,2,-2,0,0,0,0,0,0,5,,,,,,,,,,,,
stmarfr01,1972,1,STL,NHL,C,45,7,18,25,8,-6,3,,0,,0,2,119,,,,,,,,,,,,
wallbo01,1967,1,LAK,NHL,D,71,5,18,23,66,-9,1,,0,,2,0,148,7,0,1,1,0,,0,,0,,0,
dewarto01,1943,1,NYR,NHL,D,9,0,2,2,4,,,,,,,,,,,,,,,,,,,,
lowryda01,1996,1,FLO,NHL,L,77,15,14,29,51,2,2,3,0,0,2,1,96,5,0,0,0,0,-3,0,0,0,0,0,8
noonabr01,1996,3,VAN,NHL,R,16,4,8,12,6,2,0,2,1,1,0,0,25,,,,,,,,,,,,
higgich01,2010,1,FLO,NHL,C,48,11,12,23,10,5,0,0,0,1,0,,126,,,,,,,,,,,,
