name,id,award,year,lgid,note
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Keith Allen,allenke01,Patrick,1987,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
Mario Lemieux,lemiema01,Patrick,1999,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
John B. Sollenberger,,Patrick,1970,NHL,posthumous
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
John Mariucci,mariujo01,Patrick,1976,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Glen Sonmor,sonmogl01,Patrick,2005,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Bob Naegele,,Patrick,2007,NHL,
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Charles M. Schulz,,Patrick,1980,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Gil Stein,,Patrick,1992,NHL,
Brian Burke,,Patrick,2007,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
John Bucyk,bucykjo01,Patrick,1976,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
1998 U.S. Olympic Women's Hockey Team,,Patrick,1998,NHL,
Jeff Sauer,,Patrick,2010,NHL,
George Leader,,Patrick,1975,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Peter Karmanos,,Patrick,1997,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
John Mayasich,,Patrick,1997,NHL,
Cammi Granato,,Patrick,2006,NHL,
Donald Clark,,Patrick,1974,NHL,
Max McNab,mcnabma01,Patrick,1997,NHL,
Jim Devellano,,Patrick,2008,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Bruce Norris,norribr01h,Patrick,1975,NHL,
