year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2010,NHL,VAN,25,15,10,0,58,69,435,12,19,93,6,19,99,1
1956,NHL,NYR,5,1,4,0,12,22,48,,,,,,,
1932,NHL,BOS,5,2,3,0,7,9,50,,,,,,,
1918,PCHA,VML,2,1,1,0,5,7,,,,,,,,
1964,NHL,DET,7,3,4,0,19,23,124,,,,,,,
2006,NHL,VAN,12,5,7,0,21,26,190,4,4,67,0,8,76,0
1987,NHL,CAL,9,4,5,0,41,36,310,2,12,60,,14,65,4
1955,NHL,TOR,5,1,4,0,10,14,65,,,,,,,
1991,NHL,EDM,16,8,8,0,49,54,340,0,14,78,0,17,90,1
1989,NHL,WIN,7,3,4,0,22,24,110,0,7,36,2,6,33,0
1985,NHL,NYR,16,8,8,0,47,55,426,4,13,70,3,14,81,4
1983,NHL,NYR,5,2,3,0,14,13,87,0,4,23,0,0,21,1
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
1977,NHL,ATF,2,0,2,0,5,8,24,0,0,4,1,3,6,0
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
2006,NHL,SJS,11,6,5,0,25,27,165,4,4,57,2,8,47,0
1937,NHL,CHI,10,7,3,0,26,21,66,,,,,,,
1992,NHL,QUE,6,2,4,0,16,19,94,2,4,18,0,4,21,0
1977,NHL,NYR,3,1,2,0,6,11,62,0,2,10,0,2,11,0
2005,NHL,SJS,11,6,5,0,29,29,144,2,11,72,2,12,62,0
1947,NHL,NYR,6,2,4,0,12,17,43,,,,,,,
2008,NHL,PHI,6,2,4,0,16,18,116,0,4,30,0,4,32,1
1997,NHL,COL,7,3,4,0,16,19,209,0,5,35,0,7,46,1
1991,NHL,BOS,15,8,7,0,40,51,254,2,11,61,3,15,77,1
1987,NHL,EDM,19,16,2,1,87,56,635,8,32,117,,20,117,2
1997,NHL,PHI,5,1,4,0,9,18,90,4,3,36,2,9,31,0
2008,NHL,SJS,6,2,4,0,10,18,85,0,4,24,0,5,23,0
2002,NHL,VAN,14,7,7,0,34,47,239,2,13,73,1,18,76,2
2007,NHL,DET,22,16,6,0,72,41,243,4,20,106,0,14,98,6
2008,NHL,CBS,4,0,4,0,7,18,60,2,3,13,0,7,22,0
1929,NHL,CHI,2,0,1,1,2,3,50,,,,,,,
1997,NHL,MTL,10,4,6,0,28,32,148,0,6,50,3,9,58,0
2009,NHL,VAN,12,6,6,0,43,41,175,6,11,50,2,17,54,0
1954,NHL,DET,11,8,3,0,41,26,143,,,,,,,
1925,NHL,OTS,2,0,1,1,1,2,42,,,,,,,
1996,NHL,OTT,7,3,4,0,13,14,91,2,7,35,1,2,27,0
1989,NHL,WAS,15,8,7,0,49,48,480,0,13,71,3,13,79,3
1984,NHL,DET,3,0,3,0,8,23,101,0,2,16,0,7,16,0
1922,NHL,MTL,2,1,1,0,2,3,44,,,,,,,
2010,NHL,PHO,4,0,4,0,10,18,41,0,6,18,0,4,15,0
1989,NHL,NJD,6,2,4,0,18,21,225,2,5,31,0,4,29,1
1992,NHL,BUF,8,4,4,0,31,28,116,0,10,39,2,10,36,1
1998,NHL,PHI,6,2,4,0,11,9,82,0,3,27,0,5,34,0
1980,NHL,NYR,14,7,7,0,60,56,402,6,11,59,4,18,65,2
1976,WHA,QUN,17,12,5,0,79,56,,,,,,,,
1917,PCHA,SEA,2,0,1,1,2,3,,,,,,,,
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1975,WHA,SDM,11,5,6,0,36,39,,,,,,,,
1985,NHL,STL,19,10,9,0,64,70,579,0,13,91,3,26,96,3
1993,NHL,MTL,7,3,4,0,20,22,106,0,6,28,1,7,31,0
1943,NHL,TOR,5,1,4,0,6,23,48,,,,,,,
1992,NHL,CHI,4,0,4,0,6,13,74,2,1,24,1,7,25,0
1989,NHL,TOR,5,1,4,0,16,20,257,0,4,28,1,8,28,1
1995,NHL,STL,13,7,6,0,37,37,214,2,11,69,2,15,75,4
1993,NHL,NYI,4,0,4,0,3,22,83,0,1,17,0,8,27,0
1997,NHL,DET,22,16,6,0,75,49,334,6,20,129,3,14,119,6
1990,NHL,NJD,7,3,4,0,21,21,211,2,8,33,0,7,38,1
1975,NHL,ATF,2,0,2,0,1,3,21,0,0,8,0,0,6,0
1945,NHL,BOS,10,5,5,0,29,29,47,,,,,,,
2005,NHL,COL,9,4,5,0,22,31,166,2,5,52,1,7,50,2
1957,NHL,MTL,10,8,2,0,35,20,121,,,,,,,
2000,NHL,CAR,6,2,4,0,8,20,115,0,3,29,1,2,24,0
2000,NHL,OTT,4,0,4,0,3,10,48,0,0,16,0,3,13,0
1962,NHL,CHI,6,2,4,0,19,25,104,,,,,,,
1949,NHL,TOR,7,3,4,0,11,10,117,,,,,,,
2002,NHL,EDM,6,2,4,0,11,20,131,2,1,23,0,7,39,1
1989,NHL,STL,12,7,5,0,42,44,432,2,16,62,3,12,70,1
1973,NHL,TOR,4,0,4,0,9,17,45,,1,,1,2,,0
1939,NHL,TOR,10,6,4,0,21,19,123,,,,,,,
1937,NHL,BOS,3,0,3,0,3,6,28,,,,,,,
1975,NHL,CHI,4,0,4,0,3,13,67,2,2,16,1,3,17,0
