island,country,province
Саваи,WS,Самоа
Филикуди,I,Калабрия
Западный Фолкленд,ФАЛК,Фолклендские острова
Остров Рене Левассеур,КН,Онтарио
Великобритании,ГБ,Блейно Гвент
Гуам,ГУАМ,Гуам
Великобритании,ГБ,Корнуолл
Куба,C,Сьюдад-де-ла-Хабана
Хонсю,J,Аомори
Великобритании,ГБ,Кливленд
Остров Сан-Клементе,США,Калифорния
Гозо,М,Мальта
Шетландский материк,ГБ,Шетланд
Куба,C,Сьенфуэгос
Паней,РП,Филиппины
Великобритании,ГБ,Торфаен
Испаньола,РЧ,Гаити
Куба,C,Сьего де Авила
Маллорка,E,Балеарские острова
Кракатау,РИ,Индонезия
Чиос,ГР,Верион &lt; &lt; Айяон &gt; &gt;
