lake,country,province
Брайенцерзе,CH,БУДЬ
Озеро Преспа,ГР,Дхитики Македония
Саймаа,SF,Кими
Мертвое море,Ил,Южное
Каспийское море,IR,Гилан
Озеро Шампанское,КН,Квебек
Озеро Киву,РВА,Руанда
Озеро Сесе Секо/Альбертзе,ЗРЕ,Верхний Заир
Озеро Охрид,MK,Чешская Республика
Озеро Виктория,ЕАТ,Мванза
Озеро Тахо,США,Калифорния
Балатон,Н,Веспрем
Озеро Титикака,ПЭ,Пуно
Озеро Нипигон,КН,Онтарио
Vierwaldstattersee,CH,ОЖ
Озеро Шампанское,США,Вермонт
Пирамидское озеро,США,Невада
Каспийское море,KAZ,Мангистау
Озеро Хьюм,AUS,Виктория
Бодензе,D,Баден Вуртемберг
Каспийское море,IR,Мазандаран
Кратерское озеро,США,Орегон
Озеро Пауэлл,США,Юта
озеро Сакакавеа,США,Монтана
Озеро Каинджи,ВАН,Нигерия
Озеро Мид,США,Невада
Ozero Tschany,Р,Новосибирская область
Озеро Аббе,ДСО,Джибути
Барьер &lt; &lt; Мбакау &gt; &gt;,КАМ,Адамауа
Озеро Женезарет,СИР,Сирия
Озеро Пауэлл,США,Аризона
Озеро Май Ндомбе,ЗРЕ,Бандунду
Соль Makarikari Pan,РБ,Ботсвана
Озеро Танганджика,ЕАТ,Мбея
Аммерзе,D,Байерн
Великолепное медвежье озеро,КН,Северо-западные территории
Озеро Ван,ТR,Битлис
озеро Сакакавеа,США,Северная Дакота
Озеро Иразу,ЧР,Картаго
Ozero Onega,Р,Вологодская область
Озеро Эри,США,Пенсильвания
Озеро Окечоби,США,Флорида
Озеро Малави,МПК,Ньяса
Мьоза-Смотри.,Н,Хедмарк
Озеро Маникуаган,КН,Квебек
Маеларен,И,Вазманленд
Озеро Туркана,ЭТО,Эфиопия
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Санта-Фе
Лаго Маггиоре,I,Ломбардия
Озеро Кебан,ТR,Малатья
Мертвое море,ЗАХОД,Западный берег
Лак Леман,CH,ГЭ
Озеро Танганджика,ЗРЕ,Шаба/Катанга
Цюрихсэ,CH,ZH
Лак-ассаль,ДСО,Джибути
Сильвян,И,Даларна
Туннели,CH,БУДЬ
Озеро Кариба,ZW,Зимбабве
Каспийское море,KAZ,Атырау
Озеро Насер,ЕТ,Асван
Озеро Мичиган,США,Висконсин
Крейтерское озеро Ликанкабур,RCH,Чили
Озеро Руква,ЕАТ,Мбея
Веттерн,И,Skaraborg
Валенерн,И,Skaraborg
Озеро Эри,США,Огайо
Лаго-ди-Больсена,I,Лацио
Великое Невольничье озеро,КН,Северо-западные территории
Чадское озеро,РН,Нигер
Озеро Онтарио,США,Нью-Йорк
Озеро Танганджика,ЗРЕ,Киву
Озеро Онтарио,КН,Онтарио
Vierwaldstattersee,CH,LU
Озеро Эри,КН,Онтарио
Озеро Хьюм,AUS,Новый Южный Уэльс
Каспийское море,Р,Астраханская область
Ozero Balchash,KAZ,Тальдюкорган
Озеро Кариба,Z,Южный
Чимси,D,Байерн
Лаго Трасимено,I,Умбриа
Иссык-Куль,KGZ,Кыргызстан
