country,continent,percentage
LAO,Азия,100.0
МПК,Африка,100.0
БВ,Азия,100.0
СУД,Африка,100.0
БИ,Африка,100.0
GQ,Африка,100.0
WV,Америки,100.0
МВ,Азия,100.0
М,Европа,100.0
NEP,Азия,100.0
CY,Европа,100.0
БЕРМ,Америки,100.0
И ДОЛЖНОСТНЫЕ ЛИЦА,Европа,100.0
ЕАС,Африка,100.0
Кл,Азия,100.0
ARU,Америки,100.0
ЭТО,Африка,100.0
БиГ,Европа,100.0
KGZ,Азия,100.0
ЛТ,Европа,100.0
ПЭ,Америки,100.0
ТА,Азия,100.0
ТR,Европа,5.0
Ил,Азия,100.0
ГЭ,Азия,100.0
PL,Европа,100.0
КН,Америки,100.0
HR,Европа,100.0
J,Азия,100.0
ГРАД,Америки,100.0
АЗС,Африка,100.0
МК,Европа,100.0
SLB,Австралия/Океания,100.0
Р,Азия,80.0
C,Америки,100.0
B,Европа,100.0
БВИР,Америки,100.0
ТМ,Азия,100.0
