sea,country,province
Персидский залив,ОАЭ,Аджман
Средиземное море,ГР,Кедрики Македония
Норвежское море,Н,Тронделаг
Атлантический океан,РЭ,Чубут
Атлантический океан,АНГ,Заир
Норвежское море,SVAX,Свальбард
Тихоокеанский океан,J,Кочи
Атлантический океан,США,Грузия
Индийский океан,РМ,Фианарантсоа
Тихоокеанский океан,ES,Сальвадор
Атлантический океан,США,Южная Каролина
Арабское море,СИН,Керала
Охотское море,Р,Магаданская область
Восточно-Китайское море,J,Нагасаки
Южно-Китайское море,ХОНКС,Гонконг
Атлантический океан,Р,Алгарв
Атлантический океан,США,Коннектикут
Канал,F,Басс Норманди
Балтийское море,SF,Аландская
Бенгальский залив,СИН,Орисса
Черное море,ТR,Синоп
Балтийское море,И,Кристианстад
Балтийское море,И,Бликинг
Тихоокеанский океан,J,Фукусима
Атлантический океан,КР,Пункт
Японское море,J,Фукуока
Атлантический океан,GH,Гана
Индийский океан,МПК,Кабо Дельгадо
Тихоокеанский океан,ПЭ,Мокегуа
Японское море,Р,Хабаровский крей
Японское море,J,Фукуи
Северное море,Н,Хордаланд
Атлантический океан,C,Гуантанамо
Атлантический океан,ГБ,Внешние гебриды
Тихоокеанский океан,ПА,Чирики
Средиземное море,МК,Монако
Балтийское море,И,Мальмохус
Карибское море,СМАРТ,Сент-Мартин
Средиземное море,I,Лацио
Средиземное море,F,Прованс Коте dAzur
Карибское море,CO,Кордоба
Атлантический океан,G,Габон
Индийский океан,МПК,Софала
Скагеррак,Н,Вест Агдер
Персидский залив,ОАЭ,Умм аль-Кайвейн
Каттегат,И,Кристианстад
Восточно-Китайское море,J,Кумамото
Южно-Китайское море,ТДж,Фуцзянец
Индийский океан,РМ,Анциранана
Тихоокеанский океан,МЕКС,Оахака
Тихоокеанский океан,МЕКС,Халиско
