island,sea,lake,river
Остров Санта-Роза,Тихоокеанский океан,,
Лэнди,Атлантический океан,,
Гренландия,Северный Ледовитый океан,,
Фуэн,Балтийское море,,
Порту Санто,Атлантический океан,,
Бальтрум,Северное море,,
Готландия,Балтийское море,,
Форментера,Средиземное море,,
Тарава,Тихоокеанский океан,,
Остеринсел,Тихоокеанский океан,,
Тайвань,Южно-Китайское море,,
Кайман Брак,Карибское море,,
Футуна,Тихоокеанский океан,,
Тиниан,Тихоокеанский океан,,
Влиленд,Северное море,,
Изабель,Тихоокеанский океан,,
Тайвань,Восточно-Китайское море,,
Гран-Коморо,Индийский океан,,
Эмбон,Сундское море,,
Фонгафейл,Тихоокеанский океан,,
Антигуа,Карибское море,,
Бонайре,Карибское море,,
Великобритании,Северное море,,
Сент-Китс,Карибское море,,
Хонсю,Тихоокеанский океан,,
Кракатау,Индийский океан,,
Терсейра,Атлантический океан,,
Боркум,Северное море,,
Льюис и Харрис,Атлантический океан,,
Тутуила,Тихоокеанский океан,,
Тенерифа,Атлантический океан,,
Сарденья,Средиземное море,,
Остров Санта-Каталина,Тихоокеанский океан,,
Барбадос,Атлантический океан,,
Фейлиал,Атлантический океан,,
Батам,Южно-Китайское море,,
Остров Котельни,Сибирианское море,,
Сицилия,Средиземное море,,
Ибица,Средиземное море,,
Липари,Средиземное море,,
Аликуди,Средиземное море,,
Сент-Китс,Атлантический океан,,
Гомера,Атлантический океан,,
Закинтос,Средиземное море,,
Фого,Атлантический океан,,
Остров Виктория,Северный Ледовитый океан,,
Лесбос,Средиземное море,,
Те Вака-а-Мауи (Южный остров),Тихоокеанский океан,,
Сан-Томе,Атлантический океан,,
Углы,Ирландское море,,
Остров Баффин,Северный Ледовитый океан,,
Куба,Мексиканский залив,,
Басс-Терре,Атлантический океан,,
