country,target
TN,нехристианские
ПР,Кристиан
СИН,нехристианские
РП,Кристиан
ТТ,Кристиан
SK,Кристиан
CO,Кристиан
МАКХ,нехристианские
ГУАМ,Кристиан
IRL,Кристиан
ВАФА,Кристиан
ES,Кристиан
NEP,нехристианские
RG,нехристианские
ВРЕМЯ,Кристиан
Н,Кристиан
MK,Кристиан
КН,Кристиан
G,Кристиан
РЧ,Кристиан
ФЛ,Кристиан
TCH,нехристианские
LAO,нехристианские
СИР,нехристианские
A,Кристиан
BZ,Кристиан
БВ,нехристианские
AFG,нехристианские
АМСА,Кристиан
МСП,нехристианские
COCO,нехристианские
Новой Зеландии,Кристиан
RO,Кристиан
БЕРМ,Кристиан
ДН,Кристиан
CV,Кристиан
ЕТ,нехристианские
ЗАХОД,нехристианские
Мэйо,нехристианские
БОЛ,Кристиан
ХОНКС,Кристиан
ТЛ,Кристиан
КИР,Кристиан
RL,нехристианские
ЧР,Кристиан
ОК,Кристиан
AUS,Кристиан
Клянусь!,Кристиан
JOR,нехристианские
ГНБ,нехристианские
ГРОКС,Кристиан
ЛС,Кристиан
IR,нехристианские
CY,Кристиан
АНГ,Кристиан
М,Кристиан
Q,нехристианские
ГЭ,Кристиан
МВт,Кристиан
