name,islands,area,height,type,longitude,latitude
Сан-Томе,,859.0,2024.0,вулканическое,6.6,0.2
Лампедуза,,20.0,113.0,вулканическое,13.2,35.4
Гозо,Мальта,67.0,176.0,,14.3,36.05
Уполу,Острова Самоа,1125.0,1158.0,вулканическое,-171.75,-13.9
Остров Рождества,,135.0,350.0,кораллы,105.43,-10.25
Айла да Ометепе,,270.0,1700.0,,-85.6,11.5
Анжуан,Коморы,424.0,,,44.35,-12.2
Южное Уист,Внешние гебриды,320.0,,,-7.2,57.2
Монтсеррат,Малые Антильские острова,102.0,1050.0,вулканическое,-62.13,16.42
Амрум,Nordfrisische Inseln,20.5,32.0,,8.3,54.65
Самос,Споры,478.0,1434.0,,26.8,37.7
Самосир,,852.0,,вулканическое,98.85,2.6
Воссоединение,,2510.0,3069.0,вулканическое,55.5,-20.9
Тонгатапу,Тонга,260.0,65.0,кораллы,-175.15,-21.2
Мауи,Гавайские острова,1883.0,3055.0,,-156.3,20.7
Остров Санта-Роза,Калифорнийские Нормандские острова,215.0,484.0,,-120.1,34.0
Аландская,Аландские острова,650.0,,,20.0,60.1
Маленький Кайман,Каймановы острова,20.0,,,-80.0,19.8
Миндоро,Филиппины,10244.0,,,121.1,13.0
Питкэрн,Острова Питкэрн,4.5,347.0,вулканическое,-130.05,-25.04
Остров Санта-Крус,Калифорнийские Нормандские острова,245.0,747.0,,-119.7,34.0
Углы,Британские острова,715.0,,,-4.4,53.3
Пемба,,984.0,,,39.7,-5.2
Хоккайдо,Япония,83456.0,2290.0,вулканическое,143.0,43.3
Остров Сан-Клементе,Калифорнийские Нормандские острова,147.0,599.0,,-118.5,33.0
Тринидад,Малые Антильские острова,4827.0,940.0,,-61.35,10.4
Бишоп Рок,Шилли-Айлендс,,,,-6.3,50.0
Эфат,Вануату,900.0,647.0,,168.4,-17.8
Гешм,,1491.0,,,,
Иерро,Канареи,268.0,1500.0,вулканическое,-18.0,27.7
Маджуро,Маршалловы Острова,9.2,,Атолл,171.4,7.1
Молокай,Гавайские острова,676.0,1512.0,,-157.0,21.1
Лансароте,Канареи,846.0,671.0,вулканическое,-13.6,29.0
Гренландия,,2175600.0,,,-40.0,70.0
Полезность,,445.0,,,14.1,53.9
Тарава,Острова Гилберта,,,Атолл,173.0,1.4
Гвадалканал,Соломоновы Острова,5358.0,2335.0,,160.2,-9.6
