country,gdp,agriculture,service,industry,inflation
AFG,12800.0,65.0,15.0,20.0,
АНГ,7400.0,12.0,56.0,32.0,20.0
AZ,11500.0,,,,85.0
БД,144500.0,,,,4.5
Бен,7600.0,36.8,12.6,50.6,55.0
BF,7400.0,32.0,24.0,44.0,5.0
БВ,1300.0,,,,8.6
БИ,4000.0,54.1,16.8,29.1,10.0
БОЛ,20000.0,,,,12.0
КР,976800.0,16.0,25.0,59.0,23.0
КАМ,16500.0,29.0,24.0,47.0,48.0
CI,21900.0,37.0,24.0,39.0,10.0
COM,370.0,,,,15.0
CV,440.0,13.0,17.0,70.0,5.0
ДСО,500.0,3.0,21.0,76.0,6.0
ЭАК,36800.0,27.0,19.0,54.0,1.7
ЕАТ,23100.0,58.0,8.0,34.0,25.0
ЕАС,16800.0,55.0,12.0,33.0,6.1
ЧП,2000.0,,,,10.0
ЕТ,171000.0,,,,9.4
ЭТО,24200.0,48.0,15.0,37.0,10.0
G,6000.0,8.2,44.7,47.1,15.0
СУА,36700.0,25.0,20.0,55.0,9.0
GH,25100.0,47.0,16.0,37.0,69.0
ГНБ,1000.0,44.0,8.0,48.0,15.0
GQ,325.0,47.0,26.0,27.0,41.0
Парень,1600.0,26.5,27.8,45.7,8.1
СИН,1408700.0,,,,9.0
IR,323500.0,21.0,37.0,42.0,60.0
ИРК,41100.0,,,,
К,7000.0,52.0,13.5,34.5,6.0
KAZ,46900.0,28.5,41.5,30.0,60.3
KGZ,5400.0,,,,32.0
КИР,68.0,,,,5.5
LAO,5200.0,50.0,17.0,33.0,20.0
ЛАР,32900.0,,,,25.0
ЛБ,2300.0,,,,50.0
ЛС,2800.0,10.4,48.8,40.8,9.5
Мэйо,953.6,,,,
МПГ,4900.0,28.0,35.0,37.0,53.0
МПК,12200.0,33.0,12.0,55.0,50.0
МВт,6900.0,31.0,14.0,55.0,83.3
МЬЯ,47000.0,60.0,10.0,30.0,38.0
NEP,25200.0,49.3,18.4,32.3,6.7
ПЭ,87000.0,,,,10.2
ПК,274200.0,24.0,27.0,49.0,13.0
ПНГ,10200.0,,,,15.0
РБ,4500.0,5.0,,,10.0
РСС,2500.0,50.0,14.0,36.0,45.0
КБК,7700.0,11.4,35.2,53.4,61.0
RG,6500.0,24.0,31.0,45.0,4.1
РЧ,6500.0,34.8,23.0,42.2,14.5
РИ,710900.0,17.0,32.6,50.4,8.6
РИМ,2800.0,27.1,29.5,43.4,3.5
РМ,11400.0,35.0,15.0,50.0,35.0
РММ,5400.0,42.4,15.4,42.2,8.0
РН,5500.0,38.5,17.9,43.6,35.6
РТ,4100.0,49.2,17.7,33.1,8.8
РВА,3800.0,52.0,13.0,35.0,64.0
УР,3600.0,25.0,40.0,35.0,14.7
SN,14500.0,,,,6.1
СП,3600.0,,,,
ПДТ,138.0,28.0,14.0,58.0,38.0
СУД,25000.0,33.0,17.0,50.0,66.0
TAD,6400.0,,,,28.0
TCH,3300.0,49.0,17.0,34.0,41.0
ТМ,11500.0,32.5,33.4,34.1,25.0
Юзеф,54700.0,,,,7.7
БУ,210.0,,,,7.0
ВАГ,1100.0,27.0,15.0,58.0,1.7
ВАЛ,4400.0,40.0,17.0,43.0,24.0
ВАН,135900.0,38.0,22.0,40.0,57.0
АЗС,,,,,
