country,name,percentage
SF,Протестанты,89.0
CI,Кристиан,12.0
РН,Мусульмане,80.0
DZ,Мусульмане,99.0
SK,Протестанты,8.4
ТТ,Индуистский,24.3
Q,Мусульмане,95.0
США,Протестанты,56.0
SLB,Протестанты,5.0
ДЖА,Протестанты,55.9
SK,Римская католическая,60.3
БиГ,Христианская православная,31.0
E,Римская католическая,99.0
ZW,Мусульмане,1.0
ЗРЕ,Кимбангуист,10.0
ТЛ,Протестанты,1.0
ВРЕМЯ,Римская католическая,94.0
СУД,Мусульмане,70.0
BZ,Протестанты,30.0
ФШМ,Протестанты,47.0
LAO,Буддисты,60.0
MS,Кристиан,28.3
НОРФ,Объединение Церкви Австралии,16.4
США,Римская католическая,28.0
МСП,Протестанты,25.2
DZ,Кристиан,0.5
ТА,Буддисты,95.0
SY,Англиканский,8.0
IR,Мусульмане,99.0
БГ,Мусульмане,13.0
МАРТ,Римская католическая,95.0
WD,Римская католическая,77.0
БУ,Церковь Христос,3.8
ДСО,Мусульмане,94.0
ЗРЕ,Римская католическая,50.0
SN,Кристиан,2.0
NEP,Буддисты,5.0
ЭАК,Протестанты,38.0
ЭАК,Римская католическая,28.0
КБК,Мусульмане,2.0
