country1,country2,length
RO,ОПП,476.0
CZ,SK,215.0
МАКХ,ТДж,0.34
ДСО,ЧП,113.0
BZ,МЕКС,250.0
СУД,ЗРЕ,628.0
DZ,АЗС,42.0
РИМ,АЗС,1561.0
Бен,РТ,644.0
MK,ОПП,62.0
БОЛ,КР,3400.0
IR,ИРК,1458.0
РСС,СУД,1165.0
Н,HR,329.0
И ДОЛЖНОСТНЫЕ ЛИЦА,F,60.0
AL,ГР,282.0
KOS,МНП,79.0
Н,SF,729.0
Z,ZW,797.0
ГЭ,ТR,252.0
AZ,Р,284.0
AZ,IR,611.0
F,I,488.0
ЕАТ,РВА,217.0
CH,F,573.0
Норк,Р,19.0
E,F,623.0
ТМ,Юзеф,1621.0
ЕАС,РВА,169.0
РОУ,С.А.,676.0
ЭВ,ЛВ,267.0
ДСО,ЭТО,337.0
ПК,ТДж,523.0
LAO,VN,2130.0
Н,UA,103.0
МЬЯ,ТДж,2185.0
PL,Р,206.0
KGZ,Юзеф,1099.0
Клянусь!,ЛТ,502.0
AZ,ТR,9.0
БИ,РВА,290.0
PL,UA,428.0
D,ДК,68.0
КН,США,8893.0
KAZ,Юзеф,2203.0
Клянусь!,ЛВ,141.0
A,I,430.0
KGZ,TAD,870.0
Н,И,1619.0
ARM,IR,35.0
РБ,ZW,813.0
БОЛ,RCH,861.0
CH,I,740.0
БИ,ЗРЕ,233.0
БРУ,ТЗА,381.0
ФГУ,МСП,510.0
A,SK,91.0
G,КБК,1903.0
RG,SN,330.0
ARM,ГЭ,164.0
ДОМ,РЧ,275.0
КБК,ЗРЕ,2410.0
KOS,ОПП,352.0
РСС,ЗРЕ,1577.0
