country,independence,dependent,government
ЕТ,1922-02-28,,Республика
IR,1979-04-01,,Метрополитическая республика
ПР,,США,"содружество, связанное с США"
ВАФА,,F,Зарубежная территория Франции
ПДТ,1975-07-12,,Республика
ГУАМ,,США,организован
УР,1968-09-06,,монархия
К,1949-11-09,,"многопартийная либеральная демократия под конституционной монархией, созданной в сентябре 1993 года"
ДСО,1977-06-27,,Республика
A,1918-11-12,,Федеративная республика
AUS,1901-01-01,,Федеральный парламентский штат
ФШМ,1986-11-03,,конституционное правительство в свободной ассоциации с США
UA,1991-12-01,,Республика
БРУ,1984-01-01,,конституционный султанат
BS,1973-07-10,,Содружество
GQ,1968-10-12,,Переходная республика к многопартийной демократии
НОРФ,,AUS,территории Австралии
ДА,1990-05-22,,Республика
ПК,1947-08-14,,Республика
КН,1867-07-01,,Конфедерация с парламентской демократией
КБК,1960-08-15,,Республика
КИР,1979-07-12,,Республика
НИК,1821-09-15,,Республика
БД,1971-12-16,,Республика
,,Нл,часть нидерландского королевства
NAU,1968-01-31,,Республика
WS,1962-01-01,,конституционная монархия вождя коренного населения
ГБЦ,,ГБ,зависимых территорий Соединенного Королевства
CY,1960-08-16,,Республика
KGZ,1991-08-31,,Республика
ГРАД,,F,Министерство иностранных дел Франции
МСП,1975-11-25,,Республика
CI,1960-08-07,,Республика
РТ,1960-04-27,,Республика в процессе перехода к многопартийному демократическому правлению
PL,1918-11-11,,демократическое государство
РШМ,0301-01-01,,Республика
SVAX,,Н,"Норвегией, управляемой министерством промышленности"
ТА,1238-01-01,,конституционная монархия
Р,1140-01-01,,Республика
РЧ,1804-01-01,,Республика
ДОМ,1844-02-27,,Республика
БВИР,,ГБ,Британские заморские территории
ТУКА,,ГБ,Британские заморские территории
НМИС,,США,содружество в политическом союзе с США
CZ,1993-01-01,,парламентская демократия
XMAS,,AUS,территории Австралии
СИН,1947-08-15,,Федеративная республика
Z,1964-10-24,,Республика
ТТ,1962-08-31,,парламентская демократия
KN,1983-09-19,,конституционная монархия
