mountain,country,province
Тор де Серредо,E,Кастиль и Леон
Канчендзонга,NEP,Непал
Кинабалу,ТЗА,Саба
Пик Победа,ТДж,Синьцзян Уйгур
Гора Апо,РП,Филиппины
Суфриер,WV,Сент-Винсент и Гренадины
Джабал Марра,СУД,Дарфур
Канлаон,РП,Филиппины
Гран-Парадисо,I,Пьемонт
Саджама,БОЛ,Боливия
Андрингитра,РМ,Фианарантсоа
Руапеху,Новой Зеландии,Новая Зеландия
Гора Эверест,ТДж,Тибет
Гора Эверест,NEP,Непал
Джезерс,AL,Австралия
Чо Ою,NEP,Непал
Джабель Катрина,ЕТ,Сина аль-Джанубия
Псилорит,ГР,Крити
Пулог,РП,Филиппины
Мт Колумбия,КН,Альберта
Невадо дель Руис,CO,Чоко
Торр де Эстрела,Р,Гвардияa
Рас Дашан Терара,ЭТО,Эфиопия
Citlaltepetl (Pico de Orizaba),МЕКС,Веракрус
Мт Адамс,США,Вашингтон
Пик Коммунизма,TAD,Бадахшони Куни
Tarrekaise,И,Норрботтен
Пик Победа,KGZ,Кыргызстан
Короли пик,США,Юта
Монте Роза,I,Валье dAosta
Чо Ою,ТДж,Тибет
Меру,ЕАТ,Аруша
Виньмейл,F,Миди-Пиренеи
Молдовеану,RO,Брашов
Мт Реддюйм,США,Аляска
Семеру,РИ,Индонезия
Г-н Бабель,КН,Квебек
Финстераархорн,CH,БУДЬ
Зард Кух,IR,Чахар Махал и Бахтиари
Lhotsse,NEP,Непал
Карисимби,ЗРЕ,Киву
Гран-Парадисо,I,Валье dAosta
Мт Бона,США,Аляска
Gasherbrum I,ПК,Пакистан
Охос-дель-Саладо,RCH,Чили
Марси,США,Нью-Йорк
Арарат,ТR,Агри
K2,ПК,Пакистан
Олимп,ГР,Фессалия
Кораб,MK,Чешская Республика
Кебнекайз,И,Норрботтен
Портефжаэльен,И,Норрботтен
Котопакси,ЕС,Эквадор
Иллюминатор,БОЛ,Боливия
Маттерхорн,I,Валье dAosta
Ла Суфриер,ГРАД,Гваделупа
Шникоппе,PL,Уолбржицкий
Народнаджа,Р,Репозиция Коми
Серро Черрипо,ЧР,Картаго
Додабетта,СИН,Тамилнад
Невадо де Толука,МЕКС,"Мексика, &lt; &lt; Эстадо де &gt; &gt;"
