country,organization,type
УРБ,МФСР,Категория III
БРИН,ФАО,Член
МЬЯ,МБРР,Член
ЕТ,ВОИС,Член
ЛТ,ЕЭК,Член
SGP,ООН,Член
SK,ГЯП,Член
SN,МООНПР,Член
РШМ,ОБСЕ,Член
AL,МФК,Член
М,МСЭ,Член
СУД,ВОИС,Член
Норк,ЮНИДО,Член
CH,МАГАТЭ,Член
УРБ,МОК,Национальный олимпийский комитет
B,Г-10,Член
И,МАГАТЭ,Член
СУА,КАСМ,Член
ГР,Интелсат,Член
РБ,WTRO,Член
WS,ФАО,Член
РСС,МОТ,Член
РШМ,ВОЗ,Член
МК,ИКАО,Член
CY,ЕС,Член
МСП,ООН,Член
РЭ,МВФ,Член
Новой Зеландии,КСП,Член
РП,ВКЛ,Член
РТ,ФАО,Член
БД,МООНПР,Член
Ил,ЕЭК,Член
РЭ,ООН,Член
IR,ВОИС,Член
JOR,МООННГ,Член
КАМ,МАГАТЭ,Член
E,УООН,Член
Н,КМООНА III,Член
ZW,ВОИС,Член
ТА,ИКМООНН,Член
ПА,ППТС,Член
