sea1,sea2
Атлантический океан,Индийский океан
Малаккский пролив,Южно-Китайское море
Северное море,Норвежское море
Арабское море,Индийский океан
Индийский океан,Тихоокеанский океан
Черное море,Средиземное море
Черное море,Азовское море
Арабское море,Аденский залив
Атлантический океан,Норвежское море
Восточно-Китайское море,Тихоокеанский океан
Карибское море,Мексиканский залив
Северное море,Скагеррак
Восточно-Китайское море,Желтое море
Атлантический океан,Средиземное море
Северный Ледовитый океан,Беременное море
Андаманское море,Бенгальский залив
Северный Ледовитый океан,Море Баренцев
Тихоокеанский океан,Охотское море
Андаманское море,Малаккский пролив
Бенгальский залив,Сундское море
Атлантический океан,Северное море
Беременное море,Тихоокеанский океан
Арабское море,Оманский залив
Тихоокеанский океан,Японское море
Восточно-Китайское море,Японское море
Балтийское море,Северное море
Японское море,Охотское море
Тихоокеанский океан,Море Сулавеси
Аденский залив,Индийский океан
Атлантический океан,Канал
Тихоокеанский океан,Сундское море
Каттегат,Скагеррак
Атлантический океан,Мексиканский залив
Северное море,Канал
