abbreviation,name,city,country,province,established
НАТО,Организация Североатлантического договора,Брюссель,B,Брабант,1949-09-17
СООННР,Силы Организации Объединенных Наций по наблюдению за разъединением,Дамаск,СИР,Сирия,1974-05-31
АГ,Андская группа,Лима,ПЭ,Лима,1969-05-26
ОЭС,Организация экономического сотрудничества,Тегеран,IR,Тегеран,1985-01-01
МНООНТ,Миссия наблюдателей Организации Объединенных Наций в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
ВСООНЛ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
АМП,Арабский валютный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
МАГАТЭ,Международное агентство по атомной энергии,Вена,A,Вена,1956-10-26
МОК,Международный олимпийский комитет,Лозанна,CH,VD,1894-06-23
ЮДЕАК,Таможенный и экономический союз Центральной Африки,Банги,РСС,Центральноафриканская Республика,1964-12-08
ВКЛ,Всемирная конфедерация труда,Брюссель,B,Брабант,1920-06-19
ОЧЭС,Зона Черноморского экономического сотрудничества,,,,1992-06-25
ЕЭК,Европейская экономическая комиссия,Женева,CH,ГЭ,1947-03-28
МФСР,Международный фонд сельскохозяйственного развития,Рим,I,Лацио,1974-11-01
CP,План Коломбо,Коломбо,Кл,Шри-Ланка,1951-07-01
ОЭСР,Организация экономического сотрудничества и развития,Париж,F,Иль де Франция,1960-12-14
МАБР,Межамериканский банк развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1959-04-08
Группа 24,Группа 24,Брюссель,B,Брабант,1972-01-01
БКИ,Центральноамериканский банк экономической интеграции,Тегусигальпа,HCA,Франциско Моразан,1960-12-13
Интелсат,Международная организация спутниковой связи,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1971-08-20
ОООНВД,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
Группа 15,Группа 15,Женева,CH,ГЭ,
ЗЕС,Западноевропейский союз,Брюссель,B,Брабант,1954-10-23
ЮНЕСКО,"Организация Объединенных Наций по вопросам образования, науки и культуры",Париж,F,Иль де Франция,1945-11-16
ОМЧП,Партнерство во имя мира,,,,1994-01-10
АТЭС,Азиатско-тихоокеанское экономическое сотрудничество,Сингапур,SGP,Сингапур,1989-11-07
ОПЕК,Организация стран-экспортеров нефти,Вена,A,Вена,1960-09-14
АКТ,"Страны Африки, Карибского бассейна и Тихоокеанского региона",Брюссель,B,Брабант,1976-04-01
КАЕУ,Совет арабского экономического единства,Амман,JOR,Иордания,1957-06-03
ВМО,Всемирная метеорологическая организация,Женева,CH,ГЭ,1947-10-11
ОАЕ,Организация африканского единства,Аддис-Абеба,ЭТО,Эфиопия,1963-05-25
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,РИ,Индонезия,1967-08-09
ЦЕИ,Центральноевропейская инициатива,Будапешт,Н,Будапешт (муниципалитет),1991-07-27
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,Парень,Гайана,1973-07-04
БИС,Банк международных расчетов,Базель,CH,BS,1930-01-20
САДК,Сообщество по вопросам развития стран юга Африки,Габороне,РБ,Ботсвана,1992-08-17
МООНРЗС,Миссия Организации Объединенных Наций по проведению референдума в Западной Сахаре,Нью-Йорк,США,Нью-Йорк,1991-04-29
ЕС,Европейский союз,Брюссель,B,Брабант,1992-02-07
ЮНКТАД,Конференция Организации Объединенных Наций по торговле и развитию,Женева,CH,ГЭ,1964-12-30
МВФ,Международный валютный фонд,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1944-07-22
Удовлетворение,Совет Согласия,Абиджан,CI,Кот-д &apos; Ивуар,1959-05-29
