country,population_growth,infant_mortality
AFG,4.78,149.7
АНГ,2.68,138.9
AZ,0.78,74.5
БД,1.85,102.3
Бен,3.32,105.1
BF,2.53,117.8
БВ,2.32,116.3
БИ,1.54,102.2
БОЛ,1.82,67.5
КР,1.16,55.3
КАМ,2.89,78.7
CI,2.92,82.4
COM,3.55,75.3
CV,2.93,54.3
ДСО,1.5,106.7
ЭАК,2.27,55.3
ЕАТ,1.15,105.9
ЕАС,2.24,99.4
ЧП,2.79,118.9
ЕТ,1.91,72.8
ЭТО,2.72,122.8
G,1.47,90.1
СУА,2.48,50.7
GH,2.29,80.3
ГНБ,2.35,115.8
GQ,2.58,98.0
Парень,-0.9,51.4
СИН,1.64,71.1
IR,2.21,52.7
ИРК,3.69,60.0
К,2.77,107.8
KAZ,-0.15,63.2
KGZ,0.07,77.8
КИР,1.89,52.9
LAO,2.81,96.8
ЛАР,3.67,59.5
ЛБ,2.13,108.1
ЛС,1.9,81.6
Мэйо,3.32,56.29
МПГ,1.69,69.7
МПК,2.65,125.6
МВт,1.71,139.9
МЬЯ,1.84,80.7
NEP,2.45,79.0
ПЭ,1.74,52.2
ПК,2.24,96.8
ПНГ,2.29,60.1
РБ,1.63,54.2
РСС,2.08,111.7
КБК,2.19,108.1
RG,1.85,134.1
РЧ,1.77,103.8
РИ,1.53,63.1
РИМ,3.17,81.7
РМ,2.83,93.5
РММ,2.95,102.7
РН,2.99,117.6
РТ,3.56,84.3
РВА,16.49,118.8
УР,3.24,88.4
SN,3.37,64.0
