desert,country,province
Сонора,МЕКС,Сонора
Гоби,ТДж,Гансу
Кысилкум,Юзеф,Самарканд
Ust Urt,KAZ,Aqtobe
Большой бассейн,США,Юта
Эрг Исауан,DZ,Алжир
Кысилкум,Юзеф,Каракальпогистон
Трарца,РИМ,Мавритания
Калахари,ДН,Намибия
Великий Эрг Эст,DZ,Алжир
Каракум,Юзеф,Каракальпогистон
Ордос,ТДж,Нэй Монголь
Дашт-э-Марго,AFG,Афганистан
Эрг Мактейр,РИМ,Мавритания
Thar,СИН,Пенджаб
Руб аль-Чали,ОАЭ,Эш Шарика
Муджункум,KAZ,Жамбил
Танезруфт,DZ,Алжир
Thar,ПК,Пакистан
Великий Эрг Вест,DZ,Алжир
Большой бассейн,США,Калифорния
Оуихи,США,Невада
Такла-Макан,ТДж,Синьцзян Уйгур
Сонора,МЕКС,Чиуауа
Ливийская пустыня,ЕТ,Эль-Гиза
Эрг Чеч,DZ,Алжир
Руб аль-Чали,ОАЭ,Абу-Даби
Дашт-е-Кавир,IR,Хорасан
Ригестан,ПК,Пакистан
Каракум,ТМ,Мэри
Атакама,RCH,Чили
Пустыня Симпсон,AUS,Квинсленд
Эрг Игиди,РИМ,Мавритания
Руб аль-Чали,ОАЭ,Рас-эль-Хайма
Эрг Ребиана,ЛАР,Ливия
Фесан,ЛАР,Ливия
Сагиа эль-Хамра,АЗС,Западная Сахара
Дашт-е-Кавир,IR,Семнан
Руб аль-Чали,ОАЭ,Умм аль-Кайвейн
Ордос,ТДж,Нинксиа Хуидзу
Каракум,ТМ,Ахал
Руб аль-Чали,С.А.,Саудовская Аравия
Пустыня,AUS,Северная территория
Великая пустыня Виктория,AUS,Западная Австралия
Пустыня в Нижней Калифорнии,МЕКС,Нижняя Калифорния
Сонора,США,Аризона
Ордос,ТДж,Шаанси
Сирийская пустыня,СИР,Сирия
Каракум,ТМ,Балканские острова
Большой бассейн,США,Невада
Нубийская пустыня,СУД,Шаркия
Рин,Р,Астраханская область
Thar,СИН,Гуджарат
Ферло,SN,Тамбакунда
Азауад,DZ,Алжир
