name,country,province,population,longitude,latitude
Вадуз,ФЛ,Лихтенштейн,27714.0,9.3,47.08
Гринсборо,США,Северная Каролина,183894.0,,
Чиниот,ПК,Пакистан,105559.0,,
Длинный год,SVAX,Свальбард,,15.33,78.13
Фукусима,J,Фукусима,,,
Манагуа,НИК,Никарагуа,1195000.0,-86.25,12.1667
Ростов-на-Дону,Р,Ростовская область,1026000.0,,
Сент-Пьер,СПМИ,Сент-Пьер и Микелон,5618.0,-56.0,47.0
Тарсус,ТR,Ицель,225000.0,,
Лабуан,ТЗА,Федералы Лабуана,,,
Тегеран,IR,Тегеран,6750043.0,51.4167,35.6833
Пномпень,К,Камбоджа,400000.0,104.85,11.55
Глазов,Р,Удмуртская Республика,107000.0,,
Сан-Жоао де Мерити,КР,Рио-де-Жанейро,433713.0,,
Бур Саид,ЕТ,Бур Саид (музыка),382000.0,,
Санкт Галлен,CH,SG,74106.0,,
Солсбери,ГБ,Уилтшир,109800.0,,
Сиеханоу,PL,Цичановски,,,
Крефельд,D,Нордрхейн Вестфален,249662.0,,
Хами,ТДж,Синьцзян Уйгур,161315.0,,
Джамму,СИН,Джамму и Кашмир,,74.3,32.2
Луганск,UA,Луганска,501000.0,,
Истрад Фаур,ГБ,Верфь,,,
Ричмонд,США,Вирджиния,202798.0,-77.3333,37.5
Петрозаводск,Р,Респондент Карелии,280000.0,,
Маруа,КАМ,Северная крайность,143000.0,,
Кафр-эш-Шейх,ЕТ,Кафр-эш-Шейх,,,
Адияман,ТR,Адияман,128000.0,,
Тимисоара,RO,Тимис,333000.0,,
Долина,AXA,Ангилья,,-63.03,18.13
Мтвара Микандани,ЕАТ,Мтвара,,,
Ньиргьяза,Н,Заболки Сатмар,115000.0,,
Кременчук,UA,Полтавска,238000.0,,
Шревпорт,США,Луизиана,198525.0,,
Тиргу Цзю,RO,Горж,,,
Потсдам,D,Бранденбург,138268.0,13.1,52.4
Райбинск,Р,Ярославская область,248000.0,,
&lt; &lt; Алькала де Хенарес &gt; &gt;,E,Мадрид,166250.0,,
Мурманск,Р,Мурманская область,407000.0,,
Чтение,ГБ,Беркшир,137700.0,,
Мэдисон,США,Висконсин,190766.0,-89.2,43.0
Пематанг Сянтар,РИ,Индонезия,219328.0,,
Аваруа,КОК,Острова Кука,,-159.46,-21.12
Модесто,США,Калифорния,164746.0,-121.0,37.65
Лилинг,ТДж,Хунан,108504.0,,
Канзас-Сити,США,Миссури,434829.0,-94.5833,39.1167
Эспоо,SF,Уусимаа,160480.0,24.3,60.2
Толедо,США,Огайо,332943.0,-83.8,41.6
Гиксиан,ТДж,Гуанси Чжуангзу,114025.0,,
Терраса,E,Каталония,161428.0,,
Пачука де Сото,МЕКС,Идальго,83892.0,-98.4,20.1
Запорожская,UA,Запориска,891000.0,,
Ила,ВАН,Нигерия,233000.0,,
Конкордия,РЭ,Энтр-Риос,116485.0,,
Киншаса,ЗРЕ,Киншаса,4655313.0,15.2,-4.3
Бойнард,IR,Хорасан,112426.0,,
Чиркик,Юзеф,Тоскент,156000.0,,
Питерборо,ГБ,Кембриджшир,156400.0,,
Самора,МЕКС,Мичоакан,109751.0,,
Ужгород,UA,Закарпатская,,,
Мягкое,ГБ,Флинтшир,,,
Оффенбах - главный,D,Гессен,116482.0,,
Братислава,SK,Словакия,,17.1,48.1
Наджаф,ИРК,Наджаф,309010.0,,
Макапа,КР,Амапа,214197.0,-52.0,0.5
Взгляните на меня.,ТR,Взгляните на меня.,,,
Сент-Хелен,ГБ,Мерсисайд,180200.0,,
Цзянмены,ТДж,Гуандун,230587.0,,
Нижний Тагиль,Р,Свердловская область,409000.0,,
Фуян,ТДж,Анхуи,179572.0,,
Сату Маре,RO,Сату Маре,137000.0,,
Эйзенштадт,A,Бургенланд,10102.0,16.0,48.0
Колпино,Р,Ленинградская область,143000.0,,
Маниса,ТR,Маниса,187500.0,,
Хоррамабад,IR,Лорестан,277370.0,,
Каир,ЕТ,Эль-Кахира,6053000.0,31.3333,29.8667
Секонди,GH,Гана,31916.0,,
Занджан,IR,Занджан,280691.0,,
Скарборо,КН,Онтарио,524598.0,,
Фор-де-Франция,МАРТ,Мартиника,100000.0,-61.0,14.6
Устный,KAZ,Баты-казакстан,219100.0,,
Легница,PL,Легкие,104000.0,,
Тояма,J,Тояма,,,
Чанчхун,ТДж,Джилин,2110000.0,125.15,43.5
Уайхуа,ТДж,Хунан,126785.0,,
