mountain,island
Концепция,Айла да Ометепе
Пико Дуарти,Испаньола
Этна,Сицилия
Халекала,Мауи
Пулог,Лузон
Гора Апо,Минданао
Piton des Neiges,Воссоединение
Руапеху,Те Ика-а-Мауи (Северный остров)
Мантальингаджан,Палаван
Мауна Луа,Гавайи
Пинатубо,Лузон
Керинчи,Суматра
Барбо Пик,Остров Эллесмир
Мерапи,Ява
Олимпос,Кипр
Гунунг Бинайя,Церам
Асахи-Дейк,Хоккайдо
Панчак Джая,Новая Гвинея
Tatamailau,Тимор
Фого,Фого
Ю Шан,Тайвань
Вильгельм,Новая Гвинея
Андрингитра,Мадагаскар
Пели,Мартиника
Бен Невис,Великобритании
Г-н Бабель,Остров Рене Левассеур
Попоманасей,Гвадалканал
Суфриер,Сент-Винсент
Пико де Сан-Томе,Сан-Томе
Mt. Balbi,Бугенвиль
Циафаявона,Мадагаскар
Псилорит,Крета
Монт-Орохена,Таити
