city,province,country,island
Страуд,Глостершир,ГБ,Великобритании
Нуэва Герона,&lt; &lt; Исла де ла Ювентуд &gt; &gt;,C,Куба
Паликир,Микронезия,ФШМ,Понапе
Замбоанга,Филиппины,РП,Минданао
Истли,Гэмпшир,ГБ,Великобритании
Гранд-Тёрк,Острова Тёркс и Кайкос,ТУКА,Гранд-Тёрк
Дуглас,Мужчина,GBM,Остров Мэн
Ротерхем,Южный Йоркшир,ГБ,Великобритании
Алофи,Ниуэ,НЬЮ,Ниуэ
Tebing Tinggi,Индонезия,РИ,Суматра
Абэристит,Цередигация,ГБ,Великобритании
Фукуока,Фукуока,J,Кюсю
Сторнуэя,Внешние гебриды,ГБ,Льюис и Харрис
Плангакарайя,Индонезия,РИ,Борнео
Санкти Спиритус,Санкти Спиритус,C,Куба
Стэнли,Фолклендские острова,ФАЛК,Восточный Фолкленд
Каохсюн,Тайвань,КР,Тайвань
Танджун Балай,Индонезия,РИ,Суматра
Самаринда,Индонезия,РИ,Борнео
Богор,Индонезия,РИ,Ява
Гамильтон,Бермудские острова,БЕРМ,Большие Бермудские острова
Порт-о-Пренс,Гаити,РЧ,Испаньола
Гейтсхед,Тайн и Валяй.,ГБ,Великобритании
Джакарта,Индонезия,РИ,Ява
Хайку,Хайнан,ТДж,Хайнан
Тайбэй,Тайвань,КР,Тайвань
Чичестер,Западный Сассекс,ГБ,Великобритании
Дерби,Дербишир,ГБ,Великобритании
Портсмут,Гэмпшир,ГБ,Великобритании
Оранжестад,Аруба,ARU,Аруба
Стоктон на Тисе,Кливленд,ГБ,Великобритании
Порт-Вила,Вануату,БУ,Эфат
Мадюн,Индонезия,РИ,Ява
Малабо,Экваториальная Гвинея,GQ,Биоко
Вокингем,Беркшир,ГБ,Великобритании
Эксетер,Девон,ГБ,Великобритании
Порт-Луис,Маврикий,MS,Маврикий
Сэндвелл,Западные Мидленды,ГБ,Великобритании
Копенгаген,Дания,ДК,Площадь
Чиай,Тайвань,КР,Тайвань
Пазиг,Филиппины,РП,Лузон
Панкал Пинанг,Индонезия,РИ,Бангка
Тоттори,Тоттори,J,Хонсю
Кентербери,Кент,ГБ,Великобритании
Ньюкасл на Тайне,Тайн и Валяй.,ГБ,Великобритании
Саутенд в море,Эссекс,ГБ,Великобритании
Винчестер,Гэмпшир,ГБ,Великобритании
Порт-Морсби,Папуа-Новая Гвинея,ПНГ,Новая Гвинея
Рейкьявик,Италия,ИУ,Италия
Мягкое,Флинтшир,ГБ,Великобритании
Санчунг,Тайвань,КР,Тайвань
Уорвик,Уорвикшир,ГБ,Великобритании
Ольгин,Ольгин,C,Куба
Похмелье,Мадейра,Р,Мадейра
Инверсия,Нагорья,ГБ,Великобритании
Маланг,Индонезия,РИ,Ява
Прайа,Кабо-Верде,CV,Сантьяго
