name,area,depth,altitude,type,river,longitude,latitude
Кентуккиское озеро,648.0,,,,Теннесси,-88.3,37.0
&lt; &lt; Полиция &gt; &gt;,370.0,346.0,65.0,,Минсио,10.65,45.6
Озеро Босумтви,49.0,81.0,107.0,последствия,,-1.4,6.5
Бодензе,538.5,254.0,395.0,,Рейн,9.4,47.6
Ozero Pskovskoje,3555.0,14.6,30.0,,Нарва,27.49,58.68
озеро Сакакавеа,1578.0,55.0,,искусственные,Миссури,-101.42,47.48
Озеро Женезарет,165.0,46.0,-212.0,,Иордания,35.6,32.81
Лох-Несс,56.0,226.0,16.0,,,-4.44,57.31
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
Озеро Оахе,1453.0,,,искусственные,Миссури,-100.4,44.45
Нойсидлерсе,320.0,1.8,115.5,,,16.7,47.8
Озеро Танганджика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Ozero Balchash,18428.0,26.0,342.0,соль,,74.88,46.55
Озеро Мид,640.0,180.0,372.0,искусственные,Колорадо,-114.75,36.05
Озеро Натрон,1040.0,2.0,600.0,соль,,36.0,-2.4
Лох-Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Брайенцерзе,29.8,260.0,564.0,,Aare,7.97,46.73
Озеро Охрид,367.0,289.0,695.0,,Черный кусок,20.7,41.0
Жуй Бахир,800.0,7.5,520.0,соль,,36.85,4.7
Lago de Sobradinho,4214.0,,,искусственные,Рио Сан-Франциско,-40.7,-9.46
Туннели,48.3,217.0,558.0,,Aare,7.716,46.69
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,5770.0,19.0,71.0,соль,,-62.67,-30.5
Vierwaldstattersee,113.7,214.0,434.0,,Реус,8.4,47.0
Валенерн,5648.0,106.0,44.0,,Гётаэльв,13.3,58.8
Сильвян,290.0,134.0,161.0,последствия,Остердалаэльв,14.8,60.85
Лахер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Озеро Кабора-Басса,2800.0,,326.0,искусственные,Замбези,32.7,-15.6
Арресо,40.2,5.6,,,,12.1,56.0
Озеро Малави,29600.0,704.0,474.0,,Чир,34.0,-12.0
Кратерское озеро,53.2,594.0,1883.0,Кальдера,,-122.1,42.9
Озеро Урмия,5470.0,7.0,1280.0,соль,,45.3,37.7
Озеро Кариба,5580.0,32.0,,искусственные,Замбези,28.75,-16.5
