payment_no,member_no,payment_dt,payment_amt,statement_no,payment_code
1,84,1999-09-02T00:00:00,1678.0,0,
2,104,1999-09-02T00:00:00,4193.0,0,
3,110,1999-09-02T00:00:00,4905.0,0,
4,129,1999-09-02T00:00:00,2681.0,0,
5,158,1999-09-02T00:00:00,2861.0,0,
6,209,1999-09-02T00:00:00,3857.0,0,
7,211,1999-09-02T00:00:00,4764.0,0,
8,219,1999-09-02T00:00:00,1261.0,0,
9,224,1999-09-02T00:00:00,1759.0,0,
10,237,1999-09-02T00:00:00,3549.0,0,
11,238,1999-09-02T00:00:00,1693.0,0,
12,243,1999-09-02T00:00:00,1358.0,0,
13,258,1999-09-02T00:00:00,577.0,0,
14,272,1999-09-02T00:00:00,4640.0,0,
15,282,1999-09-02T00:00:00,4449.0,0,
16,287,1999-09-02T00:00:00,2169.0,0,
17,292,1999-09-02T00:00:00,2373.0,0,
18,299,1999-09-02T00:00:00,4687.0,0,
19,301,1999-09-02T00:00:00,4519.0,0,
20,307,1999-09-02T00:00:00,2540.0,0,
21,311,1999-09-02T00:00:00,3067.0,0,
22,312,1999-09-02T00:00:00,2251.0,0,
23,316,1999-09-02T00:00:00,4465.0,0,
24,319,1999-09-02T00:00:00,2859.0,0,
25,322,1999-09-02T00:00:00,4664.0,0,
26,323,1999-09-02T00:00:00,2211.0,0,
27,326,1999-09-02T00:00:00,2119.0,0,
28,334,1999-09-02T00:00:00,1789.0,0,
29,344,1999-09-02T00:00:00,3238.0,0,
30,350,1999-09-02T00:00:00,379.0,0,
31,355,1999-09-02T00:00:00,1594.0,0,
32,362,1999-09-02T00:00:00,659.0,0,
33,371,1999-09-02T00:00:00,4127.0,0,
34,372,1999-09-02T00:00:00,2242.0,0,
35,375,1999-09-02T00:00:00,3309.0,0,
36,377,1999-09-02T00:00:00,2160.0,0,
37,389,1999-09-02T00:00:00,3466.0,0,
38,393,1999-09-02T00:00:00,1872.0,0,
39,401,1999-09-02T00:00:00,7529.0,0,
40,404,1999-09-02T00:00:00,2607.0,0,
41,405,1999-09-02T00:00:00,3749.0,0,
