discounttype,stor_id,lowqty,highqty,discount
Скидка по объему,,100.0,1000.0,6.7
Начальный клиент,,,,10.5
Скидка для клиентов,8042,,,5.0
Скидка по объему,,100.0,1000.0,6.7
Начальный клиент,,,,10.5
Скидка для клиентов,8042,,,5.0
Скидка по объему,,100.0,1000.0,6.7
Начальный клиент,,,,10.5
Скидка для клиентов,8042,,,5.0
Начальный клиент,,,,10.5
Скидка по объему,,100.0,1000.0,6.7
Скидка для клиентов,8042,,,5.0
Скидка для клиентов,8042,,,5.0
Начальный клиент,,,,10.5
Скидка по объему,,100.0,1000.0,6.7
Начальный клиент,,,,10.5
Скидка для клиентов,8042,,,5.0
Скидка по объему,,100.0,1000.0,6.7
Скидка по объему,,100.0,1000.0,6.7
Начальный клиент,,,,10.5
Скидка для клиентов,8042,,,5.0
Начальный клиент,,,,10.5
Скидка по объему,,100.0,1000.0,6.7
Скидка для клиентов,8042,,,5.0
Начальный клиент,,,,10.5
Скидка по объему,,100.0,1000.0,6.7
Скидка для клиентов,8042,,,5.0
