franchid,franchname,active,naassoc
CHC,Чикаго Кабс,Y,КНА
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
BLC,Балтиморские канареи,,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
KCU,Канзас Сити Ковбои,Н,
MAR,Балтимор Мэрилендс,,
BRD,Бостонские красные,Н,
TOL,Синие чулки Толедо,Н,
MLG,Милуоки Грейс,Н,
ECK,Бруклин Экфордс,,
SYS,Звезды Сиракуз,Н,
RES,Элизабет Резолютес,,
CHH,Чикагские киты,Н,
NYU,Нью-Йорк Взаимная связь,Н,ННА
BRG,Бруклинские гладиаторы,Н,
ANA,Лос-Анджелесские ангелы Анахейма,Y,
LOU,Полковники Луисвиля,Н,
BLT,Балтиморские террапины,Н,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
TRO,Трой Хеймерс,,
ALT,Горный город Альтоона,Н,
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
BFL,Баффало Бизонс,Н,
SYR,Звезды Сиракуз,Н,
PNA,Филадельфия Атлетика,,ATH
SDP,Сан-Диего Падрес,Y,
ARI,Аризона Даймондбэкс,Y,
PWS,Белые чулки Филадельфии,,
BNA,Бостонские красные чулки,,АТЛ
PHA,Филадельфия Атлетика,Н,
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
KEK,Форт Уэйн Кекионгас,,
IND,Индианаполис Хусье,Н,
MAN,Мидлтаун Мэнсфилдс,,
NYI,Нью-Йорк Гиганты,Н,
IHO,Индианаполис Хусье,Н,
BFB,Баффало Бизонс,Н,
FLA,Флорида Марлинс,Y,
LAD,Лос-Анджелес Доджерс,Y,
OAK,Аклендская атлетика,Y,
BUF,Баффало Бизонс,Н,
SLR,Красные чулки Сент-Луиса,,
MIL,Милуоки Брюэрс,Y,
CEN,Столетия Филадельфии,,
CLE,Индейцы Кливленда,Y,
PRO,Провидцы Грей,Н,
HAR,Хартфорд Тёмный Блюз,Н,ХНА
COR,Красные цициннати,Н,
PBB,Питтсбургские бургеры,Н,
BRA,Бруклинские Атлантики,,
WBL,Голубые ноги Вашингтона,,
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
BTT,Бруклинские таблетки,Н,
BLO,Балтимор Ориолс,Н,
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
CBK,Колумб Бакейс,Н,
TRT,Тройские троянцы,Н,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
TOR,Торонтские синие джеи,Y,
OLY,Олимпийские игры в Вашингтоне,,
BAL,Балтимор Ориолс,Y,
PBS,Питтсбургские повстанцы,Н,
MLU,Милуоки Брюэрс,Н,
SEA,Морские пехотинцы Сиэтла,Y,
WST,Вашингтон,Н,
NEW,Ньюарк Пеппер,Н,
BWW,Чудеса Бруклина Уорда,Н,
HOU,Хьюстон Астрос,Y,
CNR,Красные Цинциннати,Н,
WIL,Уилмингтон Быстрые шаги,Н,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
STL,Кардиналы Сент-Луиса,Y,
BLU,Памятные памятники Балтимора,Н,
KCC,Канзас Сити Ковбои,Н,
BRS,Бостонские красные,Н,
PIT,Питтсбургские пираты,Y,
NYM,Нью-Йорк Метс,Y,
TEX,Техасские рейнджеры,Y,
COL,Колорадо Скалистые горы,Y,
CLV,Кливленд Паук,Н,
MIN,Близнецы из Миннесоты,Y,
CFC,Кливлендские лесные города,,
BOS,Бостонский ред Сокс,Y,
WOR,Вихревые рубиновые ножки,Н,
CHP,Чикагские пираты,Н,
CNA,Белые чулки Чикаго,,CHC
ATH,Филадельфия Атлетика,Н,PNA
CKK,Убийца Цинциннати Келли,Н,
CIN,Красные Цинциннати,Y,
ATL,Атланты Храбрые храбрые,Y,БНА
WAS,Сенаторы Вашингтона,Н,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
KCN,Канзас Сити Ковбои,Н,
STP,Святой Павел Апостолы,Н,
SFG,Сан-Франциско Гиганты,Y,
PHK,Критерии Филадельфии,Н,
HNA,Хартфорд Тёмный Блюз,,HAR
SNA,Сент-Луис Браун Шеллингс,,ПС
TLM,Толедо Маумес,Н,
PHQ,Филадельфия Атлетика,Н,
RIC,Ричмондские вирджинцы,Н,
SLM,Сент-Луис Марунс,Н,
NHV,Нью-Хейвен-Элм-Сити,,
CHW,Чикаго Уайт Сокс,Y,
WES,Кеокук Вестерн,,
TBD,Tampa Bay Rays,Y,
CBL,Блюз Кливленда,Н,
ROK,Рокфордские лесные города,,
NYP,Города Нью-Йорка,Н,
ROC,Рочестер Бронкос,Н,
LGR,Луисвилл Грейс,Н,
PHI,Филадельфия Филадельфия,Y,
KCP,Канзас Сити Пакерс,Н,
MLA,Милуоки Брюэрс,Н,
NYY,Нью-Йорк Янкиз,Y,
CLS,Колумб Солоны,Н,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
CLI,Кливлендские младенцы,Н,
IBL,Индианаполис Блюз,Н,
KCR,Канзас-Сити Роялс,Y,
