schoolid,schoolname,schoolcity,schoolstate,schoolnick
kywesleyan,Кентукки Уэслианский колледж,Оуэнсборо,KY,Пантеры
dominican,Доминиканский колледж,Оранжбург,Нью-Йорк,Зарядные устройства
ferrisst,Государственный университет им. Ферриса,Большие быстрые,МИ,Бульдоги
lacollege,Колледж Луизианы,Пайнвиль,Лос-Анджелес,Дикие кошки
stlawrence,Университет Св. Лоренса,Кантон,Нью-Йорк,Святые
abilchrist,Абилинский христианский университет,Абилин,TX,Дикие кошки
morehead,Морехедский государственный университет,Морехед,KY,Орлы
montana,Университет Монтаны-Миссулы,Миссула,МТ,Гризли
swarthmore,Колледж Свартмор,Свармор,ПА,Гарнет Тайд
portlandst,Портлендский государственный университет,Портленд,ИЛИ,Викинги
riponwi,Рипонский колледж,Рипон,ЖИ,Красные ястребы
willinois,Западный Иллинойский университет,Макомб,Ил,Пробоотборники
nillinois,Северный Иллинойский университет,DeKalb,Ил,Хаски
linfieldor,Линфилдский колледж,МакМиннвилль,ИЛИ,Дикие кошки
shaw,Университет Шоу,Роли,НС,Медведи
uab,Университет Алабамы в Бирмингеме,Бирмингем,AL,Блейзеры
tusculum,Тускулумский колледж,Гринвилль,TN,Пионеры
uncgreen,Университет Северной Каролины в Гринсборо,Гринсборо,НС,Спартанцы
winthrop,Университет Уинтропа,Рок Хилл,ПК,Орлы
shorterga,Более короткий колледж,Рим,GA,Ястребы
deltast,Университет штата Дельта,Кливленд,MS,Государственные деятели
stjosephs,Университет Святого Иосифа,Филадельфия,ПА,Ястребы
albrightpa,Колледж Олбрайта,Чтение,ПА,Львы
chicost,"Калифорнийский государственный университет, Чико",Чико,КА,Дикие кошки
benedctnks,Бенедиктский колледж,Атчисон,KS,Вороны
lynchbrgva,Линчбургский колледж,Линчбург,VA,Шершень
unionny,Юнионный колледж,Шенектани,Нью-Йорк,Голландцы
hardinsimm,Университет Харден-Симмонса,Абилин,TX,Ковбои
bryant,Колледж Брайанта,Смитфилд,РИ,Бульдоги
wichitast,Университет штата Вичита,Уичита,KS,Ужасы
concrdiamn,Университет Конкордии,Святой Павел,МН,Золотые медведи
monmouth,Монмутский университет,Западный Лонг Бранч,NJ,Ястребы
columbia,Колумбийский университет,Нью-Йорк,Нью-Йорк,Львы
wiscmilw,Университет Висконсин-Милуоки,Милуоки,ЖИ,Пантеры
utchat,Теннессийский университет в Чаттануге,Чаттануга,TN,Мокры
wofford,Воффордский колледж,Спартанбург,ПК,Терьеры
wchester,Университет Западного Честера Пенсильвании,Западный Честер,ПА,Золотые Рамы
txwesleyan,Техасский Уэслианский университет,Жилье стоит,TX,Рамс
stjosephin,Колледж Святого Иосифа,Ренсалаер,ВНУТРЕННИЕ,Пума
mcdaniel,МакДаниэльский колледж,Вестминстер,MD,Зеленый террор
calstfull,"Калифорнийский государственный университет, Фуллертон",Фуллертон,КА,Титаны
stedwardtx,Университет Св. Эдварда,Остин,TX,Подземные охотники
wlmpennia,Университет Уильяма Пенна,Оскалуса,IA,Государственные деятели
sunybing,Университет штата Нью-Йорк в Бингемтоне,Бингемтон,Нью-Йорк,Медвежие
unc,Университет Северной Каролины,Чапел Хилл,НС,Тарелки
lafayette,Лафайеттский колледж,Истон,ПА,Леопарды
macmurryil,МакМюррейский колледж,Джексонвилль,Ил,Горцы
oberlinoh,Оберлинский колледж,Оберлин,Ооо.,Ёман
wwashngton,Университет Западного Вашингтона,Беллингхем,WA,Викинги
stcloudst,Сент-Клаудский государственный университет,Сент-Облако,МН,Хаски
ntexas,Университет Северного Техаса,Дентон,TX,Средний зелёный
denisonoh,Университет Денизона,Гранвиль,Ооо.,Большой красный
keenest,Кинский государственный колледж,Кин,NH,Совы
lewclarkor,Колледж Льюиса и Кларка,Портленд,ИЛИ,Пионеры
ncentralil,Северный центральный колледж,Напервиль,Ил,Кардиналы
shenandoah,Университет Шенандоа,Винчестер,VA,Шершень
lewisil,Университет Льюиса,Ромеовиль,Ил,Флаеры
norfolkst,Норфолкский государственный университет,Норфолк,VA,Спартанцы
tulsa,Университет Талсы,Талса,Хорошо.,Золотой ураган
salabama,Университет Южной Алабамы,Мобильный,AL,Ягуары
wvirginia,Университет Западной Вирджинии,Моргантаун,WV,Горные горы
riogrande,Университет Рио-Гранде,&lt; &lt; Рио Гранде &gt; &gt;,Ооо.,Редмены
sterlingks,Стерлингский университет,Стерлинг,KS,Воины
stbonny,Сент-Бонатурский университет,Сент-Бонатура,Нью-Йорк,Бонни
iona,Колледж Иона,Новая Рошель,Нью-Йорк,Галстук
utsa,Техасский университет в Сан-Антонио,Сан-Антонио,TX,Дорожные бегуны
okcity,Городской университет Оклахомы,Город Оклахома,Хорошо.,Звёзды
stthomasmn,Университет Сент-Томаса,Сент-Пол,МН,Томми
sprngfldma,Спрингфилдский колледж,Спрингфилд,МЭТ,Гордость
forthays,Государственный университет Форт Хейс,Хейс,KS,Тигры
nebraska,Небраскский университет,Линкольн,Нет,Шухожилия
swoklahoma,Университет штата Юго-Западная Оклахома,Уэзерфорд,Хорошо.,Бульдоги
marist,Маристский колледж,Покипси,Нью-Йорк,Красные лисы
pennst,Пенсильванский государственный университет,Государственный колледж,ПА,Нитани Львы
longbeach,"Калифорнийский государственный университет, Лонг-Бич",Длинный пляж,КА,49 ч. 00 м.
casewestrn,Университет западной резервной системы,Кливленд,Ооо.,Спартанцы
cameronok,Университет Кэмерон,Лоутон,Хорошо.,Агги
muhlenberg,Мухленбергский колледж,Аллентаун,ПА,Мулы
