playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
bouldca01,1964,1,WS2,AL,Р,9,3.0,75.0,2.0,4.0,1.0,0.0,,,,,
solisma01,1958,1,CHN,NL,Р,15,4.0,156.0,5.0,8.0,0.0,0.0,,,,,
jonesca01,1992,1,SEA,AL,Р,38,1.0,185.0,3.0,7.0,3.0,1.0,,,,,
roystje01,1987,2,NYA,AL,LF,1,1.0,24.0,0.0,0.0,0.0,0.0,,,,,
andergo01,1907,1,PIT,NL,В ЛЮБОЙ ЧАСТИ,117,,,207.0,15.0,11.0,4.0,,,,,
holladu01,1932,1,BSN,NL,В ЛЮБОЙ ЧАСТИ,39,,,94.0,3.0,1.0,0.0,,,,,
lyttlji01,1976,2,LAN,NL,RF,1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,
sheafda01,1994,1,COL,NL,C,30,28.0,707.0,178.0,16.0,1.0,2.0,2.0,9.0,24.0,9.0,0.0
brinked01,1968,1,WS2,AL,СС,74,66.0,1673.0,97.0,197.0,10.0,28.0,,,,,
vaughbo01,1915,1,SLF,FL,СС,12,,,15.0,13.0,4.0,4.0,,,,,
shelbjo01,1984,1,BAL,AL,CF,118,78.0,2339.0,254.0,9.0,2.0,1.0,,,,,
kirkped01,1976,1,PIT,NL,LF,3,3.0,88.0,6.0,1.0,0.0,0.0,,,,,
johnto01,1964,1,CLE,AL,Р,25,14.0,283.0,5.0,16.0,0.0,2.0,,,,,
griffto02,1979,1,SFN,NL,Р,59,3.0,283.0,5.0,19.0,1.0,1.0,,,,,
nehfar01,1917,1,BSN,NL,Р,38,,,9.0,63.0,1.0,3.0,,,,,
mooremo01,1875,1,BR2,,3B,1,,,1.0,2.0,2.0,0.0,,,,,
barloto01,1875,2,BR2,,2B,1,,,2.0,0.0,2.0,0.0,,,,,
nixonal01,1915,1,BRO,NL,В ЛЮБОЙ ЧАСТИ,14,,,11.0,1.0,0.0,1.0,,,,,
