yearid,teamid,lgid,playerid,salary
1985,ATL,NL,barkele01,870000
1985,ATL,NL,bedrost01,550000
1985,ATL,NL,benedbr01,545000
1985,ATL,NL,campri01,633333
1985,ATL,NL,ceronri01,625000
1985,ATL,NL,chambch01,800000
1985,ATL,NL,dedmoje01,150000
1985,ATL,NL,forstte01,483333
1985,ATL,NL,garbege01,772000
1985,ATL,NL,harpete01,250000
1985,ATL,NL,hornebo01,1500000
1985,ATL,NL,hubbagl01,455000
1985,ATL,NL,mahleri01,407500
1985,ATL,NL,mcmurcr01,275000
1985,ATL,NL,mumphje01,775000
1985,ATL,NL,murphda05,1625000
1985,ATL,NL,oberkke01,616667
1985,ATL,NL,perezpa01,450000
1985,ATL,NL,perryge01,120000
1985,ATL,NL,ramirra01,750000
1985,ATL,NL,suttebr01,1354167
1985,ATL,NL,washicl01,800000
1985,BAL,AL,boddimi01,625000
1985,BAL,AL,dauerri01,480000
1985,BAL,AL,davisst02,437500
1985,BAL,AL,dempsri01,512500
1985,BAL,AL,dwyerji01,375000
1985,BAL,AL,flanami01,641667
1985,BAL,AL,fordda01,450000
1985,BAL,AL,grosswa01,483333
1985,BAL,AL,lacyle01,725000
1985,BAL,AL,lynnfr01,1090000
1985,BAL,AL,martide01,560000
1985,BAL,AL,martiti01,440000
1985,BAL,AL,mcgresc01,547143
1985,BAL,AL,murraed02,1472819
1985,BAL,AL,nolanjo01,341667
1985,BAL,AL,rayfofl01,128500
1985,BAL,AL,ripkeca01,800000
1985,BAL,AL,roeniga01,558333
1985,BAL,AL,sheetla01,60000
1985,BAL,AL,shelbjo01,130000
1985,BAL,AL,stewasa01,581250
1985,BAL,AL,youngmi01,121000
1985,BOS,AL,armasto01,915000
1985,BOS,AL,barrema02,272500
1985,BOS,AL,boggswa01,1000000
1985,BOS,AL,bordiri01,115000
1985,BOS,AL,boydoi01,177500
1985,BOS,AL,bucknbi01,747500
1985,BOS,AL,clearma01,580000
1985,BOS,AL,clemero02,140000
1985,BOS,AL,crawfst01,160000
1985,BOS,AL,easlemi01,650000
1985,BOS,AL,evansdw01,800000
1985,BOS,AL,gedmari01,477500
1985,BOS,AL,gutieja01,130000
1985,BOS,AL,hoffmgl01,335000
1985,BOS,AL,hurstbr01,300000
1985,BOS,AL,juraked01,125000
1985,BOS,AL,kisonbr01,370000
1985,BOS,AL,milleri01,275000
1985,BOS,AL,nichore01,260000
1985,BOS,AL,nippeal01,165000
1985,BOS,AL,ojedabo01,240000
1985,BOS,AL,remyje01,483333
1985,BOS,AL,riceji01,779227
1985,BOS,AL,stanlbo01,1075000
1985,BOS,AL,staplda01,325000
1985,CAL,AL,beniqju01,365000
1985,CAL,AL,boonebo01,883000
1985,CAL,AL,burleri01,856667
1985,CAL,AL,candejo01,612500
1985,CAL,AL,carewro01,875000
1985,CAL,AL,clibust02,60000
1985,CAL,AL,corbedo01,360000
1985,CAL,AL,decindo01,1100000
1985,CAL,AL,downibr01,808333
1985,CAL,AL,forscke01,633333
1985,CAL,AL,grichbo01,700000
1985,CAL,AL,hendrge01,737000
1985,CAL,AL,hollaal01,625000
1985,CAL,AL,jacksre01,1058894
1985,CAL,AL,jonesru01,390000
1999,KCA,AL,giambje01,200000
1999,PIT,NL,martija02,0
2005,SEA,AL,soriara01,340000
1991,BAL,AL,worthcr01,207500
2008,LAN,NL,loneyja01,411000
1998,BAL,AL,hoilech01,3600000
2005,SFN,NL,torcato01,318500
2012,ARI,NL,paterjo01,487500
2001,FLO,NL,foxan01,775000
2000,OAK,AL,tejadmi01,290000
2009,WAS,NL,youngdm01,5000000
1987,ATL,NL,griffke01,1150000
2003,CLE,AL,sadleca01,303200
2002,TBA,AL,escalfe01,200000
1992,MIN,AL,webstle01,115000
1993,CAL,AL,grubeke01,4333334
1995,MON,NL,fletcda01,900000
2000,CHN,NL,girarjo01,2000000
2011,HOU,NL,norribu01,437500
2011,SLN,NL,greenty02,415500
2012,NYN,NL,beatope01,487500
1989,PIT,NL,bellira01,225000
1990,SEA,AL,renteri01,112500
1990,BOS,AL,smithle02,1200000
2011,BOS,AL,wheelda01,3000000
2002,FLO,NL,olsenke01,200000
1991,LAN,NL,strawda01,3800000
1988,CAL,AL,whitede03,185000
2005,FLO,NL,aguilch01,316000
1998,KCA,AL,hanseje01,172500
2003,DET,AL,kingsge01,340000
1987,CLE,AL,allanan01,75000
1990,SFN,NL,bedrost01,1450000
1990,ATL,NL,preslji01,640000
2002,TEX,AL,rockejo01,2500000
1993,MON,NL,floydcl01,109000
1997,ANA,AL,hollida01,2050000
2006,WAS,NL,bergmja01,327000
1996,CHA,AL,camermi01,115000
1994,CHA,AL,mcdowja01,5300000
2001,TEX,AL,kaplega01,450000
1998,SEA,AL,ayalabo01,1500000
1985,MIN,AL,gaettga01,415000
1987,SDN,NL,hawkian01,535000
1991,SDN,NL,hurstbr01,1883334
2001,CHA,AL,glovega01,200000
1998,NYA,AL,girarjo01,2850000
2011,ATL,NL,ugglada01,9146942
2012,WAS,NL,marrech01,481000
2001,SLN,NL,paquecr01,1500000
1990,NYA,AL,tollewa01,425000
1993,SLN,NL,whitema01,508333
1992,MON,NL,owensp01,1190001
1985,SFN,NL,laskebi01,355000
2001,MIL,NL,whitede03,5000000
1985,MIN,AL,filsope01,120000
1997,COL,NL,dipotje01,550000
1990,KCA,AL,tablepa01,725000
1991,MIN,AL,larkige01,725000
1999,ATL,NL,rockejo01,217500
1999,CHN,NL,gonzaje01,265000
2011,CHN,NL,dempsry01,13500000
1988,PHI,NL,schmimi01,2250000
2001,HOU,NL,eusebto01,1300000
2011,PIT,NL,rodrijo05,414000
1990,BAL,AL,bellju01,100000
2003,NYA,AL,giambja01,11428571
2000,CHA,AL,eyresc01,250000
2012,PHI,NL,polanpl01,6416666
1990,TEX,AL,francju01,1633333
2005,TOR,AL,speieju01,1900000
2003,HOU,NL,berkmla01,3500000
1997,CLE,AL,mcdowja01,4800000
1988,TOR,AL,bellge02,1900000
1995,KCA,AL,lockhke01,124000
1991,ATL,NL,pendlte01,1750000
1986,HOU,NL,pankoji01,85000
2004,CHA,AL,thomafr04,6000000
1996,PIT,NL,erickjo01,135000
1996,DET,AL,keaglgr01,109000
2005,SLN,NL,molinya01,323500
1997,PHI,NL,dykstle01,6000000
1993,CAL,AL,myersgr01,525000
1998,TOR,AL,delgaca01,2400000
1989,CIN,NL,saboch01,155000
2006,CHN,NL,paganan01,327000
1994,LAN,NL,waynega01,350000
2001,CLE,AL,nagych01,6000000
2009,COL,NL,stewaia01,404000
2008,SFN,NL,rowanaa01,9600000
1988,CHA,AL,willike02,102500
1999,BAL,AL,figgami01,203650
2009,PIT,NL,sanchfr01,6250000
1988,PIT,NL,breamsi01,360000
1997,SEA,AL,tinslle01,400000
1999,ARI,NL,friasha01,209000
1989,MIN,AL,dwyerji01,200000
2012,SFN,NL,theriry01,1250000
1997,ATL,NL,wohlema01,3000000
2001,MIN,AL,hockide01,900000
1994,KCA,AL,haneych01,193000
1991,NYN,NL,mcreyke01,2266667
2009,MIL,NL,coffeto01,800002
2003,FLO,NL,willido03,234426
1985,SFN,NL,brownch02,60000
2011,CLE,AL,santaca01,416600
2008,CIN,NL,livinbo01,392500
1995,CIN,NL,jacksmi02,1250000
2002,PHI,NL,puntoni01,200000
2004,ANA,AL,eckstda01,2150000
1997,NYN,NL,reynoar02,1000000
2012,CIN,NL,hanigry01,1300000
2001,LAN,NL,hanseda01,625000
1997,DET,AL,easleda01,675000
1989,PHI,NL,nietoto01,115000
1994,NYN,NL,gundeer01,109000
1996,BAL,AL,husonje01,320000
1989,BAL,AL,bradlph01,1150000
2007,SFN,NL,chulkvi01,396000
2001,TOR,AL,delgaca01,13650000
1998,SEA,AL,ibanera01,170000
2005,TBA,AL,lugoju01,3250000
1999,CIN,NL,johnsbr01,775000
2003,PIT,NL,wilsoja02,335000
2006,ATL,NL,smoltjo01,11000000
2005,FLO,NL,castilu01,5166667
2007,TOR,AL,janssca01,385200
2002,LAN,NL,coraal01,625000
1992,TOR,AL,weathda01,121000
2003,TOR,AL,huckake01,313000
2000,SFN,NL,davisru01,1000000
1995,TOR,AL,timlimi01,500000
2006,TOR,AL,molinbe01,4500000
1992,NYN,NL,youngan01,115000
1986,TEX,AL,willimi02,60000
2000,CHA,AL,chrismc01,212500
1994,SEA,AL,martied01,3316667
1992,MIN,AL,smilejo01,3400000
2003,TEX,AL,clarkje02,300000
2007,KCA,AL,perezod01,7750000
1999,MON,NL,hermadu01,2075000
1990,PIT,NL,kingje01,112500
2011,MIL,NL,mitrese01,900000
2012,WAS,NL,detwiro01,485000
2012,MIN,AL,bakersc02,6500000
1999,DET,AL,nitkocj01,300000
2002,CLE,AL,escobal01,205500
2009,SEA,AL,branyru01,1400000
1998,BAL,AL,alomaro01,6343771
1992,CLE,AL,shawje01,140000
1992,CHN,NL,scanlbo01,150000
2005,CHA,AL,evereca01,4000000
1998,PHI,NL,blaziro01,180000
2012,OAK,AL,bartoda02,1100000
1989,DET,AL,strando01,68000
2000,MON,NL,lloydgr01,3000000
2010,HOU,NL,sullico01,700000
1998,MIL,NL,mathemi01,800000
2007,NYA,AL,damonjo01,13000000
1997,OAK,AL,mashoda01,154000
1990,BAL,AL,smithmi05,102000
2009,FLO,NL,sanchan01,400000
2009,MIL,NL,juliojo01,950000
1991,SLN,NL,tewksbo01,160000
1990,CAL,AL,mcclubo01,825000
2007,TEX,AL,padilvi01,9000000
2010,NYN,NL,beltrca01,19401569
2004,BAL,AL,lopezja01,6000000
2008,BAL,AL,sherrge01,980000
1988,CLE,AL,bandoch01,325000
2000,MON,NL,powelje01,218000
1999,NYN,NL,leiteal01,5250000
1999,SDN,NL,davisbe01,200000
2000,TEX,AL,palmera01,8620921
2005,WAS,NL,bennega01,750000
1999,PIT,NL,hansegr01,230000
1990,DET,AL,robinje02,336000
2006,CHN,NL,cedenro02,336000
2004,KCA,AL,harveke01,317500
1988,BOS,AL,hornsa01,80000
1994,CIN,NL,morriha02,2150000
1992,NYN,NL,francjo01,3333334
1992,CIN,NL,fostest01,114000
2004,DET,AL,colyest01,302000
1994,SFN,NL,claytro01,325000
2001,FLO,NL,moutoly01,350000
1999,PIT,NL,wehnejo01,250000
2005,CHA,AL,buehrma01,6000000
1998,BOS,AL,hattesc01,240000
1990,CIN,NL,jeffere01,102500
1998,DET,AL,olivejo01,750000
2001,PIT,NL,willimi03,1200000
2010,HOU,NL,keppije01,1150000
2000,MON,NL,mordemi01,350000
1999,FLO,NL,almanar01,200000
2006,WAS,NL,guilljo01,4000000
1993,SLN,NL,brewero01,125000
1998,CIN,NL,tomkobr01,230000
2001,CHN,NL,heredfe01,1150000
1985,NYA,AL,meachbo01,100000
1988,CHN,NL,schirca01,207500
2000,BOS,AL,daubabr01,295000
1989,PIT,NL,breamsi01,510000
2002,BAL,AL,lopezro01,200000
1999,TOR,AL,wellsve01,200000
2006,OAK,AL,kennejo04,2400000
1998,HOU,NL,henrydo01,725000
1985,PIT,NL,rhoderi01,645000
1990,ML4,AL,bosioch01,710000
2010,SEA,AL,griffke02,2350000
1986,SDN,NL,stoddti01,675000
2000,ATL,NL,corteda01,200000
2008,NYA,AL,karstje01,393300
1990,ML4,AL,deerro01,885000
2005,WAS,NL,vidrojo01,7000000
1986,CHN,NL,ruthvdi01,1050000
2010,OAK,AL,patteer01,405000
2010,ARI,NL,rosalle01,409500
2007,ATL,NL,cormila01,405000
2010,PIT,NL,youngde04,444500
1987,PHI,NL,daultda01,98000
1988,MIN,AL,brunato01,1140000
1986,TEX,AL,wilkecu01,165000
1999,TEX,AL,greensc01,200000
1997,SLN,NL,stottto01,4100000
1989,BOS,AL,kutchra01,90000
1991,CLE,AL,olinst01,175000
2007,KCA,AL,germaes01,423000
1997,ML4,AL,sparkst01,175000
1989,TOR,AL,nunezed01,175000
2004,KCA,AL,carradj01,320500
2006,TEX,AL,youngmi02,3075000
1992,CLE,AL,hillgl01,325000
2000,COL,NL,goodwto01,3416667
1986,CLE,AL,swindgr01,60000
2005,TBA,AL,fossuca01,950000
2005,PIT,NL,willida07,330000
2000,ANA,AL,ortizra01,207500
1988,KCA,AL,quiseda01,1562350
1995,CHA,AL,thomala01,109000
1987,BAL,AL,shelbjo01,300000
1998,CHA,AL,simasbi01,250000
2012,SDN,NL,bartlja01,5500000
1999,NYN,NL,reedri01,1687500
1993,ATL,NL,pendlte01,2250000
2006,SEA,AL,johjike01,5433333
1986,KCA,AL,gubicma01,250000
1993,BOS,AL,hatchbi01,1000000
2005,ATL,NL,furcara01,5600000
