id,lgid,teamid,franchid,name,park
181,NL,BSN,ATL,Бостонские растлители,South End Groups III
203,NL,CL4,CLV,Кливленд Паук,Парк I Лиги
130,,BR1,ECK,Бруклин Экфордс,Союзные земли
190,NL,CHN,CHC,Белые чулки Чикаго,Озерный парк I/Лейк Фронт Парк II
187,NL,CHN,CHC,Дети-сироты в Чикаго,Вестсайдский парк II
125,FL,NEW,NEW,Ньюарк Пеппер,
79,AL,ML4,MIL,Милуоки Брюэрс,Окружной стадион
159,NL,BFN,BUF,Баффало Бизонс,Олимпийский парк I
227,NL,LS3,LOU,Полковники Луисвиля,Парк I Eclipse
204,NL,CL4,CLV,Кливленд Паук,Парк Национальной лиги
189,NL,CHN,CHC,Белые чулки Чикаго,Озерный фронт Парк I
158,NL,ATL,ATL,Атланты Храбрые храбрые,Поле Тёрнера
2,AA,BL2,BLO,Балтимор Ориолс,Парк Ориол
34,AA,TL1,TOL,Синие чулки Толедо,Парк Лиги
103,AL,TEX,TEX,Техасские рейнджеры,Поле Америкс
214,NL,HAR,HAR,Хартфорд Тёмный Блюз,Hartford Ball Club Groups
213,NL,FLO,FLA,Флорида Марлинс,Стадион Sun Life
157,NL,ATL,ATL,Атланты Храбрые храбрые,Стадион округа Атланта-Фултон
311,UA,SLU,SLM,Сент-Луис Марунс,
137,,ELI,RES,Элизабет Резолютес,Ярмарки Вейверли
237,NL,NY1,SFG,Нью-Йорк Гиганты,Поло Земля I
178,NL,BSN,ATL,Бостонские храбрые,South End Groups III
221,NL,IN3,IND,Индианаполис Хусье,Атлетический парк I
13,AA,CN2,CIN,Красные чулки Цинциннати,Банк-стрит
212,NL,FLO,FLA,Флорида Марлинс,Стадион Pro Player
22,AA,NY4,NYP,Города Нью-Йорка,Поло Земля Я Западный Бриллиант
243,NL,NY3,NYU,Нью-Йорк Взаимная связь,Союзные земли (Бруклин)
203,NL,CL4,CLV,Кливленд Паук,Парк I Лиги
266,NL,SDN,SDP,Сан-Диего Падрес,Стадион Джека Мерфи
127,FL,SLF,SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,
204,NL,CL4,CLV,Кливленд Паук,Парк Национальной лиги
237,NL,NY1,SFG,Нью-Йорк Гиганты,Поло Земля I
5,AA,BR3,LAD,Бруклинские Атлантики,Вашингтон Парк I
40,AL,BAL,BAL,Балтимор Ориолс,Памятный стадион
99,AL,SLA,BAL,Сент-Луис Браунс,Парк III для спортсменов
244,NL,NYN,NYM,Нью-Йорк Метс,Поле Сити
231,NL,MIL,MIL,Милуоки Брюэрс,Миллер Парк
62,AL,CLE,CLE,Кливленд Напс,&lt; &lt; Парк II Лиги &gt; &gt;
275,NL,SL3,SBS,Сент-Луис Браун Шеллингс,Парк I для спортсменов
252,NL,PHI,PHI,Филадельфия Филадельфия,Филадельфийские бейсбольные земли
164,NL,BRO,LAD,Бруклинские женихи,Вашингтон Парк III
57,AL,CLE,CLE,Индейцы Кливленда,Джейкобс Филд
214,NL,HAR,HAR,Хартфорд Тёмный Блюз,Hartford Ball Club Groups
205,NL,CN1,CNR,Красные Цинциннати,Авеню Земля
135,,CH2,CNA,Белые чулки Чикаго,23-я улица
137,,ELI,RES,Элизабет Резолютес,Ярмарки Вейверли
45,AL,BOS,BOS,Бостонский ред Сокс,Парк Фенвей II
227,NL,LS3,LOU,Полковники Луисвиля,Парк I Eclipse
29,AA,RC2,ROC,Рочестер Бронкос,Поле Калвера I
165,NL,BRO,LAD,Бруклин Доджерс,Эббетс Поле
176,NL,BSN,ATL,Бостонские храбрые,Поле храбрых
229,NL,MIA,FLA,Майами Марлинс,Парк Марлинс
152,,WS4,NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Национальные земли
120,FL,BUF,BFL,Буффало Баффеды,
236,NL,MON,WSN,Монреальские выставки,Стадион &lt; &lt; Стад олимпик &gt; &gt; / &lt; &lt; Хайрам Биторн &gt; &gt;
150,,TRO,TRO,Трой Хеймерс,Земля хеймеров
73,AL,LAA,ANA,Лос-Анджелесские ангелы,Уригли Филд (ЛА)
306,UA,CHU,CPI,Чикаго/Питтсбург (Союзная лига),
248,NL,PHI,PHI,Филадельфия Филадельфия,Кубок Бейкера
225,NL,LAN,LAD,Лос-Анджелес Доджерс,Колизей мемориала Лос-Анджелеса
13,AA,CN2,CIN,Красные чулки Цинциннати,Банк-стрит
100,AL,SLA,BAL,Сент-Луис Браунс,Парк IV для спортсменов
32,AA,SL4,STL,Сент-Луис Браунс,Парк I для спортсменов
245,NL,NYN,NYM,Нью-Йорк Метс,Поло Земля IV
104,AL,TEX,TEX,Техасские рейнджеры,Арлингтонский стадион
113,AL,WS1,MIN,Сенаторы Вашингтона,Стадион Гриффита I
190,NL,CHN,CHC,Белые чулки Чикаго,Озерный парк I/Лейк Фронт Парк II
10,AA,CL3,CLV,Блюз Кливленда,Парк II Национальной лиги
254,NL,PHI,PHI,Филадельфия Филадельфия,Стадион ветеранов
11,AA,CL5,CBK,Колумб Бакейс,Парк отдыха I
273,NL,SFN,SFG,Сан-Франциско Гиганты,Парк SBC
196,NL,CIN,CIN,Красные Цинциннати,Crosley Field/Riverfront Stadium
66,AL,DET,DET,&lt; &lt; Тигры Детройта &gt; &gt;,Поле Навина
15,AA,CN3,CKK,Убийца Цинциннати Келли,Ист-Энд Парк
212,NL,FLO,FLA,Флорида Марлинс,Стадион Pro Player
110,AL,TOR,TOR,Торонтские синие джеи,Скайдом
234,NL,MON,WSN,Монреальские выставки,Джерри Парк
260,NL,PIT,PIT,Питтсбургские пираты,Экспозиционный парк/Форбс Поле
174,NL,BSN,ATL,Бостонские бунтари,South End Groups III
251,NL,PHI,PHI,Филадельфия Филадельфия,Стадион Конни Мак
114,AL,WS1,MIN,Сенаторы Вашингтона,Стадион Griffith II
179,NL,BSN,ATL,Бостонские голуби,South End Groups III
9,AA,BS2,BRS,Бостонские красные,Улица Конгресса
177,NL,BSN,ATL,Бостонские храбрые,Fenway Park I / Hraves Field
159,NL,BFN,BUF,Баффало Бизонс,Олимпийский парк I
67,AL,DET,DET,&lt; &lt; Тигры Детройта &gt; &gt;,Стадион тигр
