playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
gwynnto01,1986,0,NLS198607150,SDN,NL,1,7.0
fostege01,1978,0,NLS197807110,CIN,NL,1,8.0
fettelo01,1939,0,ALS193907110,BSN,NL,1,
rowanaa01,2007,0,NLS200707100,PHI,NL,1,
murphjo04,1938,0,NLS193807060,NYA,AL,0,
eckstda01,2005,0,ALS200507120,SLN,NL,1,6.0
koufasa01,1961,1,NLS196107110,LAN,NL,1,
davisma01,1989,0,ALS198907110,SDN,NL,1,
kellge01,1947,0,NLS194707080,DET,AL,1,5.0
kinslia01,2008,0,ALS200807150,TEX,AL,1,
hodgegi01,1949,0,NLS194907120,BRO,NL,1,
puckeki01,1990,0,NLS199007100,MIN,AL,1,
smithre06,1972,0,NLS197207250,BOS,AL,1,
trammal01,1985,0,ALS198507160,DET,AL,1,
bergewa01,1935,0,ALS193507080,BSN,NL,1,8.0
colboji01,1973,0,ALS197307240,ML4,AL,0,
stearjo01,1977,0,ALS197707190,NYN,NL,1,
keltnke01,1941,0,ALS194107080,CLE,AL,1,
lavelga01,1977,0,ALS197707190,SFN,NL,1,
staubru01,1970,0,NLS197007140,MON,NL,1,
dimagjo01,1951,0,ALS195107100,NYA,AL,0,
delgaca01,2003,0,ALS200307150,TOR,AL,1,3.0
sandopa01,2011,0,NLS201107120,SFN,NL,1,
papeljo01,2012,0,ALS201207100,PHI,NL,1,
renteed01,2004,0,NLS200407130,SLN,NL,1,6.0
garvest01,1981,0,ALS198108090,LAN,NL,1,
frienbo01,1956,0,ALS195607100,PIT,NL,1,1.0
wilsowi02,1983,0,ALS198307060,KCA,AL,1,
ellswdi01,1964,0,NLS196407070,CHN,NL,0,
foxne01,1955,0,NLS195507120,CHA,AL,1,4.0
powelbo01,1971,0,ALS197107130,BAL,AL,0,
gordosi01,1949,0,NLS194907120,NY1,NL,1,
fregoji01,1968,0,NLS196807090,CAL,AL,1,6.0
kurowwh01,1944,0,NLS194407110,SLN,NL,1,
randowi01,1977,0,ALS197707190,NYA,AL,1,4.0
pedrodu01,2010,0,ALS201007130,BOS,AL,0,
brantje01,1990,0,NLS199007100,SFN,NL,1,
leeth01,1941,0,ALS194107080,CHA,AL,1,
mayswi01,1959,1,NLS195907070,SFN,NL,1,8.0
grosswa01,1977,0,ALS197707190,OAK,AL,0,
suttebr01,1980,0,NLS198007080,CHN,NL,1,
moonwa01,1957,0,NLS195707090,SLN,NL,1,
benchjo01,1978,0,NLS197807110,CIN,NL,0,
newhoha01,1948,0,ALS194807130,DET,AL,1,
boyerke01,1959,1,NLS195907070,SLN,NL,1,
fingero01,1975,0,ALS197507150,OAK,AL,0,
guillca01,2007,0,NLS200707100,DET,AL,1,
aaronha01,1955,0,NLS195507120,ML1,NL,1,
aaronha01,1956,0,ALS195607100,ML1,NL,1,
aaronha01,1957,0,NLS195707090,ML1,NL,1,9.0
aaronha01,1958,0,ALS195807080,ML1,NL,1,9.0
aaronha01,1963,0,ALS196307090,ML1,NL,1,9.0
aaronha01,1964,0,NLS196407070,ML1,NL,1,
aaronha01,1965,0,ALS196507130,ML1,NL,1,9.0
aaronha01,1966,0,NLS196607120,ATL,NL,1,7.0
aaronha01,1967,0,ALS196707110,ATL,NL,1,8.0
aaronha01,1968,0,NLS196807090,ATL,NL,1,9.0
aaronha01,1969,0,ALS196907230,ATL,NL,1,9.0
aaronha01,1970,0,NLS197007140,ATL,NL,1,9.0
aaronha01,1971,0,ALS197107130,ATL,NL,1,9.0
aaronha01,1972,0,NLS197207250,ATL,NL,1,9.0
aaronha01,1973,0,ALS197307240,ATL,NL,1,3.0
aaronha01,1974,0,NLS197407230,ATL,NL,1,9.0
aaronha01,1975,0,ALS197507150,ML4,AL,1,
aasedo01,1986,0,NLS198607150,BAL,AL,1,
abreubo01,2004,0,NLS200407130,PHI,NL,1,
abreubo01,2005,0,ALS200507120,PHI,NL,1,9.0
adamsac01,1943,0,ALS194307130,NY1,NL,0,
ageeto01,1966,0,NLS196607120,CHA,AL,1,
ageeto01,1967,0,ALS196707110,CHA,AL,1,
aguilri01,1991,0,ALS199107090,MIN,AL,1,
