playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
chaneda01,1973,CIN,NL,NLCS,СС,5,5,114.0,2,11,0,3,0,,,
bottoji01,1930,SLN,NL,WS,1B,6,6,153.0,57,2,0,3,0,,,
gardnla01,1912,BOS,AL,WS,3B,8,8,222.0,9,13,3,0,0,,,
heintke01,1950,PHI,NL,WS,Р,1,1,23.0,0,2,0,0,0,,1.0,0.0
leibone01,1917,CHA,AL,WS,RF,2,0,30.0,1,0,0,0,0,,,
wellsda01,1989,TOR,AL,ALCS,Р,1,0,3.0,0,0,0,0,0,,4.0,0.0
russoma01,1943,NYA,AL,WS,Р,1,1,27.0,0,2,0,0,0,,0.0,0.0
molinjo01,2005,LAA,AL,ОДЛС2,C,1,0,9.0,3,0,0,0,0,0.0,0.0,0.0
valdewi01,2010,PHI,NL,НЛДС1,3B,1,1,27.0,1,2,0,0,0,,,
glavito02,2001,ATL,NL,NLCS,Р,2,2,36.0,0,4,0,0,0,,0.0,0.0
waltebu01,1939,CIN,NL,WS,Р,2,1,33.0,0,3,0,1,0,,0.0,0.0
tagucso01,2004,SLN,NL,NLCS,LF,3,0,27.0,4,0,0,0,0,,,
johnto01,1978,LAN,NL,WS,Р,2,2,44.0,0,4,0,0,0,,1.0,0.0
figgich01,2009,LAA,AL,ОДЛС2,3B,3,3,81.0,1,7,0,0,0,,,
ripkeca01,1996,BAL,AL,ALCS,СС,5,5,138.0,5,14,1,5,0,,,
lazzeto01,1936,NYA,AL,WS,2B,6,6,162.0,11,17,0,1,0,,,
douglph01,1921,NY1,NL,WS,Р,3,3,78.0,3,8,0,0,0,,1.0,3.0
welchbo01,1985,LAN,NL,NLCS,Р,1,1,8.0,0,0,1,0,0,,2.0,1.0
grichbo01,1974,BAL,AL,ALCS,2B,4,4,105.0,13,12,1,3,0,,,
grimmch01,1932,CHN,NL,WS,1B,4,4,102.0,28,3,0,5,0,,,
lackejo01,2007,LAA,AL,ОДЛС1,Р,1,1,18.0,1,0,0,1,0,,0.0,1.0
dealch01,1914,BSN,NL,WS,3B,4,4,117.0,6,11,0,1,0,,,
grangwa01,1970,CIN,NL,WS,Р,2,0,4.0,0,1,0,0,0,,0.0,0.0
greggha01,1947,BRO,NL,WS,Р,3,1,38.0,1,3,0,1,0,,1.0,0.0
rolliji01,2010,PHI,NL,НЛДС1,СС,3,3,81.0,2,10,0,1,0,,,
jonesch06,2012,ATL,NL,НЖЦЖ,3B,1,1,27.0,1,3,1,1,0,0.0,0.0,0.0
groteje01,1978,LAN,NL,WS,C,2,0,11.0,3,0,0,0,0,0.0,0.0,0.0
brownja03,1991,MIN,AL,WS,RF,1,0,3.0,0,0,0,0,0,,,
cochrmi01,1935,DET,AL,WS,C,6,6,165.0,32,4,1,1,0,1.0,1.0,2.0
kimby01,2001,ARI,NL,NLCS,Р,3,0,15.0,0,0,0,0,0,,0.0,0.0
torreyo01,2007,COL,NL,NLCS,C,4,4,114.0,29,2,0,0,0,0.0,0.0,2.0
speiech01,1971,SFN,NL,NLCS,СС,4,4,102.0,3,14,1,0,0,,,
quallch01,2005,HOU,NL,НЛДС2,Р,2,0,9.0,0,0,1,0,0,,0.0,0.0
