playerid,yearid,stint,glf,gcf,grf
ingersc01,1911,1,43.0,0.0,2.0
derbyge01,1882,1,0.0,1.0,1.0
mitchfr01,1905,1,1.0,0.0,0.0
hinespa01,1879,1,0.0,85.0,0.0
wadega01,1955,1,0.0,9.0,0.0
leachfr01,1924,1,7.0,0.0,0.0
henlega01,1954,1,1.0,0.0,8.0
horansh01,1924,1,4.0,1.0,9.0
krugear01,1907,1,26.0,70.0,1.0
clintji01,1886,1,0.0,23.0,0.0
tenerjo01,1889,1,1.0,0.0,5.0
snidedu01,1951,1,0.0,150.0,0.0
ennisde01,1947,1,135.0,0.0,2.0
palysst01,1954,1,0.0,0.0,1.0
donlimi01,1901,1,73.0,1.0,0.0
millebi02,1930,1,0.0,13.0,142.0
sullibi03,1902,1,1.0,0.0,1.0
portedi01,1933,1,7.0,0.0,119.0
bellgu01,1954,1,0.0,153.0,0.0
shannsp01,1905,1,140.0,0.0,0.0
hemphch01,1902,1,17.0,1.0,1.0
howelha01,1907,1,0.0,2.0,0.0
hoffebi01,1898,1,2.0,2.0,0.0
careyma01,1928,1,1.0,75.0,35.0
arnovmo01,1940,2,57.0,0.0,3.0
briodfa01,1885,1,0.0,1.0,0.0
mccaral01,1911,1,1.0,0.0,0.0
curtrgu01,1946,1,2.0,2.0,11.0
laabsch01,1945,1,34.0,2.0,2.0
buffich01,1887,1,7.0,7.0,8.0
galanau01,1949,2,7.0,0.0,2.0
frencbi01,1873,1,0.0,0.0,2.0
jensewo01,1939,1,0.0,1.0,2.0
bladera01,1930,1,13.0,0.0,21.0
johnsro02,1932,1,0.0,0.0,48.0
caldwra02,1913,1,0.0,1.0,2.0
roushed01,1929,1,0.0,107.0,0.0
winklge01,1883,1,3.0,1.0,0.0
hahned01,1910,1,0.0,0.0,15.0
hinespa01,1878,1,0.0,61.0,0.0
frielbi01,1903,1,0.0,4.0,6.0
seymocy01,1906,1,0.0,79.0,0.0
holmeto01,1947,1,0.0,0.0,147.0
campbvi01,1910,1,38.0,17.0,18.0
kirbyla01,1915,1,9.0,40.0,4.0
colliri02,1932,1,15.0,0.0,45.0
westsa01,1932,1,0.0,143.0,0.0
hoopeha01,1910,1,9.0,4.0,142.0
mayespa01,1911,1,0.0,0.0,0.0
harrijo03,1926,1,3.0,0.0,32.0
leonaan01,1878,1,60.0,0.0,0.0
collish01,1921,1,1.0,44.0,94.0
willite01,1955,1,93.0,0.0,0.0
douglkl01,1902,1,10.0,0.0,0.0
freembu01,1899,1,0.0,0.0,155.0
fislewe01,1875,1,0.0,1.0,9.0
werdepe01,1893,1,0.0,0.0,1.0
slattmi01,1891,1,4.0,37.0,0.0
acostme01,1913,1,5.0,1.0,1.0
wasdeji01,1944,1,118.0,5.0,3.0
radclri01,1942,1,6.0,0.0,18.0
harbibi01,1875,1,0.0,0.0,13.0
sandebe01,1889,1,1.0,2.0,0.0
chappla01,1914,1,7.0,0.0,2.0
mccarto01,1894,1,119.0,9.0,0.0
huntjo01,1932,1,0.0,0.0,5.0
stengca01,1917,1,0.0,1.0,149.0
tiernmi01,1896,1,0.0,0.0,133.0
hartbi01,1896,1,4.0,1.0,3.0
powerdo01,1898,1,1.0,0.0,0.0
bergewa01,1938,1,0.0,8.0,1.0
risinpo01,1905,1,0.0,0.0,6.0
speaktr01,1923,1,0.0,150.0,0.0
hinchbi01,1917,1,41.0,8.0,0.0
bakerto01,1936,1,0.0,0.0,1.0
dolanco01,1903,2,0.0,0.0,93.0
hendrti01,1920,1,0.0,98.0,0.0
koyer01,1941,1,12.0,0.0,0.0
demonge01,1900,1,0.0,1.0,0.0
bottajo01,1937,1,1.0,0.0,0.0
johnsbo01,1937,1,129.0,6.0,0.0
walketi01,1918,1,0.0,109.0,0.0
meledu01,1937,1,2.0,0.0,3.0
millewa02,1909,2,17.0,16.0,3.0
schlala01,1914,1,1.0,0.0,0.0
kingle02,1919,1,2.0,1.0,3.0
musiast01,1953,1,141.0,9.0,26.0
orourti01,1893,1,25.0,0.0,0.0
obrieto01,1884,1,1.0,1.0,1.0
meusebo01,1922,1,47.0,1.0,74.0
larosha01,1914,1,10.0,10.0,0.0
olsoniv01,1914,1,5.0,0.0,1.0
casege01,1940,1,0.0,118.0,36.0
wagnebu01,1898,1,1.0,9.0,0.0
moranpa01,1902,1,0.0,0.0,1.0
coopewi01,1917,1,0.0,0.0,1.0
riceha02,1954,2,3.0,0.0,21.0
cample01,1892,1,0.0,2.0,1.0
baldwla01,1884,1,0.0,5.0,0.0
baldwki01,1886,1,0.0,5.0,1.0
mitchda01,1946,1,0.0,11.0,0.0
mannodo01,1940,1,0.0,0.0,2.0
doyleja01,1891,1,4.0,8.0,10.0
bassjo01,1872,1,0.0,0.0,2.0
frasech01,1903,1,0.0,1.0,0.0
hendrja01,1902,1,0.0,0.0,7.0
halldi01,1955,1,1.0,3.0,0.0
lanedi01,1949,1,11.0,0.0,0.0
walkedi02,1931,1,1.0,0.0,1.0
dolanco01,1903,1,2.0,2.0,0.0
jensewo01,1935,1,138.0,0.0,2.0
thomptu01,1884,1,0.0,7.0,5.0
thompto02,1936,1,10.0,22.0,7.0
coonwi01,1876,1,0.0,2.0,29.0
conrowi01,1905,1,20.0,3.0,2.0
fosteel01,1886,1,9.0,5.0,0.0
dextech01,1898,1,0.0,0.0,95.0
dyckji01,1953,1,32.0,19.0,8.0
finnelo01,1946,1,4.0,0.0,3.0
ryanji01,1890,1,0.0,118.0,0.0
raymoha01,1889,1,1.0,0.0,0.0
litwhda01,1948,2,5.0,1.0,77.0
stratsc01,1895,1,0.0,4.0,0.0
rickema01,1942,1,0.0,6.0,0.0
stumpge01,1933,1,3.0,8.0,4.0
hoelsar01,1907,1,0.0,6.0,2.0
mackife01,1943,1,0.0,2.0,1.0
hodesch01,1874,1,0.0,13.0,5.0
glennjo01,1872,2,0.0,1.0,0.0
carrocl01,1882,1,2.0,0.0,8.0
godwijo01,1906,1,0.0,1.0,9.0
jonesja01,1883,1,0.0,2.0,0.0
boylehe01,1884,1,40.0,2.0,2.0
vollmcl01,1948,2,0.0,1.0,0.0
millsev01,1873,1,0.0,1.0,0.0
tobinja01,1920,1,34.0,0.0,113.0
mackre01,1889,1,0.0,1.0,0.0
barnaba01,1943,2,29.0,0.0,0.0
stonejo01,1933,1,18.0,0.0,124.0
goodmiv01,1941,1,0.0,0.0,40.0
bordafr01,1944,1,5.0,15.0,8.0
sebriji01,1909,2,0.0,1.0,0.0
simmoal01,1930,1,129.0,7.0,0.0
altizda01,1906,1,0.0,0.0,2.0
edmonbo01,1908,1,1.0,9.0,14.0
morrijo03,1884,1,0.0,44.0,0.0
callama01,1930,1,16.0,38.0,0.0
holbebi01,1879,1,0.0,3.0,1.0
