id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
1,1946,"Я готова к переводу. Пожалуйста, предоставьте текст для перевода.",О,PHW,NBA,CHS,NBA,4,1
3,1946,КФ,М,PHW,NBA,STB,NBA,2,1
12,1947,"Извините, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",А,CHS,NBA,WSC,NBA,1,0
15,1948,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",NYK,NBA,BLB,NBA,2,1
18,1948,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,CHS,NBA,2,0
19,1948,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",ROC,NBA,STB,NBA,2,0
20,1949,DF,"Okay, I will only provide translations from now on.",MNL,NBA,FTW,NBA,2,0
23,1949,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,CHS,NBA,2,0
25,1949,DF,"Okay, I will only provide translations from now on.",SYR,NBA,NYK,NBA,2,1
27,1949,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",SYR,NBA,PHW,NBA,2,0
32,1949,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",INO,NBA,SHE,NBA,2,1
35,1950,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",SYR,NBA,PHW,NBA,2,0
38,1950,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,INO,NBA,2,1
40,1951,DF,"Okay, I will only provide translations from now on.",NYK,NBA,SYR,NBA,3,1
43,1951,"Я готова к переводу. Пожалуйста, предоставьте текст для перевода.",О,MNL,NBA,NYK,NBA,4,3
47,1952,DF,"Okay, I will only provide translations from now on.",NYK,NBA,BOS,NBA,3,1
49,1952,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",NYK,NBA,BLB,NBA,2,0
51,1952,DF,"Okay, I will only provide translations from now on.",MNL,NBA,FTW,NBA,3,2
55,1953,РР,я,SYR,NBA,,NBA,4,0
57,1953,РР,я,NYK,NBA,,NBA,0,4
58,1953,"Я готова к переводу. Пожалуйста, предоставьте текст для перевода.",О,MNL,NBA,SYR,NBA,4,3
65,1954,"Я готова к переводу. Пожалуйста, предоставьте текст для перевода.",О,SYR,NBA,FTW,NBA,4,3
67,1954,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,ROC,NBA,2,1
68,1955,DF,"Okay, I will only provide translations from now on.",PHW,NBA,SYR,NBA,3,2
73,1955,"Извините, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",А,MNL,NBA,STL,NBA,1,0
76,1956,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",SYR,NBA,PHW,NBA,2,0
79,1956,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,FTW,NBA,2,0
80,1956,"Извините, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",А,STL,NBA,FTW,NBA,1,0
81,1956,"Извините, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",А,STL,NBA,MNL,NBA,1,0
82,1957,DF,"Okay, I will only provide translations from now on.",BOS,NBA,PHW,NBA,4,1
83,1957,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",PHW,NBA,SYR,NBA,2,1
87,1958,DF,"Okay, I will only provide translations from now on.",BOS,NBA,SYR,NBA,4,3
88,1958,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",SYR,NBA,NYK,NBA,2,0
90,1958,DF,"Okay, I will only provide translations from now on.",MNL,NBA,STL,NBA,4,2
92,1959,DF,"Okay, I will only provide translations from now on.",BOS,NBA,PHW,NBA,4,2
93,1959,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",PHW,NBA,SYR,NBA,2,1
94,1959,"Я готова к переводу. Пожалуйста, предоставьте текст для перевода.",О,BOS,NBA,STL,NBA,4,3
96,1959,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,DET,NBA,2,0
98,1960,DFR,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",SYR,NBA,PHW,NBA,3,0
