playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
frasego01,1924,VIC,WCHL,D,4,2,1,3,6
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
marksja01,1912,QU1,NHA,R,3,2,0,2,2
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
pitredi01,1918,MTL,NHL,R,5,0,3,3,0
lavioja01,1915,MOC,NHA,L,2,0,0,0,6
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
shoreha01,1914,OT1,NHA,D,3,0,0,0,3
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
oatmaru01,1925,VIC,WCHL,R,4,0,0,0,10
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
harrism01,1920,VML,PCHA,L,5,2,1,3,6
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
manthsy01,1923,MTL,NHL,D,4,0,0,0,0
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
simpsjo01,1922,EDE,WCHL,D,2,0,1,1,0
mummeha01,1912,QU1,NHA,D,3,1,0,1,7
morribe01,1919,SEA,PCHA,C,5,0,2,2,0
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
stuarbi01,1921,TRS,NHL,D,5,0,2,2,6
cookll01,1920,VML,PCHA,D,5,2,0,2,20
mackami01,1917,VML,PCHA,C,5,5,5,10,12
vezinge01,1915,MOC,NHA,G,5,0,0,0,0
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
bouchge01,1920,OTS,NHL,D,5,2,0,2,9
phillme01,1925,MTM,NHL,F,4,1,1,2,0
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
rickero01,1916,SEA,PCHA,D,4,0,1,1,23
meekiha01,1917,TOA,NHL,L,5,1,2,3,0
taylocy01,1920,VML,PCHA,L,3,0,1,1,5
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
bouchbi01,1923,MTL,NHL,R,4,5,1,6,6
moynesp01,1917,VML,PCHA,R,4,0,0,0,9
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
sheppjo01,1922,EDE,WCHL,C,1,0,0,0,0
camerbi01,1923,MTL,NHL,R,4,0,0,0,0
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
poulisk01,1915,MOC,NHA,C,5,1,1,2,6
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
rothssa01,1925,MTM,NHL,F,4,0,0,0,0
rowebo01,1918,SEA,PCHA,D,5,1,0,1,6
morrijo01,1922,EDE,WCHL,R,2,1,0,1,0
morribe01,1916,SEA,PCHA,R,4,14,2,16,0
pitredi01,1915,MOC,NHA,R,5,4,1,5,15
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
coutubi01,1918,MTL,NHL,D,5,0,1,1,0
harrism01,1922,VAM,PCHA,L,4,1,0,1,8
cookll01,1923,VAM,PCHA,D,2,0,0,0,4
lindsbe01,1913,VA1,PCHA,G,3,0,0,0,0
patrifr01,1914,VML,PCHA,D,3,2,1,3,6
skinnal01,1921,VML,PCHA,R,5,0,1,1,12
camerha01,1917,TOA,NHL,D,5,3,1,4,0
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
hartgi01,1925,VIC,WCHL,R,4,0,0,0,2
morenho01,1924,MTL,NHL,C,4,4,1,5,4
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
clancki01,1922,OTS,NHL,D,6,1,0,1,4
duncaar01,1923,VAM,PCHA,D,2,0,0,0,6
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
wilsocu01,1918,SEA,PCHA,R,5,1,3,4,6
duncaar01,1921,VML,PCHA,D,5,0,1,1,9
ronansk01,1915,MOC,NHA,R,4,1,0,1,6
lindsbe01,1912,VA1,PCHA,G,3,0,0,0,0
carpeed01,1916,SEA,PCHA,D,4,0,0,0,3
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
bouchge01,1922,OTS,NHL,D,6,2,1,3,6
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
nighbfr01,1922,OTS,NHL,C,6,1,1,2,10
duncaar01,1920,VML,PCHA,D,5,2,1,3,3
foystfr01,1916,SEA,PCHA,L,4,7,2,9,3
adamsja01,1920,VML,PCHA,C,5,2,1,3,6
