year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1975,Pre,B,NYI,NHL,VAN,NHL,2,0,0,8,4,
2002,CQF,G,MIN,NHL,COL,NHL,4,3,0,16,17,
1990,CF,M,PIT,NHL,BOS,NHL,4,2,0,27,18,
1981,DSF,F,NYR,NHL,PHI,NHL,3,1,0,19,15,
2008,CSF,J,PIT,NHL,WAS,NHL,4,3,0,27,22,
1918,F,,SEA,PCHA,VML,PCHA,1,1,0,7,5,TG
1997,CSF,I,WAS,NHL,OTT,NHL,4,1,0,18,7,
2011,CQF,A,NYR,NHL,OTT,NHL,4,3,0,14,13,
1960,SCF,C,CHI,NHL,DET,NHL,4,2,0,19,12,
1991,DSF,C,NYR,NHL,NJD,NHL,4,3,0,28,25,
1996,CQF,E,COL,NHL,CHI,NHL,4,2,0,28,14,
1923,SCSF,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1985,DSF,C,NYR,NHL,PHI,NHL,3,2,0,18,15,
1986,CF,M,PHI,NHL,MTL,NHL,4,2,0,22,22,
1922,F,,OTS,NHL,MTL,NHL,1,1,0,3,2,TG
2000,CF,M,NJD,NHL,PIT,NHL,4,1,0,17,7,
1984,DSF,H,WIN,NHL,CAL,NHL,3,1,0,15,13,
1983,DSF,F,STL,NHL,DET,NHL,3,1,0,13,12,
1926,QF,A,MTL,NHL,MTM,NHL,1,0,1,2,1,TG
1917,SCF,,TOA,NHL,VML,PCHA,3,2,0,18,21,
2006,CF,N,AND,NHL,DET,NHL,4,2,0,16,17,
1992,DSF,G,VAN,NHL,WIN,NHL,4,2,0,21,17,
2006,CSF,K,DET,NHL,SJS,NHL,4,2,0,13,9,
1939,SF,A,NYR,NHL,BOS,NHL,4,2,0,15,9,
1995,CSF,I,FLO,NHL,PHI,NHL,4,2,0,15,11,
2005,CQF,E,EDM,NHL,DET,NHL,4,2,0,19,17,
1984,DSF,B,QUE,NHL,BUF,NHL,3,2,0,22,22,
1999,CQF,B,PIT,NHL,WAS,NHL,4,1,0,17,8,
2010,CQF,H,NAS,NHL,AND,NHL,4,2,0,22,20,
1921,SCSF,,VML,PCHA,REG,WCHL,1,1,0,5,2,TG
2005,SCF,O,CAR,NHL,EDM,NHL,4,3,0,19,16,
1955,SF,A,MTL,NHL,NYR,NHL,4,1,0,24,9,
2007,CSF,I,PHI,NHL,MTL,NHL,4,1,0,20,14,
1946,SF,B,TOR,NHL,DET,NHL,4,1,0,18,14,
2005,CF,N,EDM,NHL,ANA,NHL,4,1,0,16,13,
2002,CSF,I,OTT,NHL,PHI,NHL,4,2,0,17,10,
1945,SF,B,BOS,NHL,DET,NHL,4,1,0,16,10,
1972,DF,,WIJ,WHA,HOU,WHA,4,0,0,14,3,
1955,SF,B,DET,NHL,TOR,NHL,4,1,0,14,10,
2011,CSF,I,NYR,NHL,WAS,NHL,4,3,0,15,13,
1995,CQF,B,PIT,NHL,WAS,NHL,4,2,0,21,17,
1992,DF,J,NYI,NHL,PIT,NHL,4,3,0,24,27,
1991,DSF,B,BOS,NHL,BUF,NHL,4,3,0,19,24,
1976,DF,,WIJ,WHA,HOU,WHA,4,2,0,24,23,
2010,SCF,O,BOS,NHL,VAN,NHL,4,3,0,23,8,
1988,DSF,E,CHI,NHL,DET,NHL,4,2,0,25,18,
1954,SCF,C,DET,NHL,MTL,NHL,4,3,0,27,20,
