year,hofid,name,category
1947,clappdi01h,Dit Clapper,Player
1968,cowlebi01h,Bill Cowley,Player
1992,dumarwo01h,Woody Dumart,Player
2010,jamesan01h,Angela James,Player
1958,norrija02h,James Norris Sr.,Builder
1963,seibeea01h,Earl Seibert,Player
1947,robincl01h,Claude Robinson,Builder
1961,hainsge01h,George Hainsworth,Player
1981,stanlal01h,Allan Stanley,Player
1961,richama01h,Maurice Richard,Player
1958,pickaal01h,Allan Pickard,Builder
1989,bauerda01h,David Bauer,Builder
1961,conacch01h,Charlie Conacher,Player
1978,bathgan01h,Andy Bathgate,Player
1990,flamafe01h,Fern Flaman,Player
1976,bowerjo01h,Johnny Bower,Player
1972,geoffbe01h,Bernie Geoffrion,Player
1947,caldefr01h,Frank Calder,Builder
1962,watsoha01h,Harry Watson,Player
1998,stastpe01h,Peter Stastny,Player
1972,adamswe01h,Weston Adams,Builder
1969,kellyre01h,Red Kelly,Player
1977,hortoti01h,Tim Horton,Player
1965,marshja02h,Jack Marshall,Player
1959,dennecy01h,Cy Denneny,Player
1949,bainda01h,Dan Bain,Player
2004,bourqra01h,Raymond Bourque,Player
1958,smythco01h,Conn Smythe,Builder
1971,weilaco01h,Cooney Weiland,Player
1995,cookbu01h,Bun Cook,Player
1950,triheha01h,Harry Trihey,Player
2009,yzermst01h,Steve Yzerman,Player
1947,shoreed01h,Eddie Shore,Player
1962,camerha01h,Harry Cameron,Player
1945,phillto01h,Tommy Phillips,Player
1961,ellioch01h,Chaucer Elliott,Referee/Linesman
1991,smithcl01h,Clint Smith,Player
1945,mcgeefr01h,Frank McGee,Player
1982,ullmano01h,Norm Ullman,Player
1962,gilmobi01h,Billy Gilmour,Player
1974,coultar01h,Art Coulter,Player
1976,gibsoja02h,Jack Gibson,Builder
2007,gregoji01h,Jim Gregory,Builder
1999,gretzwa01h,Wayne Gretzky,Player
1974,dundeto01h,Tommy Dunderdale,Player
1966,bouchbu01h,Butch Bouchard,Player
1961,waghofr01h,Fred Waghorne,Builder
1962,brownwa02h,Walter Brown,Builder
1972,belivje01h,Jean Beliveau,Player
1961,schmimi01h,Milt Schmidt,Player
1964,bentldo01h,Doug Bentley,Player
1974,burchbi01h,Billy Burch,Player
1994,conacli01h,Lionel Conacher,Player
1964,chadwbi01h,Bill Chadwick,Referee/Linesman
1969,hextabr01h,Bryan Hextall,Player
1979,richahe01h,Henri Richard,Player
1991,armstne01h,Neil Armstrong,Referee/Linesman
1962,crawfru01h,Rusty Crawford,Player
1961,dayha01h,Hap Day,Player
1993,lapraed01h,Edgar Laprade,Player
1966,prattba01h,Babe Pratt,Player
2010,granaca01h,Cammi Granato,Player
1997,sathegl01h,Glen Sather,Builder
1979,howelha01h,Harry Howell,Player
1960,walkeja01h,Jack Walker,Player
1984,lemaija01h,Jacques Lemaire,Player
1974,haych01h,Charles Hay,Builder
1986,boivile01h,Leo Boivin,Player
2003,ilitcmi01h,Mike Illitch,Builder
1978,pollosa01h,Sam Pollock,Builder
1993,smithbi01h,Billy Smith,Player
1958,clancki01h,King Clancy,Player
1983,sindeha01h,Harry Sinden,Builder
1962,maxwest01h,Steamer Maxwell,Player
1962,schrisw01h,Sweeney Schriner,Player
1968,hendyji01h,Jim Hendy,Builder
1952,stewane01h,Nels Stewart,Player
1998,murraat01h,Athol Murray,Builder
2007,messima01h,Mark Messier,Player
2005,neelyca01h,Cam Neely,Player
