year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1978,NHL,MTL,16,12,4,0,63,41,178,0,15,51,1,7,39,0
1918,NHL,MTL,5,4,1,0,26,18,87,,,,,,,
1980,NHL,PIT,5,2,3,0,21,20,141,4,6,24,0,8,23,1
2011,NHL,NJD,24,14,10,0,59,58,248,0,13,85,2,22,82,1
1973,WHA,NEW,7,3,4,0,23,24,,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103,,,,,,,
1986,NHL,WIN,10,4,6,0,31,32,289,2,9,42,1,8,47,2
1997,NHL,OTT,11,5,6,0,20,30,135,2,8,51,4,7,39,1
1930,NHL,TOR,2,0,1,1,3,4,13,,,,,,,
1955,NHL,NYR,5,1,4,0,9,24,62,,,,,,,
1989,NHL,STL,12,7,5,0,42,44,432,2,16,62,3,12,70,1
1979,NHL,VAN,4,1,3,0,7,15,84,2,1,14,0,6,18,0
1989,NHL,HAR,7,3,4,0,21,23,143,2,3,34,1,8,32,0
1978,NHL,TOR,6,2,4,0,19,24,192,0,3,19,0,9,30,1
1985,NHL,CHI,3,0,3,0,9,18,87,0,3,16,0,5,15,0
1927,NHL,NYR,9,5,3,1,16,12,152,,,,,,,
1987,NHL,CHI,5,1,4,0,17,21,188,0,8,29,,10,38,1
1967,NHL,BOS,4,0,4,0,8,15,56,,1,,0,3,,0
1974,WHA,MFS,12,6,6,0,44,42,,,,,,,,
1984,NHL,STL,3,0,3,0,5,9,72,0,2,15,0,2,9,1
1995,NHL,TBL,6,2,4,0,13,26,190,0,3,35,0,10,43,2
1980,NHL,NYR,14,7,7,0,60,56,402,6,11,59,4,18,65,2
1927,NHL,PIP,2,1,1,0,4,6,12,,,,,,,
1995,NHL,CHI,10,6,4,0,30,28,180,2,7,46,0,5,53,0
2000,NHL,CAR,6,2,4,0,8,20,115,0,3,29,1,2,24,0
1944,NHL,DET,14,7,7,0,31,31,40,,,,,,,
2001,NHL,OTT,12,7,5,0,29,18,115,0,9,55,0,6,41,0
1926,NHL,OTS,6,3,0,3,12,4,85,,,,,,,
2011,NHL,STL,9,4,5,0,20,23,212,0,6,35,2,3,38,0
1986,NHL,HAR,6,2,4,0,19,27,317,2,6,35,1,12,39,0
