year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1988,NHL,CAL,32,4,4.0,,22,13,5.0,,,,,,6,3,3,,10,1,1,,8,4,2,,10,3,2.0,,10.0,3.0,0.0,,9,3,1,,1,0,0,
1977,WHA,SOV,0,0,0.0,,3,4,1.0,,,,,,,,,,,,,,3,4,0,,0,0,1.0,,,,,,,,,,,,,
2011,NHL,FLO,21,9,,11,17,17,,7,,,,,6,4,,1,7,3,,3,7,5,,3,2,3,,4,8.0,5.0,,1,7,5,,4,1,1,,2
1992,NHL,WIN,23,16,3.0,,17,21,4.0,,,,,,4,8,0,,4,5,2,,7,6,1,,10,3,2.0,,3.0,7.0,1.0,,7,6,1,,5,2,0,
1974,NHL,PHI,32,6,2.0,,19,12,9.0,,,,,,6,3,1,,8,3,2,,10,1,2,,7,3,2.0,,5.0,7.0,2.0,,13,1,1,,2,0,1,
1998,NHL,ANA,21,14,6.0,,14,20,7.0,,,,,,3,3,3,,5,7,1,,5,3,4,,4,9,1.0,,10.0,3.0,0.0,,6,4,2,,2,5,2,
2000,NHL,COL,28,6,5.0,2,24,10,5.0,2,,,,,9,1,2,0,8,3,1,0,8,4,2,0,10,0,3.0,1,5.0,4.0,1.0,1,10,3,0,2,2,1,1,0
1999,NHL,ATL,9,26,3.0,3,5,31,4.0,1,,,,,2,5,2,1,3,9,0,0,3,7,2,2,3,8,2.0,1,1.0,11.0,0.0,0,1,13,1,0,1,4,0,0
1978,NHL,COR,8,24,8.0,,7,29,4.0,,,,,,2,7,1,,2,8,4,,3,9,1,,5,7,2.0,,1.0,11.0,0.0,,1,10,2,,1,1,2,
2005,NHL,EDM,20,15,,6,21,13,,7,,,,,5,6,,1,9,5,,0,8,3,,3,6,4,,2,2.0,2.0,,2,7,5,,4,4,3,,1
1992,NHL,OTT,9,29,4.0,,1,41,0.0,,,,,,1,9,1,,1,13,0,,1,12,2,,2,12,0.0,,4.0,7.0,1.0,,0,10,0,,1,7,0,
2006,NHL,FLO,23,12,,6,12,19,,10,,,,,5,7,,2,3,7,,3,7,5,,2,4,4,,3,6.0,3.0,,3,9,4,,1,1,1,,2
1997,NHL,LAK,22,16,3.0,,16,17,8.0,,,,,,5,5,4,,7,4,1,,4,7,2,,7,3,2.0,,4.0,2.0,1.0,,7,6,1,,4,6,0,
1930,NHL,MTL,15,3,4.0,,11,7,4.0,,,,,,,,,,3,3,0,,6,1,3,,8,3,0.0,,6.0,1.0,3.0,,3,2,2,,,,,
1990,NHL,PHI,18,16,6.0,,15,21,4.0,,,,,,6,6,0,,11,4,2,,4,8,3,,6,4,1.0,,4.0,5.0,2.0,,2,10,2,,,,,
1988,NHL,NYR,21,17,2.0,,16,18,6.0,,,,,,8,2,1,,6,6,2,,6,6,2,,8,2,3.0,,5.0,7.0,0.0,,4,10,0,,0,2,0,
1995,NHL,LAK,16,16,9.0,,8,24,9.0,,,,,,4,3,4,,7,7,1,,3,5,4,,3,8,2.0,,1.0,9.0,4.0,,4,6,2,,2,2,1,
2000,NHL,MTL,15,20,4.0,2,13,20,4.0,4,,,,,4,5,2,0,5,10,0,0,1,8,2,2,7,5,1.0,1,5.0,6.0,0.0,1,5,5,3,1,1,1,0,1
1984,NHL,TOR,10,28,2.0,,10,24,6.0,,,,,,3,6,1,,1,9,3,,2,11,1,,5,6,1.0,,5.0,8.0,1.0,,4,9,1,,0,3,0,
1933,NHL,NYA,7,12,5.0,,8,11,5.0,,,,,,,,,,1,3,3,,2,8,1,,6,4,3.0,,4.0,3.0,3.0,,2,5,0,,,,,
1940,NHL,TOR,16,5,3.0,,12,9,3.0,,,,,,,,,,8,2,0,,6,4,1,,6,2,2.0,,5.0,3.0,2.0,,3,3,1,,,,,
1921,NHL,HAM,5,7,0.0,,2,10,0.0,,,,,,,,,,,,,,1,4,0,,3,5,0.0,,2.0,6.0,0.0,,1,2,0,,,,,
1972,WHA,NRA,23,15,1.0,,10,28,1.0,,,,,,5,5,0,,8,6,0,,8,8,0,,3,8,1.0,,5.0,6.0,0.0,,4,10,1,,,,,
1987,NHL,BOS,24,13,3.0,,20,17,3.0,,,,,,5,4,1,,9,6,1,,8,4,2,,7,5,1.0,,8.0,3.0,0.0,,6,7,1,,1,1,0,
2005,NHL,COL,25,10,,6,18,20,,3,,,,,6,4,,1,8,5,,2,6,8,,0,9,2,,2,4.0,2.0,,1,7,5,,2,3,4,,1
1979,NHL,VAN,14,17,9.0,,13,20,7.0,,,,,,4,3,3,,6,5,3,,4,8,1,,1,11,1.0,,4.0,5.0,3.0,,5,5,5,,3,0,0,
1979,NHL,QUE,17,16,7.0,,8,28,4.0,,,,,,3,5,1,,4,7,3,,8,5,1,,4,6,2.0,,3.0,9.0,1.0,,3,10,1,,0,2,2,
1991,NHL,QUE,18,19,3.0,,2,29,9.0,,,,,,2,9,1,,4,8,1,,5,5,3,,1,10,1.0,,1.0,9.0,3.0,,5,7,2,,2,0,1,
1998,NHL,BUF,23,12,6.0,,14,16,11.0,,,,,,4,3,2,,6,2,2,,9,3,1,,5,6,3.0,,4.0,6.0,4.0,,5,5,3,,4,3,2,
2009,NHL,VAN,30,8,,3,19,20,,2,,,,,7,7,,0,7,5,,0,10,4,,1,10,2,,1,3.0,4.0,,0,9,4,,2,3,2,,1
1994,NHL,NJD,14,4,6.0,,8,14,2.0,,,,,,,,,,,,,,,,,,1,3,1.0,,6.0,4.0,3.0,,7,6,2,,8,4,2,
1991,NHL,CAL,19,14,7.0,,12,23,5.0,,,,,,6,5,1,,5,5,3,,5,7,1,,5,5,2.0,,4.0,7.0,2.0,,5,7,2,,1,1,1,
1976,NHL,CLE,14,17,9.0,,11,25,4.0,,,,,,3,5,2,,3,6,4,,5,10,1,,4,6,1.0,,4.0,7.0,2.0,,5,7,3,,1,1,0,
1971,NHL,LAK,14,23,2.0,,6,26,7.0,,,,,,2,8,1,,3,9,0,,4,9,0,,4,7,5.0,,3.0,8.0,1.0,,3,8,2,,1,0,0,
2003,NHL,PHO,11,19,7.0,4,11,17,11.0,2,,,,,3,4,3,0,4,5,3,1,5,3,5,1,6,6,2.0,0,2.0,8.0,2.0,2,1,10,3,2,1,0,0,0
1993,NHL,OTT,8,30,4.0,,6,31,5.0,,,,,,2,6,2,,3,9,1,,3,13,0,,1,9,4.0,,1.0,9.0,1.0,,3,10,0,,1,5,1,
