year,lgid,tmid,oppid,w,l,t,otl
1996,NHL,LAK,WAS,1,0,1.0,
1977,NHL,VAN,NYI,0,5,0.0,
2008,NHL,DAL,NAS,2,2,,0
1981,NHL,QUE,NYR,1,1,1.0,
1996,NHL,OTT,NJD,0,2,2.0,
2008,NHL,CAL,CHI,0,3,,1
1976,NHL,BOS,DET,4,1,0.0,
2006,NHL,AND,PHO,6,2,,0
1992,NHL,NYR,CAL,0,1,1.0,
1927,NHL,DTC,NYR,2,3,1.0,
2008,NHL,WAS,LAK,0,2,,0
1929,NHL,NYR,TOR,0,3,1.0,
1975,NHL,TOR,NYR,4,0,0.0,
1974,NHL,KCS,MNS,2,4,0.0,
2009,NHL,CAL,FLO,1,0,,0
1979,NHL,COR,HAR,1,2,1.0,
1972,NHL,PIT,STL,3,2,0.0,
1927,NHL,NYR,MTL,0,4,0.0,
2006,NHL,VAN,TBL,1,0,,0
1993,NHL,NYR,LAK,2,0,0.0,
1993,NHL,WIN,TOR,1,4,1.0,
1989,NHL,NYR,DET,2,0,1.0,
2009,NHL,FLO,CHI,1,1,,0
1996,NHL,NYR,STL,1,1,0.0,
2011,NHL,MTL,COL,0,0,,1
1971,NHL,BUF,MNS,2,2,2.0,
2000,NHL,NJD,EDM,1,0,0.0,0
1988,NHL,LAK,NYI,2,1,0.0,
2010,NHL,NYR,FLO,2,2,,0
2006,NHL,DAL,FLO,0,0,,1
2007,NHL,OTT,STL,1,0,,0
1967,NHL,DET,STL,2,1,1.0,
2001,NHL,BOS,CAR,2,2,0.0,0
1914,NHA,TOO,TBS,1,3,0.0,
1999,NHL,NYR,NYI,2,2,1.0,0
1983,NHL,QUE,MTL,5,3,0.0,
2001,NHL,MTL,NJD,2,2,0.0,0
2009,NHL,CAR,CAL,0,1,,0
2009,NHL,BUF,EDM,1,0,,0
1949,NHL,DET,NYR,7,5,2.0,
1957,NHL,DET,CHI,7,7,0.0,
1980,NHL,MNS,NYI,0,2,2.0,
1991,NHL,STL,LAK,1,1,1.0,
2001,NHL,TBL,MIN,0,1,0.0,0
2011,NHL,CAR,PHI,1,3,,0
1960,NHL,MTL,TOR,8,6,0.0,
2002,NHL,FLO,VAN,0,2,0.0,0
2001,NHL,NYI,CAL,1,1,0.0,0
1999,NHL,BUF,MTL,2,3,0.0,0
1979,NHL,PIT,QUE,2,2,0.0,
1975,NHL,LAK,STL,2,1,1.0,
1978,NHL,WAS,MNS,2,2,0.0,
2011,NHL,OTT,CHI,0,1,,0
2007,NHL,NJD,LAK,1,0,,0
2010,NHL,OTT,CAL,0,2,,0
1989,NHL,WIN,LAK,5,2,1.0,
1993,NHL,CAL,WAS,1,0,1.0,
1954,NHL,MTL,TOR,6,4,4.0,
1958,NHL,DET,BOS,5,8,1.0,
1980,NHL,PHI,WIN,3,1,0.0,
1981,NHL,TOR,EDM,1,2,0.0,
1926,NHL,BOS,NYA,2,2,0.0,
2008,NHL,OTT,COL,0,0,,1
1974,NHL,MTL,BUF,0,4,1.0,
1987,NHL,WIN,PHI,0,3,0.0,
1975,WHA,IND,PHR,3,3,0.0,
1994,NHL,DET,SJS,4,0,0.0,
1998,NHL,STL,NAS,4,2,0.0,
2001,NHL,COL,CBS,4,0,0.0,0
1939,NHL,DET,NYA,5,3,0.0,
2002,NHL,CBS,BUF,1,1,0.0,0
1986,NHL,EDM,CHI,1,2,0.0,
