coachid,award,year,lgid,note
thomppa01c,First Team All-Star,1939,NHL,
cherrdo01c,Jack Adams,1975,NHL,
kelleja01c,Baldwin,1972,WHA,
juliecl01c,Jack Adams,2008,NHL,
crawfma01c,Jack Adams,1994,NHL,
quennjo01c,Jack Adams,1999,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
weilaco01c,First Team All-Star,1940,NHL,
burnspa01c,Jack Adams,1988,NHL,
murdobo01c,Jack Adams,1989,NHL,
patrile01c,First Team All-Star,1934,NHL,
demerja01c,Jack Adams,1987,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
quinnpa01c,Jack Adams,1991,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
burnspa01c,Jack Adams,1992,NHL,
irvindi01c,First Team All-Star,1945,NHL,
ruffli01c,Jack Adams,2005,NHL,
bylsmda01c,Jack Adams,2010,NHL,
suttebr01c,Jack Adams,1990,NHL,
krommbo01c,Jack Adams,1977,NHL,
dayha01c,Second Team All-Star,1943,NHL,
sherofr01c,Jack Adams,1973,NHL,
patrile01c,First Team All-Star,1932,NHL,
patrile01c,First Team All-Star,1937,NHL,
adamsja01c,First Team All-Star,1942,NHL,
tessior01c,Jack Adams,1982,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
lemaija01c,Jack Adams,2002,NHL,
patrile01c,First Team All-Star,1931,NHL,
wattto01c,Jack Adams,1981,NHL,
patrile01c,First Team All-Star,1935,NHL,
krommbo01c,Schmertz,1975,WHA,
rossar01c,Second Team All-Star,1942,NHL,
rossar01c,Second Team All-Star,1937,NHL,
demerja01c,Jack Adams,1986,NHL,
lemaija01c,Jack Adams,1993,NHL,
martija02c,Jack Adams,1998,NHL,
duttore01c,Second Team All-Star,1938,NHL,
burnspa01c,Jack Adams,1997,NHL,
irvindi01c,First Team All-Star,1943,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
berenre01c,Jack Adams,1980,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
keenami01c,Jack Adams,1984,NHL,
rossar01c,First Team All-Star,1938,NHL,
dineebi01c,Schmertz,1976,WHA,
huculsa01c,Schmertz,1974,WHA,
patrile01c,First Team All-Star,1930,NHL,
patrile01c,First Team All-Star,1933,NHL,
vigneal01c,Jack Adams,2006,NHL,
francbo01c,Jack Adams,2001,NHL,
dineebi01c,Schmertz,1977,WHA,
murrabr01c,Jack Adams,1983,NHL,
hitchke01c,Jack Adams,2011,NHL,
hartce01c,Second Team All-Star,1936,NHL,
nolante01c,Jack Adams,1996,NHL,
barbebi01c,Jack Adams,2000,NHL,
pulfobo01c,Jack Adams,1974,NHL,
bowmasc01c,Jack Adams,1995,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
gormato01c,Second Team All-Star,1935,NHL,
brophjo01c,Schmertz,1978,WHA,
boudrbr01c,Jack Adams,2007,NHL,
adamsja01c,First Team All-Star,1936,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
sathegl01c,Jack Adams,1985,NHL,
bowmasc01c,Jack Adams,1976,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
quinnpa01c,Jack Adams,1979,NHL,
tippeda01c,Jack Adams,2009,NHL,
