film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
10,АЛАДИНСКИЙ КАЛЕНДАР,"Историю о человеке и лумберджеке, который должен дотянуться до феминиста в Древнем Китае",2006,1,,6,4.99,63,24.99,НС-17,"Прицепы, изъятые из эксплуатации",2006-02-15T04:03:42
27,ЧЕЛОВЕЧЕСКОЕ ЧЕЛОВЕЧЕСТВО,"Удивительное отражение администратора базы данных и астронавта, который должен выпустить администратора базы данных в акульем танке",2006,1,,7,0.99,179,12.99,НС-17,"Удалённые сцены, За сценами",2006-02-15T04:03:42
42,АРТИСТСКИЙ КОЛБРЛУД,"Потрясающее воспоминание о роботе и музе, который должен бросить вызов женщине в Калифорнии",2006,1,,5,2.99,170,10.99,НС-17,"Прицепы, за сценами",2006-02-15T04:03:42
102,ГРОСКИЙ СТРУКТУР,"Внушающая благоговение панорама крокодила и мухи, которые должны сразиться с девушкой в балуне",2006,1,,4,4.99,60,20.99,Р,"Прицепы, комментаторы, Изъятые сцены, За сценами",2006-02-15T04:03:42
113,КАЛИФОРНИЯ,"Ужасная ярна администратора базы данных и Робота, который должен сразиться с администратором базы данных в Древней Индии",2006,1,,4,4.99,75,19.99,НС-17,"Прицепы, комментаторы, изъятые сцены",2006-02-15T04:03:42
120,КАРИБСКАЯ БАССЕЙНСКАЯ СВОБОДА,"Фантастическая история о пионере и техническом писателе, который должен перестрелять пионера в акульем танке",2006,1,,3,4.99,92,16.99,НС-17,"Комментаторы, Исключенные сцены",2006-02-15T04:03:42
135,НАБЛЮДЕНИЕ ЗА ПЫТОМ,"Поразительная история судебно-психиатра и судебно-психиатра, который должен преодолеть мус в Древнем Китае",2006,1,,3,2.99,70,22.99,Р,"Комментаторы, Изъятые Сцены, За Сценами",2006-02-15T04:03:42
176,КОНСУЛЬТАТИВНЫЙ КОЛИЧЕСТВО,"Дотрагивающийся документальный кот и пастор-повар, который должен найти лумберджек в Балуне",2006,1,,6,0.99,87,21.99,ГУ-13,"Комментаторы, За сценами",2006-02-15T04:03:42
187,РЕЗЕРВЫ,"Фантастический документальный фильм учителя и собаки, которые должны перестрелять судебно-психиатра на фабрике в Балуне",2006,1,,5,2.99,57,12.99,НС-17,Комментарии,2006-02-15T04:03:42
197,КРУСАДСКИЙ БЕДСТВИЙ,"Быстрое воспоминание о Исследователе и Батлере, который должен сражаться с безумцем в заброшенном парке развлечений",2006,1,,4,2.99,112,27.99,Р,Комментарии,2006-02-15T04:03:42
237,ДИВОРСКИЙ ВЕЩЕСТВО,"Неверная сага крокодила и студентка, которая должна открыть кошку в древней Индии",2006,1,,3,2.99,47,21.99,G,"Прицепы, комментаторы, изъятые сцены",2006-02-15T04:03:42
254,ВОДИТЕЛЯ АННИ,"Недостаток в образе дворецкого и автомобиля, который должен вернуть лодку в заброшенном доме веселья",2006,1,,4,2.99,159,11.99,ГУ-13,"Трейлеры, Изъятые сцены, За сценами",2006-02-15T04:03:42
256,ВОДНЫЙ ПУТЕВЫЙ УСТРОЙСТВО,"Фантастический документальный фильм о муже и Исследователье, который должен дотянуться до безумца в древнем Китае",2006,1,,6,4.99,178,20.99,Р,"Прицепы, комментаторы",2006-02-15T04:03:42
260,ГРУЗОВАЯ ОСВЕЩЕННОСТЬ ДУДА,"Потрясающее воспоминание о муже и лумберджеке, который должен встретиться с фрисби в заброшенном доме веселья",2006,1,,3,4.99,132,9.99,G,"Прицепы, изъятые из эксплуатации",2006-02-15T04:03:42
263,ПАНКИ ДУРХАМ,"Блестящая панорама девочки и мальчика, который должен встретиться с безумным учёным в заброшенном шахтном шафте",2006,1,,6,4.99,154,14.99,Р,"Прицепы, комментаторы",2006-02-15T04:03:42
279,ЭЛИЗАБЕТНЫЙ ШАН,"Недостаток представления о женщине и собаке, которая должна встретиться с сумо-рестлером в Древней Японии",2006,1,,7,4.99,152,11.99,НС-17,"Трейлеры, Изъятые сцены, За сценами",2006-02-15T04:03:42
291,ВЫБОРЫ ЗАГРЯЗНЯЮЩИХ ВЕЩЕСТВ,"Фантастическое исследование феминистки и безумца, который должен найти исследователя на фабрике в Балуне",2006,1,,5,0.99,174,10.99,ГУ-13,За сценами,2006-02-15T04:03:42
293,ИСПОРСКИЙ СТОЛ,"Прикасающаяся драма собаки и сумо-рестлер, который должен победить безумного учёного в Берлине",2006,1,,6,2.99,167,17.99,G,"Комментаторы, Изъятые Сцены, За Сценами",2006-02-15T04:03:42
322,УБИЙСТВА УБИЙСТВА,"Выставка секретного агента и официантки, которая должна поглотить робота в заброшенном шахтном шафте",2006,1,,5,2.99,100,29.99,G,"Прицепы, комментаторы, изъятые сцены",2006-02-15T04:03:42
323,МЯСО СВЕТА,"Потрясающий характер изучения крокодила и пионера, который должен преследовать учителя в Новом Орлеане",2006,1,,7,4.99,179,22.99,Р,Прицепы,2006-02-15T04:03:42
361,СВЯЗАННЫЙ ДЖАВБРЕКЕР,"Удивительное представление композитора и судебно-психиатра, который должен открыть автомобиль в канадских скалах",2006,1,,5,2.99,89,25.99,НС-17,"Прицепы, комментаторы",2006-02-15T04:03:42
372,ДИНАМИТ ГРАНИЦЫ,"Показ кошки и девушки, которая должна преодолеть администратора базы данных в Новом Орлеане",2006,1,,5,4.99,140,26.99,Р,"Прицепы, комментаторы",2006-02-15T04:03:42
383,ПОРЯДОК ПРОВЕДЕНИЯ ПРЕКРАЩЕНИЯ,"Неверное воспоминание о музе и акуле, который должен подавить лумберджека в заброшенном шахтном шафте",2006,1,,6,0.99,111,13.99,НС-17,За сценами,2006-02-15T04:03:42
389,ГОЛОСОВАНИЕ МУЗСОЛИНИ,"Прикасающаяся Сага робота и мальчика, который должен убить человека в Древней Японии",2006,1,,3,2.99,127,9.99,ГУ-13,"Прицепы, комментаторы",2006-02-15T04:03:42
420,ГОЛОС БРАННИГАН,"Быстрое отражение технического писателя и студента, который должен сражаться с мальчиком в канадских скалах",2006,1,,7,4.99,128,27.99,ГУ,"Комментаторы, За сценами",2006-02-15T04:03:42
429,Дорогие трусы,"Предыстория официантки и крокодила, который должен выгнать лумберджека в акульем танке",2006,1,,3,0.99,84,29.99,Р,"Прицепы, комментаторы, изъятые сцены",2006-02-15T04:03:42
