payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update
11,1,1,4611,5.99,2005-07-08T07:33:56,2006-02-15T21:12:30
36,2,1,5755,6.99,2005-07-10T12:38:56,2006-02-15T21:12:30
39,2,2,7459,5.99,2005-07-27T18:40:20,2006-02-15T21:12:30
47,2,2,9465,6.99,2005-07-30T22:39:53,2006-02-15T21:12:30
73,3,2,8086,4.99,2005-07-28T18:17:14,2006-02-15T21:12:30
75,3,1,9226,1.99,2005-07-30T13:31:20,2006-02-15T21:12:30
125,5,2,7293,0.99,2005-07-27T12:37:28,2006-02-15T21:12:30
187,7,1,4856,4.99,2005-07-08T18:47:38,2006-02-15T21:12:31
192,7,2,6761,3.99,2005 - 2007 - 12T15:17:42,2006-02-15T21:12:31
240,9,2,6019,4.99,2005-07-11T02:08:29,2006-02-15T21:12:31
261,10,2,4042,4.99,2005-07-07T03:06:40,2006-02-15T21:12:31
263,10,1,5038,7.99,2005-07-09T03:12:52,2006-02-15T21:12:31
284,11,1,4943,4.99,2005-07-08T22:43:05,2006-02-15T21:12:31
338,13,1,6870,0.99,2005/07-12T20:13:45,2006-02-15T21:12:31
373,14,2,8836,4.99,2005-07-29T22:46:08,2006-02-15T21:12:32
431,16,1,6100,4.99,2005-07-11T06:40:31,2006-02-15T21:12:32
435,16,2,9158,0.99,2005-07-30T11:12:03,2006-02-15T21:12:32
454,17,1,5883,3.99,2005-07-10T19:25:21,2006-02-15T21:12:32
480,18,2,8122,2.99,2005-07-28T19:27:37,2006-02-15T21:12:32
500,19,2,6495,4.99,2005-07-12T02:57:02,2006-02-15T21:12:33
502,19,1,9256,0.99,2005-07-30T14:29:29,2006-02-15T21:12:33
523,20,1,5718,2.99,2005-07-10T11:03:20,2006-02-15T21:12:33
529,20,2,9075,4.99,2005-07-30T07:55:14,2006-02-15T21:12:33
554,21,1,5961,2.99,2005-07-10T23:43:23,2006-02-15T21:12:33
559,21,2,9149,0.99,2005-07-30T10:45:12,2006-02-15T21:12:33
586,22,1,7087,4.99,2005-07-27T04:42:08,2006-02-15T21:12:33
614,23,2,6917,5.99,2005-07-12T22:30:15,2006-02-15T21:12:34
617,23,2,8718,0.99,2005-07-29T17:41:14,2006-02-15T21:12:34
701,26,1,5437,2.99,2005-07-09T21:32:29,2006-02-15T21:12:34
730,27,1,5552,0.99,2005-07-10T03:01:19,2006-02-15T21:12:35
731,27,1,5736,4.99,2005-07-10T11:45:48,2006-02-15T21:12:35
796,29,1,7451,6.99,2005-07-27T18:18:41,2006-02-15T21:12:35
830,30,2,6359,2.99,2005-07-11T21:06:17,2006-02-15T21:12:36
916,33,2,9085,4.99,2005-07-30T08:17:24,2006-02-15T21:12:36
931,34,2,3508,3.99,2005-07-06T00:24:25,2006-02-15T21:12:36
933,34,1,5188,4.99,2005-07-09T10:22:31,2006-02-15T21:12:36
960,35,2,3597,2.99,2005-07-06T05:03:59,2006-02-15T21:12:37
961,35,2,4098,4.99,2005-07-07T06:14:51,2006-02-15T21:12:37
973,35,1,8971,5.99,2005-07-30T04:03:58,2006-02-15T21:12:37
998,36,1,9369,2.99,2005-07-30T18:52:19,2006-02-15T21:12:37
1076,39,2,4712,6.99,2005-07-08T12:10:50,2006-02-15T21:12:38
1078,39,1,5451,4.99,2005-07-09T22:22:10,2006-02-15T21:12:38
1133,41,2,8008,6.99,2005-07-28T15:25:55,2006-02-15T21:12:38
1303,47,2,8402,6.99,2005-07-29T06:25:45,2006-02-15T21:12:40
1341,49,1,6214,4.99,2005-07-11T12:49:48,2006-02-15T21:12:41
1466,53,2,3898,4.99,2005-07-06T19:12:37,2006-02-15T21:12:42
1468,53,2,7466,2.99,2005-07-27T18:51:17,2006-02-15T21:12:42
1497,54,1,6813,0.99,2005-07-12T18:03:50,2006-02-15T21:12:42
1521,55,1,4671,4.99,2005-07-08T10:15:32,2006-02-15T21:12:43
1546,56,2,4702,4.99,2005-07-08T11:41:36,2006-02-15T21:12:43
1577,57,2,6482,4.99,2005-07-12T01:50:21,2006-02-15T21:12:43
1580,57,2,8249,5.99,2005-07-29T00:48:44,2006-02-15T21:12:43
1630,59,2,5195,8.99,2005-07-09T10:39:31,2006-02-15T21:12:44
1656,60,1,7331,3.99,2005-07-27T13:57:50,2006-02-15T21:12:44
1657,60,1,7494,0.99,2005-07-27T19:56:31,2006-02-15T21:12:44
1698,62,2,8360,4.99,2005-07-29T05:08:00,2006-02-15T21:12:45
1713,63,2,5788,4.99,2005-07-10T14:10:22,2006-02-15T21:12:45
1850,68,1,3598,0.99,2005-07-06T05:11:04,2006-02-15T21:12:47
1916,71,2,5281,1.99,2005-07-09T14:55:07,2006-02-15T21:12:48
1930,71,1,8783,3.99,2005-07-29T20:31:28,2006-02-15T21:12:48
2099,77,1,7710,0.99,2005-07-28T04:24:07,2006-02-15T21:12:50
2116,78,1,3593,4.99,2005-07-06T04:39:52,2006-02-15T21:12:50
2122,78,1,6005,0.99,2005-07-11T01:36:42,2006-02-15T21:12:51
2123,78,1,6344,4.99,2005-07-11T20:04:43,2006-02-15T21:12:51
2172,80,1,4688,5.99,2005-07-08T11:03:29,2006-02-15T21:12:51
2176,80,2,6417,6.99,2005-07-11T23:35:11,2006-02-15T21:12:51
2227,82,2,5746,4.99,2005-07-10T12:15:12,2006-02-15T21:12:52
2285,84,1,7854,2.99,2005-07-28T09:42:31,2006-02-15T21:12:53
2397,88,1,6916,4.99,2005-07-12T22:29:18,2006-02-15T21:12:55
2448,90,2,7035,5.99,2005-07-27T03:06:09,2006-02-15T21:12:55
2480,91,2,5187,1.99,2005-07-09T10:19:51,2006-02-15T21:12:56
2485,91,2,7143,0.99,2005-07-27T06:56:31,2006-02-15T21:12:56
2538,93,2,5130,4.99,2005-07-09T07:29:45,2006-02-15T21:12:57
2563,94,1,4287,8.99,2005-07-07T15:37:31,2006-02-15T21:12:57
2586,95,1,9222,6.99,2005-07-30T13:21:08,2006-02-15T21:12:58
2646,98,2,3682,7.99,2005-07-06T09:22:48,2006-02-15T21:12:59
2669,99,2,4344,4.99,2005-07-07T18:50:47,2006-02-15T21:12:59
2673,99,2,5035,2.99,2005-07-09T02:51:34,2006-02-15T21:12:59
2680,99,2,8242,7.99,2005-07-29T00:34:27,2006-02-15T21:12:59
2693,100,2,3602,5.99,2005-07-06T05:23:10,2006-02-15T21:13:00
2715,101,1,5132,5.99,2005-07-09T07:40:32,2006-02-15T21:13:00
2746,102,1,4997,6.99,2005-07-09T01:06:03,2006-02-15T21:13:01
