inventory_id,film_id,store_id,last_update
46,10,1,2006-02-15T04:09:17
49,10,1,2006-02-15T04:09:17
50,10,2,2006-02-15T04:09:17
51,10,2,2006-02-15T04:09:17
52,10,2,2006-02-15T04:09:17
135,27,1,2006-02-15T04:09:17
136,27,1,2006-02-15T04:09:17
137,27,1,2006-02-15T04:09:17
138,27,1,2006-02-15T04:09:17
185,42,2,2006-02-15T04:09:17
186,42,2,2006-02-15T04:09:17
187,42,2,2006-02-15T04:09:17
188,42,2,2006-02-15T04:09:17
463,102,2,2006-02-15T04:09:17
508,113,2,2006-02-15T04:09:17
509,113,2,2006-02-15T04:09:17
510,113,2,2006-02-15T04:09:17
511,113,2,2006-02-15T04:09:17
551,120,1,2006-02-15T04:09:17
552,120,1,2006-02-15T04:09:17
553,120,1,2006-02-15T04:09:17
619,135,1,2006-02-15T04:09:17
