country_id,country,last_update
3,Американское Самоа,2006-02-15T03:44:00
5,Ангилья,2006-02-15T03:44:00
6,Аргентина,2006-02-15T03:44:00
7,Армения,2006-02-15T03:44:00
9,Австрия,2006-02-15T03:44:00
10,Азербайджан,2006-02-15T03:44:00
12,Бангладеш,2006-02-15T03:44:00
17,Австралия,2006-02-15T03:44:00
21,Чад,2006-02-15T03:44:00
22,Чили,2006-02-15T03:44:00
23,Китай,2006-02-15T03:44:00
27,Доминиканская Республика,2006-02-15T03:44:00
29,Египет,2006-02-15T03:44:00
31,Эфиопия,2006-02-15T03:44:00
34,Франция,2006-02-15T03:44:00
39,Греция,2006-02-15T03:44:00
41,Святейший Престол (штат Ватикан),2006-02-15T03:44:00
43,Венгрия,2006-02-15T03:44:00
47,Ирак,2006-02-15T03:44:00
51,Казахстан,2006-02-15T03:44:00
52,Кения,2006-02-15T03:44:00
55,Лихтенштейн,2006-02-15T03:44:00
56,Литва,2006-02-15T03:44:00
57,Мадагаскар,2006-02-15T03:44:00
59,Малайзия,2006-02-15T03:44:00
62,Марокко,2006-02-15T03:44:00
63,Мозамбик,2006-02-15T03:44:00
64,Мьянма,2006-02-15T03:44:00
65,Науру,2006-02-15T03:44:00
66,Непал,2006-02-15T03:44:00
73,Парагвай,2006-02-15T03:44:00
74,Перу,2006-02-15T03:44:00
76,Польша,2006-02-15T03:44:00
78,Румыния,2006-02-15T03:44:00
81,Сент-Винсент и Гренадины,2006-02-15T03:44:00
84,Словакия,2006-02-15T03:44:00
89,Судан,2006-02-15T03:44:00
93,Танзания,2006-02-15T03:44:00
94,Таиланд,2006-02-15T03:44:00
95,Тонга,2006-02-15T03:44:00
96,Тунис,2006-02-15T03:44:00
101,Объединенные Арабские Эмираты,2006-02-15T03:44:00
106,"Вирджинские острова, США",2006-02-15T03:44:00
107,Йемен,2006-02-15T03:44:00
