targetid,raceid,driverid,win
22043,466,117,0
55775,601,322,0
51539,801,498,0
4474,200,55,0
18290,359,146,0
63466,723,401,0
10560,254,77,0
67011,917,1,0
19287,381,160,0
56100,580,296,0
45246,815,429,0
56952,572,250,0
12415,123,44,0
21516,450,181,0
57229,529,163,0
50120,753,510,0
54804,606,235,0
55510,596,230,0
57848,547,251,0
43561,839,793,0
19108,376,123,0
16463,336,112,0
57308,532,197,0
13694,40,4,1
52682,685,328,0
51048,699,411,0
65680,886,818,0
64050,348,812,0
49313,771,527,0
47350,782,560,0
21331,446,176,0
11306,187,65,0
5129,228,50,0
22830,486,207,0
66747,906,18,0
56832,569,278,0
44355,821,581,0
66343,266,50,0
10772,212,23,0
54612,651,224,0
19641,393,158,0
9623,285,87,0
13006,62,18,0
51783,804,657,0
58064,552,208,0
55555,597,292,0
22942,489,175,0
68416,981,1,1
55727,601,199,1
44577,823,703,0
64600,850,155,0
21087,438,181,0
16443,336,147,0
66511,270,88,0
57332,532,244,0
43333,836,778,0
44223,819,581,0
5373,239,84,0
53192,634,207,0
43856,829,700,0
48577,734,464,0
54302,631,307,0
53727,673,370,0
20424,419,178,0
66463,269,57,0
13750,42,24,0
3174,163,2,0
51674,802,513,0
48532,733,462,0
48964,698,388,0
22995,490,187,0
56119,581,207,0
