raceid,driverid,lap,position,time,milliseconds
40,1,48,2,1:15.454,75454
841,808,37,5,1:39.620,99620
71,2,30,9,1:28.712,88712
195,74,14,19,1:28.773,88773
221,56,2,11,1:24.609,84609
162,18,42,8,1:51.456,111456
901,820,5,17,1:51.445,111445
187,37,23,18,1:28.926,88926
193,73,21,18,1:37.236,97236
98,17,16,4,2:12.971,132971
193,68,17,16,1:32.155,92155
892,3,3,6,1:30.541,90541
979,839,67,9,1:23.076,83076
143,49,28,6,1:18.423,78423
224,73,46,10,1:37.168,97168
867,814,24,15,1:51.523,111523
47,20,1,17,1:41.052,101052
897,815,19,11,1:48.695,108695
354,2,39,12,1:17.697,77697
154,23,16,10,1:54.314,114314
869,808,15,18,1:38.846,98846
236,56,7,9,1:56.644,116644
35,17,18,11,1:16.682,76682
206,75,23,15,1:45.386,105386
222,63,10,18,1:44.770,104770
97,10,18,15,1:18.655,78655
894,819,3,19,1:51.294,111294
34,20,11,7,1:38.344,98344
864,807,42,12,1:28.953,88953
77,31,8,9,1:32.447,92447
162,48,13,17,1:27.922,87922
178,23,8,21,1:30.827,90827
192,56,40,8,1:21.863,81863
18,4,25,6,1:28.925,88925
904,13,45,8,1:32.467,92467
128,30,6,1,1:22.531,82531
127,37,24,16,1:28.054,88054
899,818,9,14,1:20.325,80325
355,16,27,6,1:45.439,105439
93,31,14,3,1:23.041,83041
945,13,4,7,1:48.151,108151
235,35,27,1,1:21.527,81527
33,18,2,10,1:23.878,83878
926,831,33,6,1:33.385,93385
26,10,55,12,1:37.572,97572
349,5,1,19,2:16.463,136463
168,63,10,15,1:48.379,108379
165,14,51,9,1:36.614,96614
905,8,62,8,1:20.521,80521
159,15,10,6,1:18.236,78236
89,38,29,13,1:37.473,97473
26,3,18,17,1:35.945,95945
87,32,18,7,1:14.091,74091
221,49,4,12,1:22.406,82406
856,30,5,9,1:46.011,106011
143,14,13,3,1:17.838,77838
227,64,51,12,1:26.666,86666
862,1,30,6,1:41.831,101831
159,30,71,1,1:17.577,77577
927,8,48,4,1:45.304,105304
105,22,8,1,1:34.641,94641
897,822,40,10,1:46.516,106516
238,63,25,13,1:27.289,87289
102,42,19,8,1:22.368,82368
21,18,27,13,2:16.821,136821
888,817,57,12,1:36.064,96064
129,22,28,1,1:25.506,85506
196,76,8,15,1:27.991,87991
860,10,25,18,1:35.446,95446
969,840,30,13,1:36.520,96520
32,14,4,15,1:52.216,112216
122,21,31,9,1:18.922,78922
877,815,9,8,2:12.287,132287
886,20,19,1,1:19.200,79200
46,15,55,10,1:23.294,83294
971,20,11,11,1:54.814,114814
894,813,47,14,1:44.879,104879
71,33,30,18,1:32.348,92348
185,41,37,17,1:23.968,83968
351,810,10,19,1:57.156,117156
913,815,38,17,1:59.362,119362
843,5,2,19,1:48.117,108117
130,22,32,7,1:21.099,81099
865,39,8,19,1:22.437,82437
875,10,6,18,1:49.310,109310
7,5,34,13,1:29.786,89786
900,8,15,8,2:11.894,131894
52,23,51,11,1:14.053,74053
966,8,70,6,1:22.887,82887
4,8,36,5,1:35.743,95743
27,7,36,11,1:21.149,81149
118,23,8,4,1:24.617,84617
875,808,28,17,1:46.431,106431
337,16,6,17,2:04.236,124236
869,20,10,2,1:22.570,82570
144,31,36,5,1:27.392,87392
207,63,38,12,1:34.725,94725
57,3,6,16,1:36.571,96571
24,22,65,7,1:20.375,80375
916,1,30,1,1:43.931,103931
143,14,37,2,1:17.081,77081
70,26,53,10,1:14.743,74743
163,25,48,9,1:35.171,95171
24,21,43,16,1:19.983,79983
177,71,39,6,1:30.562,90562
949,838,1,13,1:48.009,108009
883,820,9,16,1:44.550,104550
903,13,34,17,1:42.379,102379
354,24,47,16,1:17.378,77378
211,65,8,5,1:55.840,115840
227,30,26,2,1:22.109,82109
855,16,5,9,1:41.896,101896
894,154,21,2,1:44.873,104873
236,14,33,6,1:56.071,116071
881,8,41,8,1:42.435,102435
875,20,43,1,1:43.889,103889
110,43,20,4,1:45.075,105075
873,5,19,17,1:57.427,117427
941,8,12,3,1:56.110,116110
212,55,14,3,1:26.610,86610
