driverstandingsid,raceid,driverid,points,position,positiontext,wins
17873,7,15,19.5,5,5,0
57104,575,231,69.0,1,1,6
43651,826,723,0.0,20,20,0
5143,229,64,0.0,16,16,0
22533,479,211,0.0,38,38,0
58971,499,173,6.0,3,3,0
17321,312,105,0.0,33,33,0
48077,738,477,0.0,8,8,0
22571,480,90,0.0,40,40,0
49136,769,590,4.0,11,11,0
21938,464,176,4.0,15,15,0
63909,343,3,66.0,8,8,0
44184,818,593,0.0,19,19,0
48563,734,346,0.0,21,21,0
55005,612,313,0.0,28,28,0
58300,557,224,11.0,11,11,0
22434,477,172,1.0,23,23,0
57736,542,209,0.0,44,44,0
44511,822,715,0.0,72,72,0
3280,168,35,11.0,7,7,0
54013,623,304,15.0,3,3,1
50160,753,486,0.0,77,77,0
12956,59,36,0.0,23,23,0
64505,847,1,85.0,4,4,1
21082,438,105,9.0,3,3,1
4456,199,75,0.0,16,16,0
49607,775,585,0.0,67,67,0
46622,787,624,2.0,14,14,0
10324,246,88,0.0,17,17,0
54952,611,238,10.0,6,6,0
11471,145,60,0.0,22,22,0
20530,423,110,3.0,9,9,0
55265,619,332,5.0,13,13,0
58017,551,257,0.0,37,37,0
53919,678,351,2.0,24,24,0
44806,810,642,6.0,4,4,0
55567,597,315,0.0,42,42,0
57121,575,271,0.0,36,36,0
19008,372,133,0.0,30,30,0
9597,284,104,5.0,10,10,0
10336,246,81,1.0,14,14,0
18910,370,114,0.0,40,40,0
22888,487,206,0.0,33,33,0
67817,958,8,114.0,4,4,0
56191,583,238,3.0,12,12,0
16031,325,150,0.0,39,39,0
23296,497,119,10.0,11,11,0
12002,136,17,2.0,15,15,0
19059,374,145,1.0,11,11,0
64591,850,2,34.0,8,8,0
3810,74,17,9.0,8,8,0
67503,944,829,0.0,21,21,0
53091,665,345,3.0,15,15,0
46140,794,645,0.0,39,39,0
10975,220,25,4.0,15,15,0
21394,448,123,5.0,14,14,0
7191,303,57,11.0,8,8,0
64538,848,814,2.0,17,17,0
20380,418,105,14.0,9,9,0
57903,548,178,1.0,15,15,0
44563,823,699,0.0,90,90,0
13216,70,22,30.0,7,7,0
44105,832,786,4.0,11,11,1
65633,884,18,17.0,10,10,0
57177,528,203,0.0,12,12,0
11941,133,18,10.0,7,7,0
19812,399,84,2.0,16,16,0
54079,625,314,2.0,15,15,0
23162,493,205,0.0,35,35,0
16439,336,145,21.0,8,8,0
19759,397,112,1.0,18,18,0
19505,388,138,0.0,7,7,0
49637,775,595,0.0,68,68,0
63962,345,22,19.0,11,11,0
63473,723,364,12.0,5,5,0
20769,428,156,0.0,25,25,0
65632,884,814,26.0,8,8,0
63903,342,810,0.0,21,21,0
46973,791,356,0.0,79,79,0
50989,718,347,3.0,15,15,0
22513,479,118,0.0,31,31,0
15928,323,103,0.0,14,14,0
46145,794,623,0.0,43,43,0
58415,559,199,42.0,4,4,1
18951,371,137,12.0,8,8,0
4505,201,74,0.0,19,19,0
17317,312,55,8.0,8,8,0
17118,306,109,0.0,26,26,0
50245,754,455,0.0,37,37,0
56468,589,276,0.0,26,26,0
15884,321,92,0.0,34,34,0
49450,773,418,0.0,49,49,0
18906,370,123,28.0,5,5,1
10932,219,75,2.0,18,18,0
48648,736,457,0.0,40,40,0
54934,610,280,0.0,21,21,0
45190,815,696,0.0,31,31,0
58569,515,182,1.0,12,12,0
49982,751,523,0.0,44,44,0
57332,532,244,0.0,36,36,0
18735,369,99,1.0,25,25,0
67934,963,828,0.0,21,21,0
65634,884,154,26.0,7,7,0
66207,262,92,0.0,32,32,0
