inventory_id,film_id,store_id,last_update
95,19,1,2006-02-15 04:09:17
102,21,1,2006-02-15 04:09:17
103,21,1,2006-02-15 04:09:17
249,56,1,2006-02-15 04:09:17
299,67,2,2006-02-15 04:09:17
441,97,2,2006-02-15 04:09:17
500,111,2,2006-02-15 04:09:17
578,126,2,2006-02-15 04:09:17
595,130,1,2006-02-15 04:09:17
597,130,2,2006-02-15 04:09:17
599,130,2,2006-02-15 04:09:17
739,162,1,2006-02-15 04:09:17
742,162,2,2006-02-15 04:09:17
946,210,2,2006-02-15 04:09:17
952,212,1,2006-02-15 04:09:17
1139,252,2,2006-02-15 04:09:17
1144,253,1,2006-02-15 04:09:17
1146,253,2,2006-02-15 04:09:17
1221,271,1,2006-02-15 04:09:17
1222,271,1,2006-02-15 04:09:17
1225,271,2,2006-02-15 04:09:17
1300,287,1,2006-02-15 04:09:17
1303,287,2,2006-02-15 04:09:17
1321,292,1,2006-02-15 04:09:17
1380,303,1,2006-02-15 04:09:17
1381,303,1,2006-02-15 04:09:17
1382,303,2,2006-02-15 04:09:17
1383,303,2,2006-02-15 04:09:17
1494,327,1,2006-02-15 04:09:17
1505,329,2,2006-02-15 04:09:17
