film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
19,АМадеус СВЯТОЙ,"Эмоциональная демонстрация пионера и технический писатель, который должен сражаться с человеком в шаре.",2006,1,,6,0.99,113,20.99,PG,"Комментарии, удалённые сцены, за кадром",15 февраля 2006 года
21,Американский цирк,"""Осязаемая драма девочки и астронавта, которые должны сразиться с администратором базы данных в ""Тигровой запрее""",2006,1,,3,4.99,129,17.99,Р,"Комментарии, За кадром",15 февраля 2006 года
56,БЕЗБУТОВЫЙ МАНЧУРИНЦЫ,"Отважная история о кошке и студенте, которые должны победить девочку в заброшенном парке развлечений",2006,1,,6,2.99,129,15.99,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Трейлеры, Комментарии",15 февраля 2006 года
67,Береты Агент,"Тавлая история о крокодиле и мальчике, который должен победить технического писателя в Древнем Китае",2006,1,,5,2.99,77,24.99,К/к 13,Удалённые сцены,15 февраля 2006 года
97,ВДОВА ЦЕННАЯ ЗАХВАТЫЙ,"Эпопическая сага о роботе и обезьяне, которые должны победить человека в Новом Орлеане",2006,1,,7,0.99,56,24.99,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Трейлеры, комментарии, «за кадром»",15 февраля 2006 года
111,КАБРИЙ ШЭК,"Письмо удивительного содержания от женщины и сумасшедшего, которые должны сразиться с роботом в советской Грузии.",2006,1,,3,0.99,52,17.99,"NC-17 - это рейтинг для контента на основе сообщества (community content rating), который обычно используется в онлайн-средах, таких как форумы, сайты или платформы социальных сетей, для обозначения контента, предназначенного только для взрослых и содержащего материалы для 17-летних и старше. Этот рейтинг означает, что контент может содержать визуальный или словесный сексуальный контент, включая обнаженку, сексуальные образы, графические сексуальные описания или язык, который может быть неприемлемым для более молодой аудитории.","Комментарии, удаленные сцены",15 февраля 2006 года
126,Жертвы Энсино,"Вдохновляющая история о акуле и кондитере, которые должны столкнуться с мальчиком в монастыре.",2006,1,,3,4.99,179,16.99,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Трейлеры,15 февраля 2006 года
130,СЛУШКИ БЫСТРОЙ,"""Астральный агент"" - захватывающий документальный фильм о секретном агенте и астронавте, которые должны сразиться с охотником в акулийем резервуаре.",2006,1,,7,0.99,110,24.99,К/к 13,"Удалённые сцены, позади кулис",15 февраля 2006 года
162,Безумный ведерок,Тщательная проверка не выявила никаких нарушений.,2006,1,,4,2.99,95,13.99,Р,"Трейлеры, Удалённые сцены, За кадром",15 февраля 2006 года
210,Темное и золотое,"Удивительное отражение фрисби и муж, который должен спасти пса в Новом Орлеане",2006,1,,3,4.99,130,13.99,"NC-17 - это рейтинг для контента на основе сообщества (community content rating), который обычно используется в онлайн-средах, таких как форумы, сайты или платформы социальных сетей, для обозначения контента, предназначенного только для взрослых и содержащего материалы для 17-летних и старше. Этот рейтинг означает, что контент может содержать визуальный или словесный сексуальный контент, включая обнаженку, сексуальные образы, графические сексуальные описания или язык, который может быть неприемлемым для более молодой аудитории.","Трейлеры, комментарии, удаленные сцены, позади камеры",15 февраля 2006 года
212,ДАРН ФОРРЕСТЕР,"Мрачная история о акуле и исследователе, которые должны уступить техническому писателю в лодке-бустере",2006,1,,7,4.99,185,14.99,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Удалённые сцены,15 февраля 2006 года
252,Пикап мечты,"Элегантное представление автомобиля и композитора, который должен преодолеть судебно-психиатрического эксперта в Мексиканском заливе.",2006,1,,6,2.99,135,18.99,PG,"Трейлеры, комментарии, «за кадром»",15 февраля 2006 года
253,БЕСЦЕНИЯ ПРАВИЛА ДРИФТера,"Эпическая размышление об искушающем женщину и белке, которые должны найти мужа в лодке-hydra",2006,1,,5,4.99,61,18.99,К/к 13,"Трейлеры, кадры за кулисами",15 февраля 2006 года
271,Легкий гладиатор,"Счастливая история о обезьяне и девочке, которые должны превзойти кондитера в древней Индии",2006,1,,5,4.99,148,12.99,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Трейлеры, комментарии, «за кадром»",15 февраля 2006 года
287,Удовлетворение от трюка,"Удивительная панорама мыслей охотника и учителя, которые должны добраться до сумасшедшей коровы в подводной лодке.",2006,1,,5,0.99,176,19.99,Р,"Комментарии, удалённые сцены, за кадром",15 февраля 2006 года
292,Экстремальная Ева,"""Близкий встреч с акулой: обезьяна против крокодила""",2006,1,,3,0.99,51,20.99,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Комментарии,15 февраля 2006 года
303,ФАНТАСТИЧЕСКИЕ ТРОПОТЬЯ,"Трогательная сага о учителе и обезьяне, которые должны победить тайного агента на конференции MySQL.",2006,1,,6,0.99,58,27.99,К/к 13,За кадром,15 февраля 2006 года
