job_id,job_desc,min_lvl,max_lvl
1,Новой сотрудник - должность не указана,10,10
2,Главный исполнительный директор,200,250
3,Менеджер по бизнес-операциям,175,225
4,Главный финансовый директор,175,250
5,Издатель,150,250
6,Редактор-руководитель,140,225
7,Менеджер по маркетингу,120,200
8,Менеджер по связям с общественностью,100,175
9,Менеджер по приобретениям,75,175
10,Менеджер по производству,75,165
11,Операционный менеджер,75,150
12,Редактор,25,100
13,Продавец-представитель,25,100
14,Дизайнер,25,100
