stor_id,ord_num,ord_date,qty,payterms,title_id
8042,423ЛЛ922,14.09.1994 г.,15,В счете-фактуре,MC3021
8042,423LL930,14.09.1994 г.,10,В счете-фактуре,BU1032
8042,П723,11.03.1993 г.,25,Нет 30,BU1111
8042,QA879.1,1993-05-22 00:00:00,30,Нет 30,PC1035
7131,P3087а,1993-05-29 00:00:00,15,Счет 60,PS3333
7066,А2976,1993-05-24 00:00:00,50,Нет 30,PC8888
7131,P3087а,1993-05-29 00:00:00,25,Счет 60,PS2106
6380,722а,1994-09-13 00:00:00,3,Счет 60,PS2091
7131,P3087а,1993-05-29 00:00:00,20,Счет 60,PS1372
7067,P2121,1992-06-15 00:00:00,40,Нет 30,TC3218
7896,X999,1993-02-21 00:00:00,35,В счете-фактуре,BU2075
7896,КВ2299,1993-10-28 00:00:00,15,Счет 60,BU7832
6380,6871,14.09.1994 г.,5,Счет 60,BU1032
7896,ТК456,1993-12-12 00:00:00,10,Счет 60,MC2222
7131,N914008,14.09.1994 г.,20,Нет 30,PS2091
7131,Н914014,14.09.1994 г.,25,Нет 30,MC3021
7067,Д4482,14.09.1994 г.,10,Счет 60,PS2091
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC4203
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC7777
7131,P3087а,1993-05-29 00:00:00,25,Счет 60,PS7777
7066,QA-7442.3,1994-09-13 00:00:00,75,В счете-фактуре,PS2091
