year,lgid,tmid,oppid,w,l,t,otl
1923,PCHA,SEA,CAT,1,3,0.0,
2009,NHL,CAL,BOS,0,1,,0
2008,NHL,OTT,CHI,0,1,,0
1990,NHL,DET,NYI,2,0,1.0,
2008,NHL,FLO,PIT,2,1,,1
1980,NHL,BOS,PHI,2,2,0.0,
2010,NHL,CHI,BUF,2,0,,0
2000,NHL,ATL,LAK,1,1,0.0,0
1952,NHL,DET,TOR,7,4,3.0,
2008,NHL,MIN,NAS,2,2,,0
2008,NHL,PHO,COL,3,0,,1
1983,NHL,NJD,QUE,1,2,0.0,
2005,NHL,MTL,CAR,0,4,,0
2009,NHL,CAR,DET,0,1,,0
1967,NHL,MTL,PIT,4,0,0.0,
1977,NHL,LAK,TOR,3,2,0.0,
1962,NHL,TOR,CHI,7,4,3.0,
1972,NHL,STL,MNS,2,2,2.0,
2011,NHL,CAR,EDM,1,0,,0
2011,NHL,NYI,TBL,2,2,,0
2009,NHL,LAK,VAN,1,2,,1
1980,NHL,WAS,QUE,0,4,0.0,
1975,WHA,CLC,EDO,2,2,0.0,
2009,NHL,NAS,LAK,3,1,,0
1973,NHL,BUF,BOS,1,4,0.0,
2000,NHL,EDM,SJS,0,1,3.0,0
1998,NHL,TOR,PIT,2,2,0.0,
2011,NHL,NAS,NYI,1,0,,0
1966,NHL,CHI,BOS,11,2,1.0,
1996,NHL,STL,FLO,0,2,0.0,
1978,NHL,VAN,DET,3,1,0.0,
2006,NHL,AND,MIN,2,1,,1
1985,NHL,BUF,PIT,0,2,1.0,
2010,NHL,CBS,MTL,1,0,,0
2005,NHL,BUF,PHI,3,1,,0
1999,NHL,FLO,VAN,1,1,0.0,0
1980,NHL,LAK,DET,3,1,0.0,
1990,NHL,VAN,LAK,3,5,0.0,
2002,NHL,WAS,DAL,0,2,0.0,0
1988,NHL,PIT,TOR,2,1,0.0,
1999,NHL,FLO,WAS,2,2,0.0,1
1983,NHL,NYI,WAS,4,3,0.0,
1993,NHL,WIN,NJD,0,2,0.0,
1923,NHL,MTL,HAM,6,2,0.0,
1948,NHL,BOS,DET,5,4,3.0,
2008,NHL,BUF,MTL,4,1,,1
1932,NHL,DET,OTS,4,1,1.0,
2011,NHL,NYR,WAS,2,2,,0
1998,NHL,TBL,BOS,1,3,1.0,
1988,NHL,CHI,DET,4,2,2.0,
1987,NHL,PIT,DET,1,2,0.0,
1999,NHL,WAS,NYI,4,0,0.0,0
2003,NHL,STL,BUF,1,0,0.0,0
2003,NHL,STL,TOR,1,0,0.0,0
1981,NHL,BOS,WIN,3,0,0.0,
2000,NHL,NJD,BOS,2,1,0.0,1
2001,NHL,STL,CBS,3,0,1.0,1
1977,NHL,NYR,TOR,1,3,0.0,
2001,NHL,NYI,VAN,1,0,0.0,0
1998,NHL,LAK,EDM,3,0,1.0,
1997,NHL,STL,CHI,3,3,0.0,
1999,NHL,TOR,EDM,3,0,0.0,0
2001,NHL,CBS,TBL,0,1,0.0,0
1914,NHA,TBS,MOW,1,3,0.0,
