year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1998,NHL,EDM,4,0,4,0,7,11,85,0,2,17,0,2,22,0
1974,NHL,LAK,3,1,2,0,6,7,82,0,2,9,0,0,9,0
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
2007,NHL,OTT,4,0,4,0,5,16,85,0,1,13,0,6,23,0
2000,NHL,DAL,10,4,6,0,22,26,116,2,5,43,1,6,47,0
1936,NHL,MTM,5,2,3,0,8,11,21,,,,,,,
1968,NHL,OAK,7,3,4,0,25,23,99,,4,,0,4,,1
1981,NHL,BOS,11,6,5,0,43,39,253,2,9,40,1,14,42,0
1965,NHL,TOR,4,0,4,0,6,15,151,,,,,,,
1980,NHL,PHI,12,6,6,0,48,39,415,10,11,37,0,14,61,2
1972,WHA,WIJ,14,9,5,0,55,49,,,11,48,2,6,33,0
1979,NHL,NYR,9,4,5,0,21,22,194,0,5,39,2,4,40,1
1920,NHL,OTS,2,2,0,0,7,0,31,,,,,,,
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1997,NHL,PIT,6,2,4,0,15,18,70,0,4,33,0,5,27,3
1962,NHL,DET,11,5,6,0,35,36,170,,,,,,,
1978,NHL,BUF,3,1,2,0,9,9,41,0,1,8,0,0,13,0
1913,NHA,MOC,2,1,1,0,2,6,,,,,,,,
2005,NHL,DET,6,2,4,0,17,19,84,0,8,40,0,8,37,0
1991,NHL,STL,6,2,4,0,19,23,166,2,7,36,1,9,42,1
1930,NHL,NYR,4,2,2,0,8,4,35,,,,,,,
1933,NHL,MTL,2,0,1,1,3,4,8,,,,,,,
1925,WCHL,SAS,2,0,1,1,3,4,,,,,,,,
1923,PCHA,VAM,5,2,2,1,11,13,,,,,,,,
1967,NHL,NYR,6,2,4,0,12,18,68,,2,,0,3,,0
2009,NHL,NJD,5,1,4,0,9,15,92,4,4,32,0,8,29,1
1927,NHL,BOS,2,0,1,1,2,5,32,,,,,,,
1967,NHL,STL,18,8,10,0,42,50,323,,10,,3,12,,5
1972,WHA,NEW,15,12,3,0,70,49,,,14,75,0,13,64,1
1946,NHL,TOR,11,8,3,0,31,27,144,,,,,,,
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
1964,NHL,TOR,6,2,4,0,14,17,136,,,,,,,
1986,NHL,LAK,5,1,4,0,20,32,118,0,5,28,1,8,30,0
1985,NHL,PHI,5,2,3,0,15,18,145,0,3,29,2,5,21,0
1970,NHL,BOS,7,3,4,0,26,28,190,,6,,0,5,,2
1978,NHL,NYR,18,11,7,0,66,42,286,2,14,72,1,8,67,6
1980,NHL,MNS,19,12,7,0,84,74,321,4,24,98,5,18,66,6
2011,NHL,NYR,20,10,10,0,43,41,218,2,13,73,0,11,69,0
1982,NHL,VAN,4,1,3,0,14,17,136,0,2,20,0,4,18,0
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
1975,WHA,NEW,17,10,7,0,53,40,,,,,,,,
1989,NHL,NYI,5,1,4,0,13,22,175,0,4,26,2,10,31,0
1940,NHL,DET,9,4,5,0,17,20,96,,,,,,,
1985,NHL,MNS,5,2,3,0,20,18,142,2,6,24,1,2,25,1
1979,NHL,LAK,4,1,3,0,10,21,73,2,1,16,2,3,15,2
1972,WHA,OTN,5,1,4,0,17,24,,,5,27,0,8,30,0
1994,NHL,STL,7,3,4,0,27,27,210,2,6,45,6,11,43,1
2002,NHL,ANA,21,15,6,0,45,40,166,8,8,70,1,9,70,3
1964,NHL,CHI,14,7,7,0,35,37,258,,,,,,,
1938,NHL,TOR,10,5,5,0,22,20,86,,,,,,,
2011,NHL,NAS,10,5,5,0,22,21,92,2,5,41,0,5,35,0
1993,NHL,BOS,13,6,7,0,39,42,168,2,10,54,0,11,51,1
2001,NHL,PHI,5,1,4,0,2,11,75,2,1,16,0,4,24,0
1984,NHL,MTL,12,6,6,0,43,41,320,0,13,51,0,8,49,1
1942,NHL,MTL,5,1,4,0,17,18,50,,,,,,,
2001,NHL,COL,21,11,10,0,54,56,168,6,10,77,2,9,62,0
1994,NHL,CAL,7,3,4,0,35,26,111,0,7,31,0,6,31,6
2007,NHL,MTL,12,5,7,0,33,35,133,2,8,55,2,7,44,1
1988,NHL,EDM,7,3,4,0,20,25,161,2,6,32,,11,36,1
1977,NHL,NYI,7,3,4,0,13,16,175,0,3,28,0,4,26,0
2008,NHL,NYR,7,3,4,0,11,19,120,2,4,31,1,6,33,0
1979,NHL,BOS,10,4,6,0,35,33,346,0,6,37,1,8,33,2
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
1982,NHL,CHI,13,7,6,0,49,51,269,4,12,60,2,17,62,2
1998,NHL,DET,10,6,4,0,31,27,137,0,14,59,1,9,50,0
1983,NHL,EDM,19,15,4,0,94,56,460,4,17,76,3,20,89,3
2002,NHL,MIN,18,8,10,0,43,43,193,2,16,73,3,12,63,2
2010,NHL,DET,11,7,4,0,36,28,125,0,8,43,0,11,46,0
1934,NHL,NYR,4,1,1,2,10,10,27,,,,,,,
1987,NHL,PHI,7,3,4,0,25,31,286,0,5,41,,8,47,0
1971,NHL,MNS,7,3,4,0,19,19,111,,4,,0,6,,0
1991,NHL,MNS,7,3,4,0,19,23,156,0,7,35,3,5,32,0
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
2005,NHL,NAS,5,1,4,0,10,17,88,0,6,32,0,9,37,1
1941,NHL,BOS,5,2,3,0,10,16,30,,,,,,,
1979,NHL,MNS,15,8,7,0,49,56,206,0,17,86,4,17,56,3
1983,NHL,VAN,4,1,3,0,13,14,85,2,3,19,1,2,16,0
1980,NHL,QUE,5,2,3,0,17,22,221,4,5,24,2,2,13,0
2010,NHL,CHI,7,3,4,0,22,16,76,0,6,29,0,4,18,1
1941,NHL,MTL,3,1,2,0,8,8,19,,,,,,,
1952,NHL,CHI,7,3,4,0,14,18,59,,,,,,,
1933,NHL,MTM,4,1,2,1,4,7,26,,,,,,,
1940,NHL,TOR,7,3,4,0,17,15,52,,,,,,,
1989,NHL,WIN,7,3,4,0,22,24,110,0,7,36,2,6,33,0
1976,NHL,PHI,10,4,6,0,27,32,199,4,7,28,1,11,43,1
1980,NHL,BUF,8,4,4,0,30,30,175,0,10,27,1,5,28,0
1958,NHL,BOS,7,3,4,0,21,20,113,,,,,,,
1963,NHL,CHI,7,3,4,0,18,24,129,,,,,,,
2008,NHL,MTL,4,0,4,0,6,17,103,2,0,8,0,4,16,0
1984,NHL,CAL,4,1,3,0,13,15,129,2,5,21,2,5,22,2
1938,NHL,NYA,2,0,2,0,0,6,50,,,,,,,
1987,NHL,BOS,23,12,10,1,85,72,813,6,20,131,,24,125,6
1960,NHL,DET,11,6,5,0,27,27,108,,,,,,,
1994,NHL,WAS,7,3,4,0,26,29,213,4,6,44,1,10,42,1
2005,NHL,ANA,16,9,7,0,46,36,267,4,11,102,4,11,96,1
1974,NHL,PIT,9,5,4,0,27,27,126,0,5,32,1,7,36,2
1988,NHL,VAN,7,3,4,0,20,26,160,2,7,44,,10,36,1
1947,NHL,DET,10,4,6,0,24,30,116,,,,,,,
1996,NHL,COL,17,10,7,0,59,41,380,6,21,95,4,7,86,0
1986,NHL,CHI,4,0,4,0,6,15,104,0,0,17,1,4,15,0
1994,NHL,NJD,20,16,4,0,67,34,227,2,18,72,2,10,74,1
2005,NHL,EDM,24,15,9,0,70,61,385,10,24,141,1,22,158,3
1929,NHL,MTM,4,1,3,0,5,11,56,,,,,,,
1999,NHL,OTT,6,2,4,0,10,17,81,0,2,22,0,2,23,0
1992,NHL,WAS,6,2,4,0,22,23,134,2,9,26,1,2,30,1
1983,NHL,CAL,11,6,5,0,41,46,224,2,10,53,2,11,49,3
1919,PCHA,SEA,2,1,1,0,7,3,,,,,,,,
1985,NHL,EDM,10,6,4,0,41,30,321,6,8,39,2,8,51,4
2003,NHL,OTT,7,3,4,0,11,14,99,0,3,35,0,4,32,0
