playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
aaltoan01,,,Анти,Аало,,Анти,,73,210,Лазурный,14862,5928,aaltoan01,1997,2000,,,С,1975,3,4,Финляндия,,Лаппеенранта,,,,,,
abbeybr01,,,Брюс,Абби,,Брюс,,73,185,Лазурный,,11918,abbeybr01,,,1975,1975,Да,1951,8,18,Канада,ОН,Торонто,,,,,,
abbotge01,,,Джордж,Абботт,,Джордж Генри,Predатель,67,153,Лазурный,18411,14591,abbotge01,1943,1943,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",1911,8,3,Канада,ОН,Синехам,,,,,,
abbotre01,,,Рег,Абботт,,Регинальд Стюарт,,71,164,Лазурный,11801,11431,abbotre01,1952,1952,,,С,1930,2,4,Канада,МБ,Винипег,,,,,,
abdelju01,,,Джастин,Абделькадер,,,,73,195,Лазурный,21661,81002,abdelju01,2007,2011,,,Лазурный,1987,2,25,США,МИ,Мускинон,,,,,,
abelcl01,,,Клэрнce,Абель,,Клэрс Джон,Таффи,73,225,Лазурный,11802,18751,abelcl01,1926,1933,,,Да,1900,5,28,США,МИ,Сапт-Стье-Мари,1964,8,1,США,МИ,Сапт-Стье-Мари
abelge01,,,Гери,Абель,,Джерри Скотт,,74,168,Лазурный,11803,10017,abelge01,1966,1966,,,Лазурный,1944,12,25,США,МИ,Детройт,,,,,,
abelsi01,abelsi01c,abelsi01h,Сид,Абель,,Сидней Джеральд,Песочная носовая часть,71,170,Лазурный,P196901,5931,abelsi01,1938,1953,,,С,1918,2,22,Канада,ОК,Мелвилл,2000,2,7,США,МИ,Фермингем
abgrade01,,,Дэнис,Абгралл,,Дэниел Харви,,73,180,r,11805,6708,abgrade01,1975,1975,1976,1977,r,1953,4,24,Канада,ОК,Моосомин,,,,,,
abidra01,,,Рамзи,Абид,,,,74,210,Лазурный,16620,29408,abidra01,2002,2006,,,Лазурный,1980,3,24,Канада,КВ,Монреаль,,,,,,
abrahch01,,,Кристер,Абрахамссон,,Кристер,,72,180,Лазурный,,5932,abrahch01,,,1974,1976,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",1947,4,8,Швеция,,Умео,,,,,,
abrahth01,,,Томми,Абрахамссон,,Томми Ульф,,74,185,Лазурный,11806,5933,abrahth01,1980,1980,1974,1976,Да,1947,4,12,Швеция,,Лександ,,,,,,
achtyge01,,,Ген,Ахтимичук,,Евгений Эдвард,Ачки,71,170,Лазурный,11807,11142,achtyge01,1951,1958,,,С,1932,9,7,Канада,АВ,Ламонт,,,,,,
acombdo01,,,Дуг,Акомб,,Дуглас Рэймонд,,71,165,Лазурный,11808,10475,acombdo01,1969,1969,,,С,1949,5,15,Канада,ОН,Торонто,,,,,,
actonke01,,,Кейтх,Актон,,Кейт Эдвард,Ууди,68,170,Лазурный,10002,5935,actonke01,1979,1993,,,С,1958,4,15,Канада,ОН,Стуффвилл,,,,,,
adairji01,,,Джим,Адайр,,Джеймс Альберт Джон,,71,180,Лазурный,,8323,adairji01,,,1973,1973,С,1948,9,29,Канада,ОН,Броквилл,,,,,,
adamdo01,,,Дуглас,Адам,,Дуглас Патрик,,71,165,Лазурный,11809,11560,adamdo01,1949,1949,,,Лазурный,1923,9,7,Канада,ОН,Торонто,2001,12,24,,,
adamipe01,,,Питер,Адамик,,,,,,,,,adamipe01,,,1978,1978,,,,,,,,,,,,,
adamlu01,,,Лукас,Адам,,,,74,203,,,,adamlu01,2010,2011,,,Лазурный,1990,6,18,Канада,НЛ,Сент-Джонс,,,,,,
adamru01,,,Росс,Адам,,Россел Норман,,70,185,Лазурный,11810,8812,adamru01,1982,1982,,,С,1961,5,5,Канада,ОН,Винзор,,,,,,
adamsbi01,,,Билл,Адамс,,Уильям,,,,r,,60149,,,,,,r,,,,,,,,,,,,
adamsbr01,,,Брайан,Адамс,,Брайан,,72,185,Лазурный,19147,22031,adamsbr01,1999,2000,,,Лазурный,1977,3,20,Канада,БЦ,Форт-Сент-Джеймс,,,,,,
,,adamsch01h,Шарль,Адамс,,Чарльз Фрэнсис,,,,,B196001,,,,,,,,1876,10,18,США,ВТ,Ньюпорт,1947,,,,,
adamscr01,,,Крейг,Адамс,,,,72,200,r,10045,25067,adamscr01,2000,2011,,,r,1977,4,26,Бруней Даруссалам,,Seria,,,,,,
adamsgr01,,,Грег,Адамс,,Грегори Чарльз,Эдди,73,190,Лазурный,11811,6236,adamsgr01,1980,1989,,,Лазурный,1960,5,31,Канада,БЦ,Дункан,,,,,,
adamsgr02,,,Грег,Адамс,,Грегори Дарен,Гус/Сокол,75,195,Лазурный,10003,6237,adamsgr02,1984,2000,,,Лазурный,1963,8,15,Канада,БЦ,Нельсон,,,,,,
