playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
aaltoan01,1997,1,ANA,NHL,С,3,0,0,0,0,-1,0,0,0,0,0,0,1,,,,,,,,,,,,
aaltoan01,1998,1,ANA,NHL,С,73,3,5,8,24,-12,2,1,0,0,0,0,61,4,0,0,0,2,0,0,0,0,0,0,0
aaltoan01,1999,1,ANA,NHL,С,63,7,11,18,26,-13,1,0,0,0,1,0,102,,,,,,,,,,,,
aaltoan01,2000,1,ANA,NHL,С,12,1,1,2,2,1,0,0,0,0,0,0,18,,,,,,,,,,,,
abbeybr01,1975,1,CIN,WHA,Да,17,1,0,1,12,-3,0,,0,,0,,2,,,,,,,,,,,,
abbotge01,1943,1,BOS,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
abbotre01,1952,1,MTL,NHL,С,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,
abdelju01,2007,1,DET,NHL,Лазурный,2,0,0,0,2,0,0,0,0,0,0,,6,,,,,,,,,,,,
abdelju01,2008,1,DET,NHL,Лазурный,2,0,0,0,0,0,0,0,0,0,0,,2,10,2,1,3,0,2,0,0,0,0,0,11
abdelju01,2009,1,DET,NHL,Лазурный,50,3,3,6,35,-11,0,0,0,0,0,,79,11,1,1,2,36,1,0,0,0,0,0,12
abdelju01,2010,1,DET,NHL,Лазурный,74,7,12,19,61,15,0,0,0,1,1,,129,11,0,0,0,22,-4,0,0,0,0,0,17
abdelju01,2011,1,DET,NHL,Лазурный,81,8,14,22,62,4,0,0,0,0,1,,121,5,0,0,0,2,-5,0,0,0,0,0,7
abelcl01,1926,1,NYR,NHL,Да,44,8,4,12,78,,,,,,,,,2,0,1,1,8,,,,,,,
abelcl01,1927,1,NYR,NHL,Да,23,0,1,1,28,,,,,,,,,9,1,0,1,14,,,,,,,
abelcl01,1928,1,NYR,NHL,Да,44,3,1,4,41,,,,,,,,,6,0,0,0,8,,,,,,,
abelcl01,1929,1,CHI,NHL,Да,38,3,3,6,42,,,,,,,,,2,0,0,0,10,,,,,,,
abelcl01,1930,1,CHI,NHL,Да,43,0,1,1,45,,,,,,,,,9,0,0,0,8,,,,,,,
abelcl01,1931,1,CHI,NHL,Да,48,4,3,7,34,,,,,,,,,2,0,0,0,2,,,,,,,
abelcl01,1932,1,CHI,NHL,Да,47,0,4,4,63,,,,,,,,,,,,,,,,,,,,
abelcl01,1933,1,CHI,NHL,Да,46,2,1,3,28,,,,,,,,,8,0,0,0,8,,,,,,,
abelge01,1966,1,DET,NHL,С,1,0,0,0,0,,0,,0,,0,0,,,,,,,,,,,,,
abelsi01,1938,1,DET,NHL,Лазурный,15,1,1,2,0,,,,,,,,,6,1,1,2,2,,,,,,,
abelsi01,1939,1,DET,NHL,Лазурный,24,1,5,6,4,,,,,,,,,5,0,3,3,21,,,,,,,
abelsi01,1940,1,DET,NHL,С,47,11,22,33,29,,,,,,,,,9,2,2,4,2,,,,,,,
abelsi01,1941,1,DET,NHL,С,48,18,31,49,45,,,,,,,,,12,4,2,6,8,,,,,,,
abelsi01,1942,1,DET,NHL,Лазурный,49,18,24,42,33,,,,,,,,,10,5,8,13,4,,,,,,,
abelsi01,1945,1,DET,NHL,С,7,0,2,2,0,,,,,,,,,3,0,0,0,0,,,,,,,
abelsi01,1946,1,DET,NHL,С,60,19,29,48,29,,,,,,,,,3,1,1,2,2,,,,,,,
abelsi01,1947,1,DET,NHL,С,60,14,30,44,69,,,,,,,,,10,0,3,3,16,,,,,,,
abelsi01,1948,1,DET,NHL,С,60,28,26,54,49,,,,,,,,,11,3,3,6,6,,,,,,,
abelsi01,1949,1,DET,NHL,С,69,34,35,69,46,,,,,,,,,14,6,2,8,6,,,,,,,
abelsi01,1950,1,DET,NHL,С,69,23,38,61,30,,,,,,,,,6,4,3,7,0,,,,,,,
abelsi01,1951,1,DET,NHL,С,62,17,36,53,32,,,,,,,,,7,2,2,4,12,,,,,,,
abelsi01,1952,1,CHI,NHL,С,39,5,4,9,6,,,,,,,,,1,0,0,0,0,,,,,,,
abelsi01,1953,1,CHI,NHL,С,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,
abgrade01,1975,1,LAK,NHL,r,13,0,2,2,4,-7,0,,0,,0,0,9,,,,,,,,,,,,
