year,hofid,name,category
1958,clancki01h,Король Кленси,Игрок
1945,stuarho01h,Хед Стиуарт,Игрок
1986,keonda01h,Дэйв Кеон,Игрок
1969,wortero01h,рой вортерс,Игрок
1947,patrile01h,Лестер Патрик,Игрок
1945,vezinge01h,Джордж Везина,Игрок
1965,mosiebi01h,Билл Мозиенко,Игрок
1971,wirtzar01h,Артур Вертс,Построитель
1961,smeatco01h,Коппер Смаутон,Судья/юже
1967,storere01h,Красный Сторри,Судья/юже
1985,cheevge01h,Джерри Чеверс,Игрок
1958,johnsch01h,Чинг Джонсон,Игрок
1950,griffsi01h,Си Гриффис,Игрок
1965,barryma01h,Марты Барри,Игрок
1962,huttobo01h,Боус Хэттон,Игрок
1983,hullbo01h,Бобби Халл,Игрок
1962,wilsoph01h,Фат Уилсон,Игрок
1988,parkbr01h,Брад Парк,Игрок
1990,barbebi01h,Билл Барбер,Игрок
1962,pitredi01h,Дидье Питр,Игрок
1947,joliaau01h,Аурель Жолиа,Игрок
1978,bathgan01h,Энди Бαθгейт,Игрок
1972,howego01h,Горди Хоу,Игрок
1962,camerha01h,Гарри Кэмерон,Игрок
1988,hayesge01h,Джордж Хейес,Судья/юже
1981,bucykjo01h,Джон Буйк,Игрок
1977,ballaha01h,Геральд Боллард,Построитель
1963,primejo01h,Джо Примеау,Игрок
1965,lockhth01h,Томи Локхарт,Построитель
2011,howema01h,Марк Хау,Игрок
1958,norrija02h,Джеймс Норрис-старший,Построитель
1965,russebl01h,Блэйр Рассел,Игрок
1962,hoopeto01h,Том Хупер,Игрок
1962,stanlba01h,Барни Стэнли,Игрок
1966,bouchbu01h,Бутч Бушард,Игрок
1988,snideed01h,Эдвард Снайдер,Построитель
1958,turnell01h,Ллойд Тернер,Построитель
1981,mahovfr01h,Франк Махович,Игрок
1958,bouchfr01h,Франк Буше,Игрок
1961,appssy01h,Силь Аппс,Игрок
2006,duffdi01h,Дик Дафф,Игрок
1985,mariujo01h,Джон Мариуччи,Построитель
1962,gardnji01h,Джим Гарнер,Игрок
1988,oconnbu01h,Буди О'Коннор,Игрок
1950,triheha01h,Гарри Трией,Игрок
1960,walkeja01h,Джек Уолкер,Игрок
1961,hainsge01h,Джордж Хайнсворт,Игрок
1961,dayha01h,С днем рождения!,Игрок
1966,prattba01h,Бэби Пратт,Игрок
1947,sutheja01h,Джеймс Сёрден,Построитель
1962,maxwest01h,parовий машина Максвелл,Игрок
1991,bowmasc01h,Скотти Боумен,Построитель
2006,brookhe01h,Херб Брукс,Построитель
1974,burchbi01h,Билли Бёрч,Игрок
1968,cowlebi01h,Билл Коув,Игрок
1947,hewitwi01h,Уильям Хьютт,Построитель
1960,adamsch01h,Чарльз Адамс,Построитель
1947,taylocy01h,Циклон Тейлор,Игрок
2009,robitlu01h,Люк Робитайл,Игрок
2008,chynoed01h,Эд Чиноветх,Построитель
1972,holmeha01h,Хэпп Холмс,Игрок
1963,gormato01h,Томми Горман,Построитель
1962,watsoha01h,Гарри Уотсон,Игрок
1952,stewane01h,Нельс Стьюарт,Игрок
1949,rossar01h,Арт Росс,Игрок
1992,dionnma01h,Марсель Дионне,Игрок
1996,bauerbo01h,Боби Бауэр,Игрок
1969,norribr01h,Брюс Норрис,Построитель
1989,sittlda01h,Дэррил Ситлер,Игрок
1958,hayge01h,Джордж Хей,Игрок
1977,ahearbu01h,Буни Аэерн,Построитель
1952,cookbi01h,Билл Кук,Игрок
1962,humefr01h,Фред Хайм,Построитель
1998,goulemi01h,Мишель Гюэ,Игрок
1947,shoreed01h,Эдди Шор,Игрок
2001,patricr01h,Крейг Патрик,Построитель
1960,bouchge01h,Георг Буше,Игрок
1945,morenho01h,Хоуи Моренц,Игрок
1963,goodfeb01h,Эби Гудфеллоу,Игрок
2005,neelyca01h,Кэм Нили,Игрок
1966,brimsfr01h,Франк Бримсек,Игрок
1970,johnsto01h,Том Джонсон,Игрок
1961,stuarbr02h,Брюс Стюарт,Игрок
1962,smithfr01h,Франк Смит,Построитель
1993,smithbi01h,Билли Смит,Игрок
1981,stanlal01h,Аллан Стэнли,Игрок
1997,trottbr01h,Брайан Троттир,Игрок
1996,arboual01h,Аль Арбор,Построитель
1969,leadeal01h,Ал Лидер,Построитель
2001,kurrija01h,Яри Курри,Игрок
1966,reardke01h,Кен Рэдфорд,Игрок
1945,bakerho01h,Хобей Бейкер,Игрок
1950,malonjo01h,Джо Малон,Игрок
1964,diliofr01h,Франсис Дилио,Построитель
1992,dumarwo01h,Вуди Думарт,Игрок
1973,smithto01h,Томми Смит,Игрок
1991,armstne01h,Нил Армстронг,Судья/юже
1952,goheemo01h,Моос Гохен,Игрок
1963,hewitbo01h,Боби Хьюзтон,Судья/юже
1961,lesuepe01h,Перси Лесюр,Игрок
1984,milfoja01h,Джейк Мильфорд,Построитель
1952,johnsmo01h,Моос Дженсен,Игрок
1960,manthsy01h,Сильвио Манта,Игрок
1962,broadpu01h,Пунч Бродбент,Игрок
1976,quackbi01h,Билл Кэкенбуш,Игрок
1993,grifffr01h,Франк Гриффитс,Построитель
1979,howelha01h,Хэрри Хоуелл,Игрок
1964,durnabi01h,Билл Дурнан,Игрок
1968,dunnji01h,Джимми Дunn,Построитель
2008,scapira01h,Рей Скапинелло,Судья/юже
1964,campban01h,Ангус Кэмпбелл,Построитель
1994,oneilbr01h,Брайан О'Нилл,Построитель
1993,pagefr01h,Фред Пейдж,Построитель
2003,kilrebr01h,Брайан Килреа,Построитель
1971,weilaco01h,Кунни Виланд,Игрок
1998,stastpe01h,Питер Стастный,Игрок
1974,vossca01h,Карл Восс,Построитель
1962,schrisw01h,Свини Шринер,Игрок
1960,kilpajo01h,Джон Килпатрик,Построитель
1990,perregi01h,Гильберт Перре,Игрок
1962,whitcfr01h,Фред Уиткрофт,Игрок
1967,colvine01h,Нил Колвилл,Игрок
1962,ahearfr01h,Франк Аэерн,Построитель
1958,cleghsp01h,Спруги Клегхорн,Игрок
1950,davidal01h,Скоти Девайдисон,Игрок
1965,farrear01h,Арт Фаррелл,Игрок
1979,juckego01h,Гордон Джеккс,Построитель
1982,cournyv01h,Иван Курнояр,Игрок
1966,blaketo01h,Тоэ Блэйк,Игрок
1972,adamswe01h,Вестон Адамс,Построитель
1973,harvedo01h,Дугг Харви,Игрок
1976,gibsoja02h,Джек Гибсон,Построитель
1978,plantja01h,Иاكок План,Игрок
1962,norrija03h,Джеймс Норрис,Построитель
1958,foystfr01h,Франк Фойстон,Игрок
1958,raymodo01h,Донат Рэймонд,Построитель
2007,gregoji01h,Джим Грегори,Построитель
1961,brownge03h,Джордж Браун,Построитель
2002,langwro01h,Род Лэнгвей,Игрок
1987,ziegljo01h,Джон Зиглер,Построитель
1947,robincl01h,Клод Роббинс,Построитель
1983,drydeke01h,Кен Драйден,Игрок
1961,seibeol01h,Оливер Сеиберт,Игрок
2004,fletccl01h,Клифф Флетчер,Построитель
1984,parenbe01h,Бэрни Пент,Игрок
2000,savarde01h,Денис Савард,Игрок
1958,pickaal01h,Аллан Пикфорд,Построитель
2000,mullejo01h,Джо Муллен,Игрок
1985,olmstbe01h,Bert Ольмстед,Игрок
1974,coultar01h,Арт Коултер,Игрок
1992,gainebo01h,Боб Гайнэ,Игрок
1999,gretzwa01h,Вэйн Грецки,Игрок
1988,esposto01h,Тони Эспозито,Игрок
1950,lalonne01h,Новы Лалонд,Игрок
1966,campbcl01h,Кленс Фриман-младший,Построитель
1961,ionmi01h,Мики Ион,Судья/юже
1972,belivje01h,Жан Беллево,Игрок
1984,esposph01h,Фил Эспосито,Игрок
1958,smythco01h,Конн Смайти,Построитель
1962,brownwa02h,Уолтер Браун,Построитель
1945,allanmo01h,Монтагу Аллен,Построитель
1987,laperja01h,Жак Лапериер,Игрок
1970,lebelro01h,Боб ЛеБел,Построитель
1961,conacch01h,Чарли Коначер,Игрок
2002,federbe01h,Берни Федерко,Игрок
1974,tarasan01h,Анатолий Тарасов,Построитель
1994,conacli01h,Лионель Коначер,Игрок
1945,pulfoha01h,Харви Пулфорд,Игрок
1986,savarse01h,Серж Савард,Игрок
1962,walshma01h,Марты Уолш,Игрок
1964,siebeba01h,Бебе Зиберт,Игрок
1960,selkefr01h,Франк Селке,Построитель
1950,richage01h,Джордж Ричардсон,Игрок
1993,lapoigu01h,Гийом Лапоинт,Игрок
1975,drillgo01h,Горди Дрилон,Игрок
1945,stanlfr01h,Фредерик Стэнли,Построитель
1991,pulfobo01h,Боб Пулфорд,Игрок
