coachid,award,year,lgid,note
irvindi01c,Вторая сборная звезд,1931,NHL,
dayha01c,Вторая сборная звезд,1943,NHL,
irvindi01c,Вторая сборная звезд,1933,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
sathegl01c,Джек Адамс,1985,NHL,
brophjo01c,Смёрт,1978,WHA,
irvindi01c,Первая сборная звезд,1944,NHL,
dineebi01c,Смёрт,1976,WHA,
quinnpa01c,Джек Адамс,1979,NHL,
patrile01c,Первая сборная звезд,1931,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
nolante01c,Джек Адамс,1996,NHL,
irvindi01c,Вторая сборная звезд,1934,NHL,
weilaco01c,Первая сборная звезд,1940,NHL,
murrabr01c,Джек Адамс,1983,NHL,
patrile01c,Первая сборная звезд,1935,NHL,
adamsja01c,Первая сборная звезд,1936,NHL,
irvindi01c,Первая сборная звезд,1945,NHL,
irvindi01c,Вторая сборная звезд,1930,NHL,
juliecl01c,Джек Адамс,2008,NHL,
cherrdo01c,Джек Адамс,1975,NHL,
tessior01c,Джек Адамс,1982,NHL,
patrile01c,Первая сборная звезд,1934,NHL,
huculsa01c,Смёрт,1974,WHA,
dineebi01c,Смёрт,1977,WHA,
barbebi01c,Джек Адамс,2000,NHL,
lemaija01c,Джек Адамс,1993,NHL,
ruffli01c,Джек Адамс,2005,NHL,
tortojo01c,Джек Адамс,2003,NHL,
patrile01c,Первая сборная звезд,1933,NHL,
keenami01c,Джек Адамс,1984,NHL,
irvindi01c,Первая сборная звезд,1943,NHL,
wattto01c,Джек Адамс,1981,NHL,
arboual01c,Джек Адамс,1978,NHL,
demerja01c,Джек Адамс,1986,NHL,
crawfma01c,Джек Адамс,1994,NHL,
burnspa01c,Джек Адамс,1992,NHL,
rossar01c,Вторая сборная звезд,1937,NHL,
hartce01c,Вторая сборная звезд,1936,NHL,
boudrbr01c,Джек Адамс,2007,NHL,
patrile01c,Первая сборная звезд,1932,NHL,
duttore01c,Вторая сборная звезд,1938,NHL,
adamsja01c,Вторая сборная звезд,1944,NHL,
adamsja01c,Первая сборная звезд,1942,NHL,
francbo01c,Джек Адамс,2001,NHL,
patrile01c,Первая сборная звезд,1937,NHL,
berenre01c,Джек Адамс,1980,NHL,
rossar01c,Первая сборная звезд,1938,NHL,
irvindi01c,Вторая сборная звезд,1932,NHL,
rossar01c,Вторая сборная звезд,1942,NHL,
gormato01c,Вторая сборная звезд,1935,NHL,
krommbo01c,Джек Адамс,1977,NHL,
burnspa01c,Джек Адамс,1988,NHL,
burnspa01c,Джек Адамс,1997,NHL,
bouchfr01c,Первая сборная звезд,1941,NHL,
thomppa01c,Вторая сборная звезд,1941,NHL,
vigneal01c,Джек Адамс,2006,NHL,
quennjo01c,Джек Адамс,1999,NHL,
patrile01c,Первая сборная звезд,1930,NHL,
kelleja01c,Бальзаминовый,1972,WHA,
barbebi01c,Джек Адамс,2000,NHL,
bylsmda01c,Джек Адамс,2010,NHL,
patrile01c,Первая сборная звезд,1932,NHL,
duttore01c,Вторая сборная звезд,1938,NHL,
weilaco01c,Первая сборная звезд,1940,NHL,
dayha01c,Вторая сборная звезд,1943,NHL,
lemaija01c,Джек Адамс,2002,NHL,
wattto01c,Джек Адамс,1981,NHL,
adamsja01c,Первая сборная звезд,1936,NHL,
tortojo01c,Джек Адамс,2003,NHL,
martija02c,Джек Адамс,1998,NHL,
irvindi01c,Первая сборная звезд,1944,NHL,
nolante01c,Джек Адамс,1996,NHL,
murrabr01c,Джек Адамс,1983,NHL,
irvindi01c,Вторая сборная звезд,1931,NHL,
harribi01c,Бальзаминовый,1973,WHA,
